ticker,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,23.2188,23.9688,23.5473,23.7063,20.695,DOWN,0
2000-01-04,22.6563,23.2188,23.5433,23.55,20.7743,UP,1
2000-01-05,23.7813,22.9375,23.5478,23.4625,20.8543,UP,1
2000-01-06,25.2813,23.7813,23.5601,23.7563,20.9756,DOWN,0
2000-01-07,25.2188,25.2813,23.5716,24.0313,21.0975,DOWN,0
2000-01-10,24.4375,25.0938,23.5812,24.275,21.2056,DOWN,0
2000-01-11,24.1563,24.5625,23.5889,24.575,21.3031,UP,1
2000-01-12,24.9375,24.1875,23.6053,24.8063,21.4243,DOWN,0
2000-01-13,24.6563,24.9375,23.6234,24.6813,21.535,DOWN,0
2000-01-14,24.25,24.5938,23.637,24.4875,21.6375,DOWN,0
2000-01-18,23.6563,24.2813,23.6473,24.3313,21.7231,DOWN,0
2000-01-19,22.875,23.5625,23.6566,24.075,21.8012,DOWN,0
2000-01-20,22.4375,23.0,23.6658,23.575,21.8687,DOWN,0
2000-01-21,21.8438,22.125,23.6717,23.0125,21.9162,DOWN,0
2000-01-24,21.8125,21.875,23.6781,22.525,21.9668,DOWN,0
2000-01-25,20.5313,21.875,23.6745,21.9,21.9912,UP,1
2000-01-26,21.1875,20.7813,23.6748,21.5625,22.0318,UP,1
2000-01-27,21.4063,20.5,23.665,21.3563,22.0675,DOWN,0
2000-01-28,19.9688,18.875,23.643,20.9813,22.0725,DOWN,0
2000-01-31,19.9375,20.0,23.62,20.6063,22.0825,DOWN,0
2000-02-01,19.8438,20.0313,23.5944,20.4688,22.0862,UP,1
2000-02-02,19.875,19.8438,23.5695,20.2063,22.0912,UP,1
2000-02-03,20.0625,19.875,23.547,19.9375,22.1025,DOWN,0
2000-02-04,20.0313,20.0938,23.5244,19.95,22.1119,DOWN,0
2000-02-07,19.9375,19.9063,23.4991,19.95,22.1194,UP,1
