ticker,EPAM US Equity,EPAM US Equity,EPAM US Equity,EPAM US Equity,EPAM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-02-07,12.0,,,,,UP,1
2012-02-08,14.0,13.75,,,,DOWN,0
2012-02-09,13.91,14.17,,,,UP,1
2012-02-10,13.96,14.0,,,,DOWN,0
2012-02-13,13.65,13.91,13.504,,,DOWN,0
2012-02-14,13.44,13.6,13.792,,,DOWN,0
2012-02-15,13.4,13.5,13.672,,,UP,1
2012-02-16,13.54,13.4,13.598,,,UP,1
2012-02-17,13.58,13.61,13.522,,,UP,1
2012-02-21,13.71,13.61,13.534,,,UP,1
2012-02-22,13.96,13.99,13.638,,,DOWN,0
2012-02-23,13.94,13.97,13.746,,,DOWN,0
2012-02-24,13.71,13.93,13.78,,,DOWN,0
2012-02-27,13.66,13.65,13.796,,,UP,1
2012-02-28,13.83,13.75,13.82,,,UP,1
2012-02-29,14.13,13.88,13.854,,,UP,1
2012-03-01,15.0,14.15,14.066,,,UP,1
2012-03-02,15.14,15.07,14.352,,,DOWN,0
2012-03-05,15.09,15.07,14.638,,,DOWN,0
2012-03-06,15.0,14.98,14.872,,,UP,1
2012-03-07,15.23,15.04,15.092,,,DOWN,0
2012-03-08,15.23,14.54,15.138,,,UP,1
2012-03-09,15.32,15.18,15.174,,,DOWN,0
2012-03-12,15.14,14.95,15.184,,,UP,1
2012-03-13,15.78,15.14,15.34,,,UP,1
2012-03-14,16.2,15.67,15.534,,,UP,1
2012-03-15,17.0,16.18,15.888,,,DOWN,0
2012-03-16,16.8,16.91,16.184,,,UP,1
2012-03-19,17.41,17.12,16.638,,,DOWN,0
2012-03-20,17.41,17.44,16.964,,,DOWN,0
2012-03-21,17.38,17.5,17.2,,,DOWN,0
2012-03-22,16.6,17.18,17.12,,,UP,1
2012-03-23,17.1,16.56,17.18,,,DOWN,0
2012-03-26,16.98,17.31,17.094,,,UP,1
2012-03-27,21.11,17.75,17.834,,,DOWN,0
2012-03-28,20.0,21.0,18.358,,,UP,1
2012-03-29,20.1,19.73,19.058,,,UP,1
2012-03-30,20.52,20.29,19.742,,,UP,1
2012-04-02,21.71,20.39,20.688,,,UP,1
2012-04-03,22.2,21.52,20.906,,,DOWN,0
2012-04-04,21.15,21.79,21.136,,,DOWN,0
2012-04-05,20.96,21.03,21.308,,,UP,1
2012-04-09,21.27,20.58,21.458,,,UP,1
2012-04-10,21.8,21.14,21.476,,,UP,1
2012-04-11,22.59,21.93,21.554,,,UP,1
2012-04-12,23.25,22.67,21.974,,,DOWN,0
2012-04-13,22.65,23.12,22.312,,,DOWN,0
2012-04-16,21.2,22.87,22.298,,,DOWN,0
2012-04-17,20.26,21.28,21.99,,,DOWN,0
2012-04-18,20.18,20.14,21.508,16.9836,,UP,1
2012-04-19,20.39,20.25,20.936,17.1514,,DOWN,0
2012-04-20,20.04,20.56,20.414,17.2722,,UP,1
2012-04-23,20.17,19.63,20.208,17.3974,,DOWN,0
2012-04-24,19.78,20.24,20.112,17.5138,,UP,1
2012-04-25,19.84,20.0,20.044,17.6376,,UP,1
2012-04-26,20.05,19.88,19.976,17.7698,,UP,1
2012-04-27,20.09,20.1,19.986,17.9036,,UP,1
2012-04-30,20.64,20.01,20.08,18.0456,,UP,1
2012-05-01,20.73,20.61,20.27,18.1886,,UP,1
2012-05-02,21.9,20.66,20.682,18.3524,,DOWN,0
2012-05-03,21.05,21.76,20.882,18.4942,,DOWN,0
2012-05-04,20.46,20.98,20.956,18.6246,,DOWN,0
2012-05-07,20.12,20.38,20.852,18.7528,,DOWN,0
2012-05-08,18.08,19.88,20.322,18.8412,,DOWN,0
2012-05-09,17.75,17.92,19.492,18.9196,,DOWN,0
2012-05-10,17.62,17.93,18.806,18.9894,,DOWN,0
2012-05-11,17.36,17.49,18.186,19.0366,,DOWN,0
2012-05-14,16.02,17.13,17.366,19.0542,,DOWN,0
2012-05-15,15.31,15.96,16.812,19.0586,,UP,1
2012-05-16,15.65,15.87,16.392,19.0716,,DOWN,0
2012-05-17,15.06,15.72,15.88,19.0682,,DOWN,0
2012-05-18,14.97,15.2,15.402,19.063,,UP,1
2012-05-21,15.67,15.06,15.332,19.07,,UP,1
2012-05-22,15.69,15.64,15.408,19.081,,UP,1
2012-05-23,16.6,15.58,15.598,19.0974,,UP,1
2012-05-24,16.95,16.65,15.976,19.1124,,UP,1
2012-05-25,16.99,16.93,16.38,19.1122,,UP,1
2012-05-29,17.2,17.13,16.686,19.1202,,UP,1
2012-05-30,17.3,16.97,17.008,19.118,,UP,1
2012-05-31,17.5,17.28,17.188,19.1198,,DOWN,0
2012-06-01,16.52,17.16,17.102,19.1026,,DOWN,0
2012-06-04,16.42,16.59,16.988,19.099,,UP,1
2012-06-05,16.75,16.37,16.898,19.092,,DOWN,0
2012-06-06,16.6,16.86,16.758,19.0844,,DOWN,0
2012-06-07,16.51,16.88,16.56,18.9924,,UP,1
2012-06-08,16.78,16.44,16.612,18.928,,UP,1
