ticker,EQIX US Equity,EQIX US Equity,EQIX US Equity,EQIX US Equity,EQIX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-12-31,5.7,6.5,,,,DOWN,0
2003-01-02,5.24,5.76,,,,DOWN,0
2003-01-03,5.08,5.27,,,,UP,1
2003-01-06,5.64,5.5,,,,UP,1
2003-01-07,7.7,5.75,5.872,,,DOWN,0
2003-01-08,6.99,7.71,6.13,,,UP,1
2003-01-09,7.07,7.35,6.496,,,DOWN,0
2003-01-10,6.83,7.0,6.846,,,UP,1
2003-01-13,7.1,6.85,7.138,,,DOWN,0
2003-01-14,6.47,6.77,6.892,,,DOWN,0
2003-01-15,6.13,6.48,6.72,,,DOWN,0
2003-01-16,6.07,6.86,6.52,,,DOWN,0
2003-01-17,5.379,6.09,6.2298,,,DOWN,0
2003-01-21,4.9,5.34,5.7898,,,DOWN,0
2003-01-22,4.499,5.001,5.3956,,,DOWN,0
2003-01-23,4.13,4.6,4.9956,,,DOWN,0
2003-01-24,3.88,4.32,4.5576,,,DOWN,0
2003-01-27,3.16,3.95,4.1138,,,UP,1
2003-01-28,3.68,3.25,3.8698,,,DOWN,0
2003-01-29,3.29,3.45,3.628,,,DOWN,0
2003-01-30,3.06,3.35,3.414,,,UP,1
2003-01-31,3.5,3.1,3.338,,,DOWN,0
2003-02-03,3.23,3.12,3.352,,,UP,1
2003-02-04,3.35,3.189,3.286,,,UP,1
2003-02-05,4.14,3.46,3.456,,,DOWN,0
2003-02-06,3.76,4.14,3.596,,,DOWN,0
2003-02-07,3.75,3.87,3.646,,,DOWN,0
2003-02-10,3.69,3.764,3.738,,,UP,1
2003-02-11,4.05,3.66,3.878,,,DOWN,0
2003-02-12,3.87,4.0,3.824,,,UP,1
2003-02-13,4.0,3.86,3.872,,,DOWN,0
2003-02-14,3.9,4.06,3.902,,,UP,1
2003-02-18,3.93,3.87,3.95,,,DOWN,0
2003-02-19,3.91,3.94,3.922,,,UP,1
2003-02-20,3.989,3.95,3.9458,,,DOWN,0
2003-02-21,3.86,3.93,3.9178,,,DOWN,0
2003-02-24,3.86,3.88,3.9098,,,DOWN,0
2003-02-25,3.7,3.89,3.8638,,,DOWN,0
2003-02-26,3.58,3.76,3.7978,,,DOWN,0
2003-02-27,3.4,3.59,3.68,,,UP,1
2003-02-28,3.45,3.36,3.598,,,DOWN,0
2003-03-03,3.41,3.42,3.508,,,UP,1
2003-03-04,3.96,3.5,3.56,,,DOWN,0
2003-03-05,3.37,4.01,3.518,,,DOWN,0
2003-03-06,3.25,3.25,3.488,,,DOWN,0
2003-03-07,3.12,3.28,3.422,,,UP,1
2003-03-10,3.33,3.14,3.406,,,UP,1
2003-03-11,3.45,3.42,3.304,,,UP,1
2003-03-12,3.53,3.45,3.336,,,UP,1
2003-03-13,3.82,3.45,3.45,4.3631,,DOWN,0
2003-03-14,3.73,3.7,3.572,4.3237,,UP,1
2003-03-17,4.02,3.73,3.71,4.2993,,UP,1
2003-03-18,4.04,3.9,3.828,4.2785,,DOWN,0
2003-03-19,4.02,3.93,3.926,4.2461,,DOWN,0
2003-03-20,4.0,4.01,3.962,4.1721,,DOWN,0
2003-03-21,3.86,4.0,3.988,4.1095,,DOWN,0
2003-03-24,3.601,3.8,3.9042,4.0402,,DOWN,0
2003-03-25,3.53,3.62,3.8022,3.9742,,DOWN,0
2003-03-26,3.2,3.6,3.6382,3.8962,,DOWN,0
2003-03-27,3.1,3.5,3.4582,3.8288,,DOWN,0
2003-03-28,3.03,3.011,3.2922,3.7668,,DOWN,0
2003-03-31,2.95,3.05,3.162,3.7044,,UP,1
2003-04-01,2.96,3.04,3.048,3.656,,UP,1
2003-04-02,2.99,3.0,3.006,3.6178,,UP,1
2003-04-03,3.07,2.97,3.0,3.5892,,UP,1
2003-04-04,3.14,3.28,3.022,3.5694,,DOWN,0
2003-04-07,3.1,3.38,3.052,3.5538,,DOWN,0
2003-04-08,2.95,3.15,3.05,3.5496,,UP,1
2003-04-09,3.0,2.93,3.052,3.536,,DOWN,0
2003-04-10,2.9,2.94,3.018,3.5282,,UP,1
2003-04-11,2.95,2.96,2.98,3.526,,UP,1
2003-04-14,3.03,3.04,2.966,3.5166,,UP,1
2003-04-15,3.25,2.99,3.026,3.517,,DOWN,0
2003-04-16,3.0,3.15,3.026,3.51,,DOWN,0
2003-04-17,3.0,3.0,3.046,3.4872,,UP,1
2003-04-21,3.21,3.19,3.098,3.4762,,DOWN,0
2003-04-22,3.19,3.159,3.13,3.465,,DOWN,0
2003-04-23,3.17,3.16,3.114,3.4546,,DOWN,0
2003-04-24,3.1,3.11,3.134,3.4356,,UP,1
2003-04-25,3.19,3.1,3.172,3.422,,UP,1
2003-04-28,3.2,3.1,3.17,3.406,,DOWN,0
2003-04-29,3.15,3.14,3.162,3.391,,UP,1
2003-04-30,3.25,3.22,3.178,3.3774,,UP,1
2003-05-01,3.39,3.3,3.236,3.367,,UP,1
2003-05-02,4.05,3.42,3.408,3.3682,,UP,1
