ticker,ESS US Equity,ESS US Equity,ESS US Equity,ESS US Equity,ESS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,33.31,33.88,32.6391,33.6,32.7288,DOWN,0
2000-01-04,32.94,33.19,32.6706,33.5125,32.7363,DOWN,0
2000-01-05,32.81,32.63,32.7016,33.3375,32.7388,UP,1
2000-01-06,33.13,32.81,32.7322,33.2375,32.7575,UP,1
2000-01-07,34.25,33.13,32.7684,33.2875,32.7913,DOWN,0
2000-01-10,34.06,34.38,32.8038,33.4375,32.8175,DOWN,0
2000-01-11,33.69,33.81,32.8406,33.5875,32.84,DOWN,0
2000-01-12,33.63,33.94,32.8781,33.75,32.86,UP,1
2000-01-13,34.0,33.63,32.9175,33.925,32.8763,DOWN,0
2000-01-14,33.88,34.06,32.9534,33.85,32.8938,DOWN,0
2000-01-18,33.75,33.81,32.9872,33.7875,32.905,UP,1
2000-01-19,34.13,34.0,33.0206,33.875,32.9138,UP,1
2000-01-20,34.31,34.19,33.055,34.0125,32.93,DOWN,0
2000-01-21,34.06,34.13,33.0881,34.025,32.9388,DOWN,0
2000-01-24,34.0,33.94,33.1231,34.05,32.945,UP,1
2000-01-25,34.19,34.0,33.1556,34.1375,32.9525,DOWN,0
2000-01-26,34.13,34.06,33.1872,34.1375,32.9563,UP,1
2000-01-27,34.38,34.13,33.2144,34.15,32.9638,DOWN,0
2000-01-28,33.94,34.25,33.2381,34.125,32.9725,UP,1
2000-01-31,34.0,34.0,33.2594,34.125,32.9775,UP,1
2000-02-01,34.63,34.0,33.2834,34.2125,32.9988,DOWN,0
2000-02-02,34.56,34.63,33.3066,34.3,33.015,UP,1
2000-02-03,34.88,34.56,33.3278,34.4,33.04,UP,1
2000-02-04,35.06,34.81,33.3513,34.625,33.0825,DOWN,0
2000-02-07,34.81,35.13,33.3719,34.7875,33.1188,DOWN,0
2000-02-08,34.38,34.81,33.3928,34.7375,33.1463,DOWN,0
