ticker,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,ETR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,25.25,25.75,29.6562,25.55,27.1135,UP,1
2000-01-04,25.3125,25.1875,29.6365,25.475,27.046,UP,1
2000-01-05,26.375,25.5,29.6237,25.675,26.9948,DOWN,0
2000-01-06,25.875,26.3125,29.604,25.7125,26.9323,DOWN,0
2000-01-07,25.875,25.9375,29.5837,25.7375,26.8598,DOWN,0
2000-01-10,25.75,26.0625,29.5671,25.8375,26.7748,UP,1
2000-01-11,25.9375,25.6875,29.5518,25.9625,26.6948,DOWN,0
2000-01-12,25.8125,25.8125,29.5393,25.85,26.6173,DOWN,0
2000-01-13,25.3125,25.6875,29.5284,25.7375,26.5248,DOWN,0
2000-01-14,25.25,25.5,29.5159,25.6125,26.436,DOWN,0
2000-01-18,24.5625,25.0,29.4943,25.375,26.3473,DOWN,0
2000-01-19,24.25,24.375,29.4721,25.0375,26.246,DOWN,0
2000-01-20,23.9375,24.5,29.4499,24.6625,26.146,UP,1
2000-01-21,24.1875,24.0,29.4237,24.4375,26.051,DOWN,0
2000-01-24,23.0,24.125,29.3893,23.9875,25.9448,DOWN,0
2000-01-25,22.25,23.0,29.3515,23.525,25.8323,DOWN,0
2000-01-26,22.1875,22.3125,29.314,23.1125,25.7185,UP,1
2000-01-27,23.0,22.25,29.2803,22.925,25.6235,UP,1
2000-01-28,23.625,22.75,29.2459,22.8125,25.5423,UP,1
2000-01-31,24.9375,23.625,29.2184,23.2,25.4898,UP,1
2000-02-01,25.5,25.0,29.194,23.85,25.4523,DOWN,0
2000-02-02,24.9375,25.3125,29.1603,24.4,25.4048,UP,1
2000-02-03,25.4375,25.0625,29.1315,24.8875,25.3735,DOWN,0
2000-02-04,24.9375,25.5625,29.1009,25.15,25.3359,DOWN,0
2000-02-07,24.625,24.9375,29.0699,25.0875,25.2847,DOWN,0
2000-02-08,24.625,24.625,29.0403,24.9125,25.2384,DOWN,0
