ticker,EW US Equity,EW US Equity,EW US Equity,EW US Equity,EW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-03-27,1.375,1.271,,,,DOWN,0
2000-03-28,1.339,1.375,,,,DOWN,0
2000-03-29,1.333,1.333,,,,DOWN,0
2000-03-30,1.281,1.333,,,,DOWN,0
2000-03-31,1.13,1.245,1.2917,,,UP,1
2000-04-03,1.146,1.167,1.2458,,,UP,1
2000-04-04,1.167,1.177,1.2115,,,DOWN,0
2000-04-05,1.161,1.156,1.1771,,,UP,1
2000-04-06,1.193,1.167,1.1594,,,UP,1
2000-04-07,1.203,1.198,1.174,,,UP,1
2000-04-10,1.214,1.229,1.1875,,,DOWN,0
2000-04-11,1.193,1.193,1.1927,,,DOWN,0
2000-04-12,1.193,1.182,1.199,,,UP,1
2000-04-13,1.204,1.193,1.2012,,,DOWN,0
2000-04-14,1.203,1.203,1.2012,,,DOWN,0
2000-04-17,1.188,1.193,1.196,,,DOWN,0
2000-04-18,1.172,1.203,1.1918,,,UP,1
2000-04-19,1.198,1.188,1.1928,,,UP,1
2000-04-20,1.219,1.193,1.1958,,,DOWN,0
2000-04-24,1.188,1.198,1.1927,,,UP,1
2000-04-25,1.255,1.193,1.2063,,,UP,1
2000-04-26,1.276,1.26,1.2271,,,DOWN,0
2000-04-27,1.234,1.255,1.2344,,,UP,1
2000-04-28,1.25,1.229,1.2406,,,DOWN,0
2000-05-01,1.229,1.25,1.249,,,DOWN,0
2000-05-02,1.214,1.219,1.2406,,,DOWN,0
2000-05-03,1.188,1.182,1.2229,,,UP,1
2000-05-04,1.229,1.198,1.2219,,,UP,1
2000-05-05,1.26,1.24,1.224,,,UP,1
2000-05-08,1.271,1.281,1.2323,,,DOWN,0
2000-05-09,1.25,1.286,1.2396,,,UP,1
2000-05-10,1.266,1.25,1.2552,,,DOWN,0
2000-05-11,1.245,1.266,1.2583,,,UP,1
2000-05-12,1.307,1.245,1.2677,,,UP,1
2000-05-15,1.365,1.292,1.2865,,,UP,1
2000-05-16,1.375,1.375,1.3115,,,DOWN,0
2000-05-17,1.333,1.375,1.325,,,DOWN,0
2000-05-18,1.297,1.333,1.3354,,,DOWN,0
2000-05-19,1.276,1.297,1.3292,,,UP,1
2000-05-22,1.297,1.286,1.3156,,,UP,1
2000-05-23,1.302,1.292,1.301,,,UP,1
2000-05-24,1.37,1.302,1.3083,,,UP,1
2000-05-25,1.443,1.359,1.3375,,,UP,1
2000-05-26,1.5,1.453,1.3823,,,UP,1
2000-05-30,1.646,1.5,1.4521,,,UP,1
2000-05-31,1.693,1.646,1.5302,,,DOWN,0
2000-06-01,1.656,1.672,1.5875,,,DOWN,0
2000-06-02,1.599,1.656,1.6188,,,DOWN,0
2000-06-05,1.51,1.578,1.6208,,,DOWN,0
2000-06-06,1.427,1.521,1.5771,1.2972,,UP,1
2000-06-07,1.542,1.458,1.5469,1.3005,,DOWN,0
2000-06-08,1.542,1.521,1.524,1.3046,,DOWN,0
2000-06-09,1.542,1.531,1.5125,1.3088,,UP,1
2000-06-12,1.552,1.552,1.5208,1.3142,,DOWN,0
2000-06-13,1.531,1.542,1.5417,1.3222,,UP,1
2000-06-14,1.536,1.552,1.5406,1.33,,DOWN,0
2000-06-15,1.526,1.536,1.5375,1.3372,,DOWN,0
2000-06-16,1.5,1.531,1.5292,1.344,,UP,1
2000-06-19,1.51,1.464,1.5208,1.3503,,DOWN,0
2000-06-20,1.484,1.5,1.5115,1.356,,UP,1
2000-06-21,1.583,1.495,1.5208,1.3633,,UP,1
2000-06-22,1.62,1.563,1.5396,1.3719,,UP,1
2000-06-23,1.656,1.63,1.5708,1.3812,,DOWN,0
2000-06-26,1.656,1.667,1.6,1.3902,,DOWN,0
2000-06-27,1.594,1.656,1.6219,1.398,,UP,1
2000-06-28,1.703,1.563,1.6458,1.4083,,DOWN,0
2000-06-29,1.688,1.714,1.6594,1.4186,,DOWN,0
2000-06-30,1.543,1.693,1.6367,1.4255,,UP,1
2000-07-03,1.714,1.573,1.6482,1.4354,,DOWN,0
2000-07-05,1.641,1.714,1.6576,1.4445,,UP,1
2000-07-06,1.688,1.651,1.6544,1.4532,,UP,1
2000-07-07,1.708,1.708,1.6586,1.4618,,UP,1
2000-07-10,1.771,1.714,1.7042,1.4725,,UP,1
2000-07-11,1.833,1.786,1.7281,1.4842,,UP,1
2000-07-12,1.844,1.854,1.7688,1.4965,,UP,1
2000-07-13,1.938,1.833,1.8188,1.511,,DOWN,0
2000-07-14,1.911,1.958,1.8594,1.5254,,DOWN,0
2000-07-17,1.901,1.932,1.8854,1.5389,,UP,1
2000-07-18,1.99,1.938,1.9167,1.5535,,UP,1
2000-07-19,2.016,2.01,1.951,1.5684,,DOWN,0
2000-07-20,2.005,2.031,1.9646,1.5835,,UP,1
2000-07-21,2.073,1.995,1.9969,1.5996,,DOWN,0
2000-07-24,2.063,2.078,2.0292,1.616,,DOWN,0
2000-07-25,2.042,2.063,2.0396,1.6307,,DOWN,0
