ticker,EXPE US Equity,EXPE US Equity,EXPE US Equity,EXPE US Equity,EXPE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-07-20,22.496,25.863,,,,UP,1
2005-07-21,22.59,22.674,,,,UP,1
2005-07-22,23.38,23.154,,,,DOWN,0
2005-07-25,22.797,23.417,,,,DOWN,0
2005-07-26,22.571,22.9,22.7666,,,UP,1
2005-07-27,22.637,22.571,22.7948,,,DOWN,0
2005-07-28,22.618,22.665,22.8004,,,UP,1
2005-07-29,22.891,22.665,22.7026,,,UP,1
2005-08-01,22.9,22.787,22.7233,,,DOWN,0
2005-08-02,22.618,24.452,22.7327,,,DOWN,0
2005-08-03,22.43,22.825,22.6913,,,DOWN,0
2005-08-04,22.195,22.355,22.6067,,,DOWN,0
2005-08-05,21.978,22.279,22.4242,,,DOWN,0
2005-08-08,21.16,22.101,22.0763,,,UP,1
2005-08-09,22.43,21.884,22.0386,,,DOWN,0
2005-08-10,22.289,22.75,22.0104,,,DOWN,0
2005-08-11,21.508,22.176,21.8731,,,DOWN,0
2005-08-12,20.972,21.377,21.6719,,,DOWN,0
2005-08-15,20.163,21.16,21.4725,,,UP,1
2005-08-16,20.173,20.022,21.0211,,,UP,1
2005-08-17,20.398,19.919,20.643,,,UP,1
2005-08-18,20.455,20.022,20.4323,,,DOWN,0
2005-08-19,20.361,20.323,20.3101,,,DOWN,0
2005-08-22,20.314,20.408,20.3402,,,DOWN,0
2005-08-23,20.173,20.107,20.3402,,,UP,1
2005-08-24,20.314,20.032,20.3233,,,UP,1
2005-08-25,20.841,20.154,20.4004,,,DOWN,0
2005-08-26,20.793,20.822,20.4869,,,UP,1
2005-08-29,21.01,20.737,20.6261,,,UP,1
2005-08-30,21.066,20.728,20.8048,,,DOWN,0
2005-08-31,20.935,20.945,20.9289,,,DOWN,0
2005-09-01,20.897,20.822,20.9402,,,UP,1
2005-09-02,21.038,20.869,20.9891,,,DOWN,0
2005-09-06,20.775,20.398,20.9421,,,UP,1
2005-09-07,20.953,20.643,20.9195,,,UP,1
2005-09-08,21.113,20.85,20.9552,,,DOWN,0
2005-09-09,20.746,20.69,20.9251,,,UP,1
2005-09-12,20.784,20.643,20.8744,,,DOWN,0
2005-09-13,20.756,21.01,20.8706,,,DOWN,0
2005-09-14,20.521,20.634,20.7841,,,DOWN,0
2005-09-15,20.135,20.436,20.5885,,,DOWN,0
2005-09-16,19.75,19.986,20.3891,,,UP,1
2005-09-19,19.797,19.561,20.1916,,,DOWN,0
2005-09-20,19.693,19.815,19.979,,,DOWN,0
2005-09-21,19.42,20.163,19.759,,,DOWN,0
2005-09-22,19.044,19.43,19.5408,,,DOWN,0
2005-09-23,18.884,19.082,19.3678,,,DOWN,0
2005-09-26,18.847,18.837,19.1778,,,DOWN,0
2005-09-27,18.734,18.847,18.9859,,,DOWN,0
2005-09-28,18.555,18.696,18.8129,20.9979,,UP,1
2005-09-29,18.828,18.442,18.7696,20.9246,,DOWN,0
2005-09-30,18.63,18.48,18.7188,20.8454,,UP,1
2005-10-03,19.195,19.195,18.7884,20.7617,,UP,1
2005-10-04,19.364,19.223,18.9145,20.693,,DOWN,0
2005-10-05,18.894,19.373,18.9822,20.6195,,DOWN,0
2005-10-06,18.847,19.091,18.9859,20.5437,,UP,1
2005-10-07,18.903,18.734,19.0405,20.4694,,UP,1
2005-10-10,19.091,18.809,19.0198,20.3934,,DOWN,0
2005-10-11,18.856,19.101,18.9182,20.3125,,DOWN,0
2005-10-12,18.48,18.762,18.8355,20.2298,,UP,1
2005-10-13,18.583,18.358,18.7828,20.1528,,UP,1
2005-10-14,18.941,18.63,18.7903,20.0878,,UP,1
2005-10-17,19.204,18.884,18.8129,20.0323,,DOWN,0
2005-10-18,18.687,19.251,18.779,19.9828,,DOWN,0
2005-10-19,18.424,18.668,18.7677,19.9027,,DOWN,0
2005-10-20,18.339,18.358,18.7188,19.8237,,UP,1
2005-10-21,18.414,18.207,18.6135,19.7618,,DOWN,0
2005-10-24,18.123,18.452,18.3972,19.7048,,DOWN,0
2005-10-25,17.709,17.949,18.2016,19.6557,,DOWN,0
2005-10-26,17.624,17.685,18.0417,19.6047,,UP,1
2005-10-27,17.709,17.944,17.9157,19.551,,DOWN,0
2005-10-28,17.662,17.483,17.7652,19.4951,,UP,1
2005-10-31,17.728,17.497,17.6862,19.4424,,UP,1
2005-11-01,17.906,17.568,17.7257,19.3943,,UP,1
2005-11-02,18.245,17.812,17.8499,19.3557,,UP,1
2005-11-03,19.477,19.279,18.2035,19.339,,UP,1
2005-11-04,21.377,22.082,18.9464,19.3497,,DOWN,0
2005-11-07,21.283,21.442,19.6574,19.3595,,DOWN,0
2005-11-08,21.245,21.085,20.3251,19.3642,,DOWN,0
2005-11-09,20.972,21.273,20.8706,19.3623,,DOWN,0
2005-11-10,20.69,20.784,21.1132,19.3574,,DOWN,0
2005-11-11,20.22,20.681,20.8819,19.3439,,UP,1
2005-11-14,20.286,20.22,20.6825,19.3288,,DOWN,0
