ticker,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-09-16,12.7,11.9,,,,UP,1
2011-09-19,13.78,12.25,,,,DOWN,0
2011-09-20,13.7,13.98,,,,DOWN,0
2011-09-21,13.4,13.8,,,,DOWN,0
2011-09-22,13.2,13.09,13.356,,,DOWN,0
2011-09-23,12.25,13.4,13.266,,,UP,1
2011-09-26,12.67,12.39,13.044,,,UP,1
2011-09-27,13.37,12.75,12.978,,,DOWN,0
2011-09-28,12.85,13.29,12.868,,,UP,1
2011-09-29,13.17,13.0,12.862,,,DOWN,0
2011-09-30,12.4,13.03,12.892,,,DOWN,0
2011-10-03,12.3,12.0,12.818,,,DOWN,0
2011-10-04,12.3,12.19,12.604,,,DOWN,0
2011-10-05,12.2,11.55,12.474,,,UP,1
2011-10-06,12.76,11.9,12.392,,,DOWN,0
2011-10-07,12.35,12.59,12.382,,,UP,1
2011-10-10,12.37,12.35,12.396,,,UP,1
2011-10-11,12.48,11.5,12.432,,,UP,1
2011-10-12,12.6,12.46,12.512,,,UP,1
2011-10-13,12.62,12.4,12.484,,,UP,1
2011-10-14,13.01,12.62,12.616,,,UP,1
2011-10-17,13.72,13.03,12.886,,,UP,1
2011-10-18,14.48,13.8,13.286,,,UP,1
2011-10-19,15.06,14.33,13.778,,,DOWN,0
2011-10-20,14.93,14.91,14.24,,,UP,1
2011-10-21,14.95,15.11,14.628,,,UP,1
2011-10-24,15.8,14.92,15.044,,,DOWN,0
2011-10-25,14.78,15.74,15.104,,,UP,1
2011-10-26,14.88,14.71,15.068,,,UP,1
2011-10-27,15.42,14.98,15.166,,,DOWN,0
2011-10-28,14.92,15.27,15.16,,,DOWN,0
2011-10-31,14.53,14.7,14.906,,,UP,1
2011-11-01,14.67,14.26,14.884,,,UP,1
2011-11-02,15.07,14.8,14.922,,,DOWN,0
2011-11-03,15.0,15.42,14.838,,,DOWN,0
2011-11-04,15.0,14.77,14.854,,,DOWN,0
2011-11-07,14.79,14.88,14.906,,,UP,1
2011-11-08,15.09,14.83,14.99,,,DOWN,0
2011-11-09,14.9,14.87,14.956,,,UP,1
2011-11-10,15.7,14.91,15.096,,,DOWN,0
2011-11-11,15.25,15.88,15.146,,,DOWN,0
2011-11-14,15.03,15.11,15.194,,,UP,1
2011-11-15,15.49,14.94,15.274,,,DOWN,0
2011-11-16,15.04,15.31,15.302,,,UP,1
2011-11-17,15.53,14.95,15.268,,,DOWN,0
2011-11-18,15.51,15.64,15.32,,,DOWN,0
2011-11-21,15.26,15.25,15.366,,,UP,1
2011-11-22,15.37,15.15,15.342,,,DOWN,0
2011-11-23,15.31,15.23,15.396,,,UP,1
2011-11-25,15.45,15.2,15.38,14.1082,,UP,1
2011-11-28,15.97,15.81,15.472,14.1736,,UP,1
2011-11-29,16.01,15.96,15.622,14.2182,,UP,1
2011-11-30,16.68,16.37,15.884,14.2778,,DOWN,0
2011-12-01,15.99,16.61,16.02,14.3296,,UP,1
2011-12-02,16.52,16.19,16.234,14.396,,DOWN,0
2011-12-05,16.45,16.69,16.33,14.48,,UP,1
2011-12-06,16.47,16.48,16.422,14.556,,DOWN,0
2011-12-07,16.45,16.26,16.376,14.6176,,DOWN,0
2011-12-08,16.41,16.15,16.46,14.6888,,UP,1
2011-12-09,17.01,16.39,16.558,14.7656,,DOWN,0
2011-12-12,16.32,16.87,16.532,14.844,,DOWN,0
2011-12-13,15.78,16.33,16.394,14.9136,,UP,1
2011-12-14,15.98,15.68,16.3,14.9872,,DOWN,0
2011-12-15,15.91,16.12,16.2,15.0614,,DOWN,0
2011-12-16,15.59,15.92,15.916,15.118,,DOWN,0
2011-12-19,15.33,15.61,15.718,15.1776,,UP,1
2011-12-20,15.75,15.56,15.712,15.2452,,UP,1
2011-12-21,16.2,15.69,15.756,15.3196,,UP,1
2011-12-22,16.45,16.31,15.864,15.3966,,UP,1
2011-12-23,16.7,16.52,16.086,15.4782,,DOWN,0
2011-12-27,16.65,16.59,16.35,15.551,,DOWN,0
2011-12-28,16.39,16.6,16.478,15.6044,,UP,1
2011-12-29,16.64,16.36,16.566,15.6476,,UP,1
2011-12-30,17.03,16.62,16.682,15.687,,DOWN,0
2012-01-03,16.82,17.26,16.706,15.7248,,UP,1
2012-01-04,17.03,16.75,16.782,15.7664,,UP,1
2012-01-05,17.33,16.93,16.97,15.797,,UP,1
2012-01-06,17.65,17.37,17.172,15.8544,,UP,1
2012-01-09,17.78,17.69,17.322,15.9124,,UP,1
2012-01-10,18.02,18.0,17.562,15.9644,,DOWN,0
2012-01-11,17.98,17.9,17.752,16.0256,,UP,1
2012-01-12,18.29,18.32,17.944,16.1008,,DOWN,0
2012-01-13,18.22,18.18,18.058,16.1718,,DOWN,0
2012-01-17,17.92,18.3,18.086,16.2288,,DOWN,0
2012-01-18,17.81,17.89,18.044,16.285,,UP,1
2012-01-19,18.1,17.82,18.068,16.347,,DOWN,0
