ticker,FE US Equity,FE US Equity,FE US Equity,FE US Equity,FE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,22.0625,22.4375,27.7694,22.6,23.8863,DOWN,0
2000-01-04,22.0625,22.0,27.7347,22.4375,23.8375,UP,1
2000-01-05,22.875,22.125,27.7059,22.475,23.7963,UP,1
2000-01-06,22.9375,22.875,27.6722,22.525,23.755,UP,1
2000-01-07,23.0625,22.9375,27.6413,22.6,23.705,UP,1
2000-01-10,23.125,23.0625,27.6128,22.8125,23.6488,UP,1
2000-01-11,23.375,23.0,27.5859,23.075,23.595,UP,1
2000-01-12,23.4375,23.125,27.5631,23.1875,23.5388,DOWN,0
2000-01-13,23.375,23.5625,27.54,23.275,23.4813,DOWN,0
2000-01-14,23.25,23.5625,27.515,23.3125,23.4275,DOWN,0
2000-01-18,22.875,23.125,27.4844,23.2625,23.385,DOWN,0
2000-01-19,22.8125,22.8125,27.4563,23.15,23.3337,DOWN,0
2000-01-20,22.75,22.75,27.4256,23.0125,23.285,UP,1
2000-01-21,23.0,22.75,27.3938,22.9375,23.2513,UP,1
2000-01-24,23.125,23.0,27.3641,22.9125,23.23,DOWN,0
2000-01-25,22.8125,23.0625,27.3316,22.9,23.2,UP,1
2000-01-26,23.125,22.8125,27.3031,22.9625,23.175,DOWN,0
2000-01-27,23.125,23.125,27.2775,23.0375,23.1525,DOWN,0
2000-01-28,22.6875,23.125,27.2481,22.975,23.1188,UP,1
2000-01-31,22.75,22.75,27.2178,22.9,23.085,UP,1
2000-02-01,22.9375,22.8125,27.1831,22.925,23.0588,DOWN,0
2000-02-02,22.875,22.875,27.1447,22.875,23.0375,DOWN,0
2000-02-03,22.875,22.75,27.1059,22.825,23.02,DOWN,0
2000-02-04,22.3125,22.9375,27.0675,22.75,22.9938,DOWN,0
2000-02-07,22.0,22.125,27.0288,22.6,22.9638,UP,1
2000-02-08,22.125,22.0,26.9906,22.4375,22.9413,UP,1
