ticker,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,FLT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-12-14,23.0,23.0,,,,UP,1
2010-12-15,27.25,25.0,,,,UP,1
2010-12-16,27.35,26.84,,,,UP,1
2010-12-17,28.07,27.17,,,,UP,1
2010-12-20,28.53,28.74,26.84,,,UP,1
2010-12-21,29.75,29.0,28.19,,,DOWN,0
2010-12-22,29.08,29.63,28.556,,,UP,1
2010-12-23,30.81,28.91,29.248,,,UP,1
2010-12-27,30.99,30.83,29.832,,,UP,1
2010-12-28,31.06,30.83,30.338,,,DOWN,0
2010-12-29,31.0,31.0,30.588,,,DOWN,0
2010-12-30,30.8,30.71,30.932,,,UP,1
2010-12-31,30.92,30.57,30.954,,,DOWN,0
2011-01-03,30.47,31.25,30.85,,,DOWN,0
2011-01-04,29.98,30.0,30.634,,,UP,1
2011-01-05,30.4,30.11,30.514,,,DOWN,0
2011-01-06,30.03,30.73,30.36,,,DOWN,0
2011-01-07,29.99,30.24,30.174,,,UP,1
2011-01-10,30.0,30.0,30.08,,,UP,1
2011-01-11,31.14,30.05,30.312,,,DOWN,0
2011-01-12,30.94,31.36,30.42,,,DOWN,0
2011-01-13,30.2,30.9,30.454,,,UP,1
2011-01-14,30.25,30.07,30.506,,,DOWN,0
2011-01-18,30.23,29.86,30.552,,,DOWN,0
2011-01-19,30.19,30.02,30.362,,,DOWN,0
2011-01-20,30.05,30.02,30.184,,,UP,1
2011-01-21,30.5,30.16,30.244,,,UP,1
2011-01-24,31.57,30.01,30.508,,,DOWN,0
2011-01-25,31.05,31.4,30.672,,,UP,1
2011-01-26,31.3,31.07,30.894,,,DOWN,0
2011-01-27,30.2,31.19,30.924,,,DOWN,0
2011-01-28,29.98,30.03,30.82,,,UP,1
2011-01-31,30.0,29.95,30.506,,,UP,1
2011-02-01,30.04,30.05,30.304,,,DOWN,0
2011-02-02,30.0,29.82,30.044,,,DOWN,0
2011-02-03,30.0,29.96,30.004,,,DOWN,0
2011-02-04,29.99,30.0,30.006,,,UP,1
2011-02-07,30.51,29.94,30.108,,,UP,1
2011-02-08,31.16,30.62,30.332,,,UP,1
2011-02-09,31.28,30.99,30.588,,,DOWN,0
2011-02-10,31.27,31.08,30.842,,,UP,1
2011-02-11,31.51,31.08,31.146,,,DOWN,0
2011-02-14,31.0,31.37,31.244,,,DOWN,0
2011-02-15,31.0,30.84,31.212,,,UP,1
2011-02-16,31.48,31.17,31.252,,,UP,1
2011-02-17,32.5,31.4,31.498,,,UP,1
2011-02-18,33.51,32.7,31.898,,,DOWN,0
2011-02-22,31.96,33.15,32.09,,,UP,1
2011-02-23,32.0,31.95,32.29,,,UP,1
2011-02-24,32.49,32.62,32.492,30.3756,,DOWN,0
2011-02-25,32.06,32.6,32.404,30.5568,,DOWN,0
2011-02-28,31.99,32.15,32.1,30.6516,,DOWN,0
2011-03-01,30.7,31.95,31.848,30.7186,,DOWN,0
2011-03-02,30.07,30.61,31.462,30.7586,,UP,1
2011-03-03,30.7,30.25,31.104,30.802,,UP,1
2011-03-04,30.75,30.71,30.842,30.822,,DOWN,0
2011-03-07,30.36,30.76,30.516,30.8476,,UP,1
2011-03-08,30.44,30.45,30.464,30.8402,,DOWN,0
2011-03-09,30.17,30.36,30.484,30.8238,,UP,1
2011-03-10,30.25,29.9,30.394,30.8076,,UP,1
2011-03-11,30.51,30.23,30.346,30.7978,,UP,1
2011-03-14,31.33,30.32,30.54,30.8084,,UP,1
2011-03-15,31.55,30.81,30.762,30.821,,DOWN,0
2011-03-16,31.43,31.45,31.014,30.8402,,DOWN,0
2011-03-17,31.35,31.81,31.234,30.8676,,UP,1
2011-03-18,31.58,31.73,31.448,30.8912,,UP,1
2011-03-21,33.15,31.92,31.812,30.9536,,DOWN,0
2011-03-22,32.73,33.07,32.048,31.0084,,UP,1
2011-03-23,33.31,32.75,32.424,31.0746,,DOWN,0
2011-03-24,33.17,33.42,32.788,31.1152,,DOWN,0
2011-03-25,33.09,33.18,33.09,31.1582,,UP,1
2011-03-28,34.4,33.09,33.34,31.2422,,DOWN,0
2011-03-29,32.7,34.28,33.334,31.2912,,DOWN,0
2011-03-30,32.47,32.8,33.166,31.336,,UP,1
2011-03-31,32.66,32.39,33.064,31.3854,,UP,1
2011-04-01,34.08,32.7,33.262,31.466,,DOWN,0
2011-04-04,34.0,34.06,33.182,31.536,,DOWN,0
2011-04-05,33.82,34.03,33.406,31.581,,DOWN,0
2011-04-06,32.79,33.85,33.47,31.6158,,UP,1
2011-04-07,33.33,32.81,33.604,31.6564,,DOWN,0
2011-04-08,33.09,33.34,33.406,31.7142,,UP,1
2011-04-11,33.37,33.0,33.28,31.782,,DOWN,0
2011-04-12,33.29,33.19,33.174,31.8478,,UP,1
2011-04-13,33.49,33.42,33.314,31.9168,,UP,1
2011-04-14,33.67,33.3,33.382,31.9902,,UP,1
2011-04-15,34.26,33.65,33.616,32.0754,,DOWN,0
