ticker,FMC US Equity,FMC US Equity,FMC US Equity,FMC US Equity,FMC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,6.4114,6.7028,6.7369,6.5381,5.5828,DOWN,0
2000-01-04,6.3312,6.3895,6.7402,6.5061,5.6139,UP,1
2000-01-05,6.4478,6.3312,6.7442,6.4842,5.6464,DOWN,0
2000-01-06,6.4405,6.3968,6.7481,6.4624,5.6828,DOWN,0
2000-01-07,6.4332,6.4405,6.7519,6.4128,5.7173,UP,1
2000-01-10,6.6736,6.5571,6.757,6.4653,5.7568,UP,1
2000-01-11,6.7392,6.6591,6.7611,6.5469,5.7967,UP,1
2000-01-12,6.8776,6.7465,6.7669,6.6328,5.8361,UP,1
2000-01-13,6.9359,6.8922,6.7728,6.7319,5.8744,UP,1
2000-01-14,6.9505,6.9651,6.7785,6.8354,5.9103,DOWN,0
2000-01-18,6.8412,6.9724,6.7827,6.8689,5.9423,DOWN,0
2000-01-19,6.6445,6.8339,6.7863,6.85,5.9713,DOWN,0
2000-01-20,6.4769,6.6591,6.7889,6.7698,5.9948,DOWN,0
2000-01-21,6.4332,6.4915,6.791,6.6693,6.0162,DOWN,0
2000-01-24,6.3822,6.5425,6.7932,6.5556,6.0357,DOWN,0
2000-01-25,6.2074,6.3677,6.7945,6.4289,6.0528,UP,1
2000-01-26,6.3822,6.2074,6.7949,6.3764,6.0729,UP,1
2000-01-27,6.4405,6.3677,6.7939,6.3691,6.0931,DOWN,0
2000-01-28,6.2511,6.4405,6.792,6.3327,6.1077,UP,1
2000-01-31,6.2657,6.2802,6.7873,6.3094,6.1207,UP,1
2000-02-01,6.2875,6.2657,6.7804,6.3254,6.1345,DOWN,0
2000-02-02,6.2438,6.2657,6.7745,6.2977,6.1492,UP,1
2000-02-03,6.2657,6.2584,6.7687,6.2627,6.165,DOWN,0
2000-02-04,6.1272,6.2584,6.7616,6.238,6.1776,UP,1
2000-02-07,6.1345,6.1491,6.7537,6.2117,6.1906,DOWN,0
