ticker,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-12-08,25.5,25.5,,,,UP,1
2010-12-09,27.92,27.25,,,,DOWN,0
2010-12-10,27.41,27.4,,,,DOWN,0
2010-12-13,27.4,27.5,,,,DOWN,0
2010-12-14,27.31,27.7,27.108,,,UP,1
2010-12-15,27.45,27.2,27.498,,,UP,1
2010-12-16,27.65,27.6,27.444,,,UP,1
2010-12-17,28.06,27.55,27.574,,,UP,1
2010-12-20,28.14,28.1,27.722,,,UP,1
2010-12-21,28.91,28.17,28.042,,,UP,1
2010-12-22,29.45,29.0,28.442,,,DOWN,0
2010-12-23,29.1,29.68,28.732,,,DOWN,0
2010-12-27,28.98,29.15,28.916,,,UP,1
2010-12-28,29.05,28.99,29.098,,,UP,1
2010-12-29,29.08,29.25,29.132,,,DOWN,0
2010-12-30,28.96,29.23,29.034,,,UP,1
2010-12-31,29.12,29.0,29.038,,,DOWN,0
2011-01-03,28.98,29.5,29.038,,,DOWN,0
2011-01-04,28.53,29.23,28.934,,,DOWN,0
2011-01-05,28.41,28.68,28.8,,,UP,1
2011-01-06,29.0,28.61,28.808,,,UP,1
2011-01-07,30.54,31.04,29.092,,,UP,1
2011-01-10,30.9299,30.89,29.482,,,DOWN,0
2011-01-11,30.58,31.2,29.892,,,DOWN,0
2011-01-12,30.3,30.78,30.27,,,UP,1
2011-01-13,30.51,30.38,30.572,,,UP,1
2011-01-14,31.35,30.67,30.734,,,DOWN,0
2011-01-18,30.89,31.15,30.726,,,DOWN,0
2011-01-19,30.52,30.67,30.714,,,UP,1
2011-01-20,30.6,30.3,30.774,,,DOWN,0
2011-01-21,30.22,30.71,30.716,,,UP,1
2011-01-24,30.3,30.18,30.506,,,UP,1
2011-01-25,30.32,30.21,30.392,,,UP,1
2011-01-26,30.35,30.27,30.358,,,DOWN,0
2011-01-27,30.31,30.71,30.3,,,DOWN,0
2011-01-28,29.72,30.19,30.2,,,UP,1
2011-01-31,29.73,29.78,30.086,,,DOWN,0
2011-02-01,29.28,29.75,29.878,,,DOWN,0
2011-02-02,29.12,29.13,29.632,,,DOWN,0
2011-02-03,28.9,29.09,29.35,,,UP,1
2011-02-04,29.2,28.89,29.246,,,UP,1
2011-02-07,29.5,29.74,29.2,,,UP,1
2011-02-08,29.84,29.67,29.312,,,DOWN,0
2011-02-09,29.46,29.62,29.38,,,DOWN,0
2011-02-10,29.25,29.26,29.45,,,DOWN,0
2011-02-11,29.13,29.2,29.436,,,DOWN,0
2011-02-14,28.83,29.0,29.302,,,UP,1
2011-02-15,29.04,28.8,29.142,,,UP,1
2011-02-16,29.14,29.03,29.078,,,DOWN,0
2011-02-17,29.02,29.15,29.032,29.2258,,UP,1
2011-02-18,29.76,29.02,29.158,29.311,,DOWN,0
2011-02-22,29.21,29.5,29.234,29.3368,,DOWN,0
2011-02-23,29.06,29.0,29.238,29.3698,,UP,1
2011-02-24,29.1,29.08,29.23,29.4038,,UP,1
2011-02-25,29.3,29.12,29.286,29.4436,,DOWN,0
2011-02-28,29.25,29.34,29.184,29.4796,,DOWN,0
2011-03-01,29.06,29.4,29.154,29.5078,,DOWN,0
2011-03-02,28.74,29.0,29.09,29.5214,,UP,1
2011-03-03,29.08,28.58,29.086,29.5402,,DOWN,0
2011-03-04,28.8,29.1,28.986,29.538,,DOWN,0
2011-03-07,28.0,28.92,28.736,29.509,,UP,1
2011-03-08,28.74,28.0,28.672,29.5018,,UP,1
2011-03-09,28.9,28.63,28.704,29.5002,,DOWN,0
2011-03-10,28.5,28.66,28.588,29.4892,,DOWN,0
2011-03-11,28.28,28.02,28.484,29.4732,,DOWN,0
2011-03-14,28.18,27.98,28.52,29.4576,,UP,1
2011-03-15,29.07,27.71,28.586,29.4566,,UP,1
2011-03-16,29.36,29.01,28.678,29.4642,,UP,1
2011-03-17,29.97,29.47,28.972,29.493,,UP,1
2011-03-18,30.34,30.0,29.384,29.5316,,UP,1
2011-03-21,30.59,30.41,29.866,29.5634,,DOWN,0
2011-03-22,29.77,30.5,30.006,29.548,,UP,1
2011-03-23,29.9,29.61,30.114,29.5274,,DOWN,0
2011-03-24,29.725,30.01,30.065,29.5103,,UP,1
2011-03-25,30.08,29.82,30.013,29.5059,,UP,1
2011-03-28,30.37,30.06,29.969,29.5031,,DOWN,0
2011-03-29,30.1,30.27,30.035,29.4781,,UP,1
2011-03-30,30.53,30.09,30.161,29.4709,,UP,1
2011-03-31,30.91,30.42,30.398,29.4787,,DOWN,0
2011-04-01,30.72,30.91,30.526,29.4811,,DOWN,0
2011-04-04,30.17,30.9,30.486,29.4801,,DOWN,0
2011-04-05,29.83,30.07,30.432,29.4707,,UP,1
2011-04-06,29.87,29.83,30.3,29.4617,,UP,1
2011-04-07,29.9,29.94,30.098,29.4527,,DOWN,0
2011-04-08,29.23,30.08,29.8,29.4311,,UP,1
2011-04-11,29.9,30.69,29.746,29.4347,,DOWN,0
