ticker,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,FTNT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2009-11-17,1.25,1.25,,,,UP,1
2009-11-18,1.662,1.7,,,,UP,1
2009-11-19,1.689,1.657,,,,UP,1
2009-11-20,1.694,1.688,,,,DOWN,0
2009-11-23,1.69,1.706,1.597,,,UP,1
2009-11-24,1.701,1.68,1.6872,,,UP,1
2009-11-25,1.72,1.715,1.6988,,,DOWN,0
2009-11-27,1.689,1.677,1.6988,,,UP,1
2009-11-30,1.699,1.705,1.6998,,,DOWN,0
2009-12-01,1.682,1.7,1.6982,,,DOWN,0
2009-12-02,1.662,1.69,1.6904,,,UP,1
2009-12-03,1.668,1.662,1.68,,,UP,1
2009-12-04,1.728,1.685,1.6878,,,DOWN,0
2009-12-07,1.692,1.712,1.6864,,,DOWN,0
2009-12-08,1.655,1.695,1.681,,,UP,1
2009-12-09,1.699,1.65,1.6884,,,DOWN,0
2009-12-10,1.692,1.718,1.6932,,,UP,1
2009-12-11,1.694,1.683,1.6864,,,UP,1
2009-12-14,1.7,1.69,1.688,,,DOWN,0
2009-12-15,1.7,1.71,1.697,,,UP,1
2009-12-16,1.825,1.7,1.7222,,,DOWN,0
2009-12-17,1.795,1.83,1.7428,,,DOWN,0
2009-12-18,1.758,1.818,1.7556,,,UP,1
2009-12-21,1.763,1.765,1.7682,,,DOWN,0
2009-12-22,1.723,1.771,1.7728,,,UP,1
2009-12-23,1.796,1.73,1.767,,,UP,1
2009-12-24,1.836,1.799,1.7752,,,DOWN,0
2009-12-28,1.773,1.867,1.7782,,,UP,1
2009-12-29,1.835,1.773,1.7926,,,DOWN,0
2009-12-30,1.802,1.83,1.8084,,,DOWN,0
2009-12-31,1.757,1.806,1.8006,,,UP,1
2010-01-04,1.8,1.788,1.7934,,,UP,1
2010-01-05,1.839,1.803,1.8066,,,UP,1
2010-01-06,1.941,1.888,1.8278,,,UP,1
2010-01-07,1.945,1.953,1.8564,,,UP,1
2010-01-08,2.011,1.955,1.9072,,,DOWN,0
2010-01-11,2.005,2.025,1.9482,,,DOWN,0
2010-01-12,1.979,1.989,1.9762,,,DOWN,0
2010-01-13,1.944,1.976,1.9768,,,UP,1
2010-01-14,1.99,1.946,1.9858,,,DOWN,0
2010-01-15,1.963,1.996,1.9762,,,UP,1
2010-01-19,1.98,1.965,1.9712,,,DOWN,0
2010-01-20,1.906,1.972,1.9566,,,DOWN,0
2010-01-21,1.839,1.915,1.9356,,,DOWN,0
2010-01-22,1.788,1.84,1.8952,,,UP,1
2010-01-25,1.801,1.813,1.8628,,,UP,1
2010-01-26,1.831,1.8,1.833,,,UP,1
2010-01-27,1.865,1.839,1.8248,,,DOWN,0
2010-01-28,1.78,1.9,1.813,,,DOWN,0
2010-01-29,1.723,1.788,1.8,1.7792,,UP,1
2010-02-01,1.745,1.729,1.7888,1.7891,,DOWN,0
2010-02-02,1.713,1.75,1.7652,1.7901,,DOWN,0
2010-02-03,1.644,1.715,1.721,1.7892,,DOWN,0
2010-02-04,1.57,1.638,1.679,1.7867,,DOWN,0
2010-02-05,1.569,1.57,1.6482,1.7843,,UP,1
2010-02-08,1.59,1.575,1.6172,1.7821,,UP,1
2010-02-09,1.659,1.672,1.6064,1.7809,,UP,1
2010-02-10,1.686,1.655,1.6148,1.7808,,DOWN,0
2010-02-11,1.667,1.686,1.6342,1.7802,,DOWN,0
2010-02-12,1.652,1.645,1.6508,1.7796,,DOWN,0
2010-02-16,1.651,1.666,1.663,1.7793,,UP,1
2010-02-17,1.692,1.655,1.6696,1.7798,,UP,1
2010-02-18,1.733,1.695,1.679,1.7799,,DOWN,0
2010-02-19,1.733,1.733,1.6922,1.7807,,DOWN,0
2010-02-22,1.697,1.733,1.7012,1.7816,,DOWN,0
2010-02-23,1.668,1.691,1.7046,1.781,,DOWN,0
2010-02-24,1.657,1.683,1.6976,1.7803,,UP,1
2010-02-25,1.676,1.644,1.6862,1.7799,,UP,1
2010-02-26,1.718,1.681,1.6832,1.7803,,UP,1
2010-03-01,1.799,1.732,1.7036,1.7822,,DOWN,0
2010-03-02,1.746,1.8,1.7192,1.7807,,DOWN,0
2010-03-03,1.709,1.75,1.7296,1.7789,,DOWN,0
2010-03-04,1.687,1.719,1.7318,1.7775,,UP,1
2010-03-05,1.705,1.702,1.7292,1.7764,,UP,1
2010-03-08,1.724,1.71,1.7142,1.7764,,DOWN,0
2010-03-09,1.701,1.713,1.7052,1.7745,,DOWN,0
2010-03-10,1.666,1.707,1.6966,1.7711,,DOWN,0
2010-03-11,1.637,1.659,1.6866,1.7684,,DOWN,0
2010-03-12,1.634,1.65,1.6724,1.7643,,DOWN,0
2010-03-15,1.633,1.636,1.6542,1.761,,UP,1
2010-03-16,1.648,1.633,1.6436,1.7588,,UP,1
2010-03-17,1.694,1.655,1.6492,1.7567,,UP,1
2010-03-18,1.718,1.7,1.6654,1.7542,,DOWN,0
