ticker,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,FTV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-06-13,35.9551,35.9551,,,,UP,1
2016-06-14,39.258,37.6275,,,,UP,1
2016-06-15,39.2998,39.2998,,,,UP,1
2016-06-17,41.8083,40.9721,,,,DOWN,0
2016-06-22,40.136,41.8083,39.2914,,,UP,1
2016-06-23,40.5541,40.6377,40.2112,,,DOWN,0
2016-06-24,38.4636,39.7597,40.0524,,,UP,1
2016-06-27,38.6058,38.9068,39.9135,,,UP,1
2016-06-28,40.136,40.136,39.5791,,,UP,1
2016-06-29,40.4788,40.3032,39.6476,,,UP,1
2016-06-30,41.1895,40.7547,39.7747,,,UP,1
2016-07-01,41.4237,41.6996,40.3667,,,DOWN,0
2016-07-05,40.6377,41.3066,40.7731,,,DOWN,0
2016-07-06,39.9269,39.3583,40.7313,,,DOWN,0
2016-07-07,39.9186,39.8182,40.6193,,,UP,1
2016-07-08,41.9755,40.1025,40.7765,,,UP,1
2016-07-11,42.7448,41.1477,41.0407,,,DOWN,0
2016-07-12,42.2849,42.6445,41.3701,,,UP,1
2016-07-13,42.3267,42.2849,41.8501,,,UP,1
2016-07-14,43.1211,42.0842,42.4906,,,DOWN,0
2016-07-15,42.8368,43.2967,42.6629,,,UP,1
2016-07-18,42.887,42.4521,42.6913,,,UP,1
2016-07-19,43.1044,42.6779,42.8552,,,DOWN,0
2016-07-20,42.0926,43.3468,42.8084,,,DOWN,0
2016-07-21,42.009,42.1428,42.5859,,,DOWN,0
2016-07-22,41.3066,41.8083,42.2799,,,DOWN,0
2016-07-25,40.9554,41.1561,41.8936,,,UP,1
2016-07-26,41.2063,40.6042,41.514,,,DOWN,0
2016-07-27,40.9052,41.039,41.2765,,,DOWN,0
2016-07-28,40.6795,40.7547,41.0106,,,DOWN,0
2016-07-29,40.3116,40.5206,40.8116,,,DOWN,0
2016-08-01,39.9687,40.2279,40.6143,,,DOWN,0
2016-08-02,39.7179,39.7179,40.3166,,,UP,1
2016-08-03,41.2063,39.7179,40.3768,,,UP,1
2016-08-04,41.8334,41.4655,40.6076,,,UP,1
2016-08-05,42.2933,42.0257,41.0039,,,DOWN,0
2016-08-08,41.8501,42.3351,41.3802,,,UP,1
2016-08-09,42.1929,40.7464,41.8752,,,DOWN,0
2016-08-10,42.1846,42.2013,42.0709,,,UP,1
2016-08-11,43.9405,42.4187,42.4923,,,UP,1
2016-08-12,44.0743,43.4806,42.8485,,,UP,1
2016-08-15,44.8687,44.275,43.4522,,,DOWN,0
2016-08-16,44.7767,44.8018,43.969,,,DOWN,0
2016-08-17,44.6596,44.877,44.464,,,DOWN,0
2016-08-18,44.4506,44.5008,44.566,,,DOWN,0
2016-08-19,43.4137,44.275,44.4339,,,DOWN,0
2016-08-22,42.8619,43.4137,44.0325,,,UP,1
2016-08-23,43.397,42.9455,43.7566,,,DOWN,0
2016-08-24,42.9538,42.8619,43.4154,,,UP,1
2016-08-25,43.1629,42.795,43.1579,41.6469,,UP,1
2016-08-26,43.3719,43.1796,43.1495,41.7953,,UP,1
2016-08-29,43.8235,43.2967,43.3418,41.8866,,UP,1
2016-08-30,43.9907,43.6395,43.4606,41.9804,,UP,1
2016-08-31,44.0409,43.8736,43.678,42.025,,DOWN,0
2016-09-01,44.0074,44.2834,43.8469,42.1025,,UP,1
2016-09-02,44.6345,44.3335,44.0994,42.1841,,DOWN,0
2016-09-06,44.091,44.7349,44.1529,42.2966,,UP,1
2016-09-07,44.2666,43.8402,44.2081,42.4098,,DOWN,0
2016-09-08,43.7566,44.0492,44.1512,42.4822,,DOWN,0
2016-09-09,42.2682,43.2883,43.8034,42.518,,UP,1
2016-09-12,42.8201,41.825,43.4405,42.5506,,DOWN,0
2016-09-13,41.8417,42.5274,42.9906,42.559,,DOWN,0
2016-09-14,41.825,41.8501,42.5023,42.5828,,UP,1
2016-09-15,42.218,41.7916,42.1946,42.6286,,DOWN,0
2016-09-16,42.0257,41.9003,42.1461,42.6707,,UP,1
2016-09-19,42.4605,42.1511,42.0742,42.6804,,DOWN,0
2016-09-20,42.0173,42.4605,42.1093,42.6659,,UP,1
2016-09-21,42.6277,42.2013,42.2699,42.6727,,UP,1
2016-09-22,43.1796,42.9371,42.4622,42.6898,,DOWN,0
2016-09-23,42.5441,42.8953,42.5659,42.6782,,UP,1
2016-09-26,42.8284,42.3602,42.6394,42.6781,,UP,1
2016-09-27,43.1545,42.7281,42.8669,42.6834,,UP,1
2016-09-28,43.2465,43.2632,42.9906,42.6863,,DOWN,0
2016-09-29,42.3936,42.7197,42.8334,42.6923,,UP,1
2016-09-30,42.5608,42.7448,42.8368,42.7033,,UP,1
2016-10-03,42.9706,42.3184,42.8652,42.7366,,DOWN,0
2016-10-04,42.4856,42.8619,42.7314,42.7672,,UP,1
2016-10-05,42.5943,42.6612,42.601,42.795,,DOWN,0
2016-10-06,42.3936,42.5023,42.601,42.8247,,DOWN,0
