ticker,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,384.5004,392.1904,305.5682,396.5801,360.0466,DOWN,0
2000-01-04,369.1204,377.4512,305.9991,389.7873,360.9886,DOWN,0
2000-01-05,368.4795,368.4795,306.4758,383.2187,361.937,UP,1
2000-01-06,373.406,366.8775,306.9746,378.4365,362.9648,UP,1
2000-01-07,387.8648,379.3737,307.5233,376.6742,364.1375,DOWN,0
2000-01-10,387.7046,391.3894,308.08,377.315,365.0731,UP,1
2000-01-11,388.3454,387.0637,308.5863,381.1601,365.8934,UP,1
2000-01-12,389.6271,387.2239,309.0821,385.3896,367.0533,UP,1
2000-01-13,394.1129,392.5108,309.6349,389.5309,368.3221,DOWN,0
2000-01-14,387.0637,393.1517,310.1395,389.3707,369.3283,DOWN,0
2000-01-18,379.3737,383.5391,310.5673,387.7046,370.1549,UP,1
2000-01-19,381.2161,375.5287,311.0211,386.2787,370.9223,DOWN,0
2000-01-20,374.0668,382.0973,311.4239,383.1667,371.5339,DOWN,0
2000-01-21,369.4408,379.2135,311.8116,378.2322,372.085,DOWN,0
2000-01-24,354.0608,372.4848,312.144,371.6317,372.2965,UP,1
2000-01-25,355.022,353.9006,312.426,366.7613,372.5272,UP,1
2000-01-26,362.5518,360.1487,312.74,363.0285,372.838,UP,1
2000-01-27,363.3529,362.8723,313.0949,360.8857,373.1584,DOWN,0
2000-01-28,343.487,359.6681,313.3704,355.6949,372.8701,DOWN,0
2000-01-31,343.487,343.487,313.662,353.5802,372.5016,UP,1
2000-02-01,348.6137,344.1279,314.0625,352.2985,372.3286,DOWN,0
2000-02-02,343.6472,351.4974,314.3797,348.5176,372.1427,UP,1
2000-02-03,356.9445,348.4535,314.709,347.2359,372.0947,UP,1
2000-02-04,362.8723,361.4304,315.0718,351.1129,372.2965,DOWN,0
2000-02-07,349.8954,363.1927,315.3746,352.3946,372.2773,UP,1
