ticker,GIS US Equity,GIS US Equity,GIS US Equity,GIS US Equity,GIS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,17.2188,17.6875,19.8705,17.4313,19.074,DOWN,0
2000-01-04,16.9063,17.0313,19.8617,17.3938,18.9884,DOWN,0
2000-01-05,16.8125,16.5938,19.8522,17.2938,18.9012,DOWN,0
2000-01-06,16.7813,16.7813,19.8413,17.1188,18.8171,UP,1
2000-01-07,16.8125,17.2188,19.8305,16.9063,18.7237,DOWN,0
2000-01-10,16.4688,16.8125,19.82,16.7563,18.6205,UP,1
2000-01-11,16.6875,16.5,19.8077,16.7125,18.5184,DOWN,0
2000-01-12,16.6563,16.625,19.7955,16.6813,18.4221,UP,1
2000-01-13,16.7188,16.5,19.7847,16.6688,18.3352,DOWN,0
2000-01-14,16.3438,16.4688,19.7712,16.575,18.239,UP,1
2000-01-18,16.5,16.0,19.7568,16.5813,18.1524,DOWN,0
2000-01-19,16.3438,16.4375,19.7435,16.5125,18.0659,DOWN,0
2000-01-20,16.0625,16.1875,19.7297,16.3938,17.9702,DOWN,0
2000-01-21,15.75,16.0625,19.7137,16.2,17.8734,DOWN,0
2000-01-24,15.5938,15.75,19.6969,16.05,17.7727,DOWN,0
2000-01-25,15.0938,15.375,19.678,15.7688,17.664,UP,1
2000-01-26,15.5,15.7188,19.6604,15.6,17.5652,DOWN,0
2000-01-27,15.1875,15.625,19.6407,15.425,17.464,DOWN,0
2000-01-28,15.125,15.4375,19.6185,15.3,17.359,UP,1
2000-01-31,15.5938,15.0625,19.5975,15.3,17.2677,DOWN,0
2000-02-01,15.125,15.7813,19.5726,15.3063,17.1796,DOWN,0
2000-02-02,15.0625,15.125,19.5504,15.2188,17.089,UP,1
2000-02-03,15.3125,15.0625,19.5275,15.2438,17.0082,DOWN,0
2000-02-04,15.1875,15.25,19.5047,15.2563,16.9275,UP,1
2000-02-07,15.2813,15.4375,19.4817,15.1938,16.8525,UP,1
