ticker,GL US Equity,GL US Equity,GL US Equity,GL US Equity,GL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,12.5833,12.8056,14.1799,12.7944,13.865,DOWN,0
2000-01-04,12.3333,12.3889,14.166,12.7,13.8389,DOWN,0
2000-01-05,12.3333,12.5,14.1539,12.6056,13.8261,DOWN,0
2000-01-06,12.3056,12.2222,14.1406,12.4944,13.8156,UP,1
2000-01-07,12.5556,12.3333,14.129,12.4222,13.8028,DOWN,0
2000-01-10,12.3889,12.6667,14.1176,12.3833,13.7733,DOWN,0
2000-01-11,12.3611,12.2778,14.1067,12.3889,13.7433,DOWN,0
2000-01-12,12.3056,12.3611,14.0983,12.3833,13.7089,UP,1
2000-01-13,12.4167,12.2778,14.0901,12.4056,13.6722,DOWN,0
2000-01-14,12.1667,12.4444,14.079,12.3278,13.6356,DOWN,0
2000-01-18,11.4444,12.1111,14.0642,12.1389,13.5778,DOWN,0
2000-01-19,10.8333,11.5278,14.0483,11.8333,13.49,DOWN,0
2000-01-20,10.5,10.9444,14.0296,11.4722,13.3944,DOWN,0
2000-01-21,10.3611,10.6111,14.0104,11.0611,13.3011,UP,1
2000-01-24,10.4444,10.4722,13.9932,10.7167,13.2122,DOWN,0
2000-01-25,10.3611,10.5833,13.9742,10.5,13.1167,UP,1
2000-01-26,10.5278,10.4722,13.9563,10.4389,13.0217,UP,1
2000-01-27,10.6111,10.6667,13.939,10.4611,12.9272,DOWN,0
2000-01-28,10.2222,10.6111,13.9167,10.4333,12.8122,UP,1
2000-01-31,11.1944,10.5556,13.8964,10.5833,12.7222,DOWN,0
2000-02-01,10.0,11.1111,13.8704,10.5111,12.6172,UP,1
2000-02-02,10.3056,10.1111,13.8467,10.4667,12.5194,UP,1
2000-02-03,10.3333,10.5,13.8225,10.4111,12.425,DOWN,0
2000-02-04,10.25,10.3056,13.7956,10.4167,12.3311,DOWN,0
2000-02-07,10.25,10.25,13.7667,10.2278,12.2444,DOWN,0
