ticker,GLW US Equity,GLW US Equity,GLW US Equity,GLW US Equity,GLW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,40.6042,43.0417,24.1825,41.2958,32.8526,DOWN,0
2000-01-04,36.6667,39.7708,24.2696,40.4542,33.1201,DOWN,0
2000-01-05,35.8333,36.6667,24.3553,39.3458,33.3784,DOWN,0
2000-01-06,35.0,35.5833,24.4354,38.2167,33.6126,UP,1
2000-01-07,38.9583,35.3333,24.5348,37.4125,33.9246,UP,1
2000-01-10,39.3333,40.25,24.6366,37.1583,34.2176,DOWN,0
2000-01-11,35.8125,38.0,24.7141,36.9875,34.4096,DOWN,0
2000-01-12,34.5833,36.1667,24.787,36.7375,34.5713,UP,1
2000-01-13,38.9167,35.0,24.8816,37.5208,34.8246,DOWN,0
2000-01-14,37.3333,39.3333,24.9675,37.1958,35.0592,UP,1
2000-01-18,41.8333,37.3958,25.0752,37.6958,35.3671,UP,1
2000-01-19,44.5625,41.8958,25.198,39.4458,35.7201,UP,1
2000-01-20,51.9167,46.3333,25.3561,42.9125,36.2113,UP,1
2000-01-21,54.0,52.3125,25.5242,45.9292,36.7205,DOWN,0
2000-01-24,51.6667,54.0,25.681,48.7958,37.1776,DOWN,0
2000-01-25,50.4167,50.9167,25.828,50.5125,37.623,UP,1
2000-01-26,52.0,51.0,25.9839,52.0,38.0605,UP,1
2000-01-27,54.0,52.9167,26.1441,52.4167,38.5621,DOWN,0
2000-01-28,49.0,53.8333,26.2866,51.4167,38.9288,UP,1
2000-01-31,51.4167,49.0208,26.4421,51.3667,39.3213,DOWN,0
2000-02-01,49.0833,50.0,26.5873,51.1,39.6596,UP,1
2000-02-02,49.4167,49.125,26.736,50.5833,39.9988,UP,1
2000-02-03,51.4167,50.0,26.893,50.0667,40.3646,UP,1
2000-02-04,54.9583,52.6667,27.0679,51.2583,40.8001,UP,1
2000-02-07,55.2083,54.875,27.2424,52.0167,41.243,UP,1
