ticker,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,GPC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,24.0625,24.875,29.3867,24.675,25.4641,DOWN,0
2000-01-04,23.8125,24.0,29.3563,24.425,25.4266,DOWN,0
2000-01-05,23.6875,23.8125,29.3292,24.2125,25.3841,DOWN,0
2000-01-06,23.6875,23.6875,29.3026,24.0125,25.3504,UP,1
2000-01-07,25.25,23.9375,29.2851,24.1,25.3416,DOWN,0
2000-01-10,24.9375,25.125,29.2688,24.275,25.3204,DOWN,0
2000-01-11,24.5625,25.3125,29.2513,24.425,25.2904,DOWN,0
2000-01-12,24.375,24.75,29.2304,24.5625,25.2516,UP,1
2000-01-13,24.9375,24.4375,29.211,24.8125,25.2166,DOWN,0
2000-01-14,24.75,24.375,29.1913,24.7125,25.1891,UP,1
2000-01-18,24.8125,24.875,29.1688,24.6875,25.1654,UP,1
2000-01-19,25.0625,24.9375,29.1485,24.7875,25.1354,DOWN,0
2000-01-20,24.3125,25.125,29.1238,24.775,25.0941,DOWN,0
2000-01-21,24.1875,24.625,29.0992,24.625,25.0516,DOWN,0
2000-01-24,24.0625,24.4375,29.0729,24.4875,25.0091,DOWN,0
2000-01-25,23.6875,24.125,29.0417,24.2625,24.9516,DOWN,0
2000-01-26,23.1875,23.6875,29.0076,23.8875,24.8904,DOWN,0
2000-01-27,23.0,23.3125,28.972,23.625,24.8279,DOWN,0
2000-01-28,22.75,23.0625,28.931,23.3375,24.7441,UP,1
2000-01-31,24.125,22.875,28.8938,23.35,24.6966,DOWN,0
2000-02-01,23.0625,24.0,28.847,23.225,24.6341,DOWN,0
2000-02-02,23.0,23.0625,28.801,23.1875,24.5741,UP,1
2000-02-03,23.125,23.0,28.7567,23.2125,24.5154,DOWN,0
2000-02-04,22.75,23.0625,28.7123,23.2125,24.4592,UP,1
2000-02-07,22.9375,22.75,28.6688,22.975,24.398,DOWN,0
