ticker,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,GRMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-12-07,7.0,7.0,,,,UP,1
2000-12-08,10.0,7.9063,,,,UP,1
2000-12-11,10.5938,11.3438,,,,DOWN,0
2000-12-12,9.9375,10.6094,,,,DOWN,0
2000-12-13,9.9375,10.375,9.4938,,,UP,1
2000-12-14,10.0625,9.9922,10.1063,,,DOWN,0
2000-12-15,10.0625,10.125,10.1188,,,DOWN,0
2000-12-18,10.0313,10.25,10.0063,,,DOWN,0
2000-12-19,9.8125,10.0234,9.9813,,,DOWN,0
2000-12-20,9.125,9.6875,9.8188,,,DOWN,0
2000-12-21,9.0938,9.0313,9.625,,,UP,1
2000-12-22,9.625,9.3125,9.5375,,,DOWN,0
2000-12-26,9.5,9.6563,9.4313,,,DOWN,0
2000-12-27,9.2813,9.4531,9.325,,,UP,1
2000-12-28,9.3125,9.3125,9.3625,,,UP,1
2000-12-29,9.875,9.5,9.5188,,,DOWN,0
2001-01-02,9.625,10.0859,9.5188,,,DOWN,0
2001-01-03,8.8125,9.3906,9.3813,,,UP,1
2001-01-04,9.0313,8.9688,9.3313,,,UP,1
2001-01-05,9.0625,9.0547,9.2813,,,DOWN,0
2001-01-08,8.75,9.0,9.0563,,,DOWN,0
2001-01-09,8.625,8.9531,8.8563,,,DOWN,0
2001-01-10,8.5,8.5938,8.7938,,,UP,1
2001-01-11,9.0938,8.5156,8.8063,,,UP,1
2001-01-12,9.5625,9.2969,8.9063,,,DOWN,0
2001-01-16,9.5,9.8125,9.0563,,,UP,1
2001-01-17,9.6875,9.5547,9.2688,,,DOWN,0
2001-01-18,9.5,9.7422,9.4688,,,DOWN,0
2001-01-19,9.1875,9.5313,9.4875,,,DOWN,0
2001-01-22,8.9375,9.3125,9.3625,,,DOWN,0
2001-01-23,8.9375,9.125,9.25,,,DOWN,0
2001-01-24,8.5,8.9453,9.0125,,,UP,1
2001-01-25,8.9375,8.625,8.9,,,UP,1
2001-01-26,9.3125,8.75,8.925,,,UP,1
2001-01-29,9.9688,9.4922,9.1313,,,UP,1
2001-01-30,10.0313,9.9688,9.35,,,DOWN,0
2001-01-31,9.7188,9.8828,9.5938,,,UP,1
2001-02-01,9.9375,9.6875,9.7938,,,UP,1
2001-02-02,10.8125,10.0313,10.0938,,,UP,1
2001-02-05,12.0,11.0313,10.5,,,UP,1
2001-02-06,12.375,12.1172,10.9688,,,DOWN,0
2001-02-07,12.1875,12.0625,11.4625,,,UP,1
2001-02-08,12.5625,12.1328,11.9875,,,DOWN,0
2001-02-09,12.0,12.5313,12.225,,,DOWN,0
2001-02-12,11.75,12.125,12.175,,,UP,1
2001-02-13,12.1875,11.9063,12.1375,,,DOWN,0
2001-02-14,11.125,12.25,11.925,,,DOWN,0
2001-02-15,10.625,11.375,11.5375,,,UP,1
2001-02-16,10.6875,10.5938,11.275,,,DOWN,0
2001-02-20,9.8125,11.0,10.8875,9.8919,,DOWN,0
2001-02-21,9.8125,9.6328,10.4125,9.9481,,DOWN,0
2001-02-22,9.2813,9.8047,10.0438,9.9338,,UP,1
2001-02-23,10.25,9.25,9.9688,9.9269,,UP,1
2001-02-26,10.6094,10.25,9.9531,9.9403,,UP,1
2001-02-27,11.0,10.75,10.1906,9.9616,,DOWN,0
2001-02-28,10.9375,11.0625,10.4156,9.9791,,DOWN,0
2001-03-01,10.0,10.875,10.5594,9.9778,,UP,1
2001-03-02,10.0625,10.0938,10.5219,9.9784,,UP,1
2001-03-05,10.4375,10.25,10.4875,9.9909,,DOWN,0
2001-03-06,10.0,10.5,10.2875,10.0084,,UP,1
2001-03-07,10.3125,10.3594,10.1625,10.0328,,DOWN,0
2001-03-08,9.9375,10.375,10.15,10.0391,,DOWN,0
2001-03-09,9.8125,9.9844,10.1,10.0453,,DOWN,0
2001-03-12,9.0625,9.625,9.825,10.0409,,UP,1
2001-03-13,9.4375,9.1875,9.7125,10.0434,,UP,1
2001-03-14,9.9063,9.25,9.6313,10.0441,,UP,1
2001-03-15,10.125,9.9688,9.6688,10.0541,,DOWN,0
2001-03-16,9.8438,10.1875,9.675,10.0747,,DOWN,0
2001-03-19,9.6875,9.8438,9.8,10.0878,,DOWN,0
2001-03-20,9.5625,9.75,9.825,10.0978,,UP,1
2001-03-21,9.9688,9.5625,9.8375,10.1222,,DOWN,0
2001-03-22,9.8125,10.0547,9.775,10.1459,,UP,1
2001-03-23,10.0,10.0,9.8063,10.1759,,UP,1
2001-03-26,10.125,10.0,9.8938,10.1966,,DOWN,0
2001-03-27,9.875,9.9375,9.9563,10.2028,,DOWN,0
2001-03-28,9.375,9.8125,9.8375,10.2003,,UP,1
2001-03-29,9.5313,9.375,9.7813,10.1972,,UP,1
2001-03-30,9.9375,9.5,9.7688,10.2059,,DOWN,0
2001-04-02,9.875,9.6875,9.7188,10.2197,,DOWN,0
2001-04-03,9.25,10.0,9.5938,10.2259,,UP,1
