ticker,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,45.938,47.625,48.2005,47.65,45.5646,DOWN,0
2000-01-04,44.625,45.75,48.2005,46.875,45.5846,UP,1
2000-01-05,45.25,44.375,48.2096,46.325,45.6284,DOWN,0
2000-01-06,45.063,45.0,48.2137,45.7375,45.6859,DOWN,0
2000-01-07,44.375,42.5,48.2146,45.05,45.7321,UP,1
2000-01-10,46.313,44.625,48.2305,45.125,45.8184,UP,1
2000-01-11,48.5,46.063,48.2574,45.9,45.9409,UP,1
2000-01-12,50.125,48.438,48.2933,46.875,46.0909,UP,1
2000-01-13,52.0,50.5,48.338,48.2625,46.2934,UP,1
2000-01-14,55.625,52.75,48.4024,50.5125,46.5784,DOWN,0
2000-01-18,54.625,55.625,48.4593,52.175,46.8496,UP,1
2000-01-19,54.875,53.875,48.5146,53.45,47.1134,DOWN,0
2000-01-20,54.625,55.0,48.5671,54.35,47.3696,DOWN,0
2000-01-21,54.063,53.375,48.6224,54.7625,47.6121,UP,1
2000-01-24,54.188,54.063,48.6727,54.475,47.8621,DOWN,0
2000-01-25,51.438,54.188,48.7033,53.8375,47.9634,DOWN,0
2000-01-26,50.375,50.438,48.7233,52.9375,48.0696,DOWN,0
2000-01-27,50.25,50.438,48.7252,52.0625,48.1684,DOWN,0
2000-01-28,48.125,50.0,48.7133,50.875,48.1921,DOWN,0
2000-01-31,47.938,48.25,48.6962,49.625,48.2421,DOWN,0
2000-02-01,46.938,48.0,48.6668,48.725,48.2659,UP,1
2000-02-02,47.438,47.0,48.6521,48.1375,48.3146,UP,1
2000-02-03,47.5,47.0,48.639,47.5875,48.3771,UP,1
2000-02-04,48.0,47.375,48.634,47.5625,48.4622,DOWN,0
2000-02-07,48.0,47.75,48.623,47.575,48.5059,DOWN,0
2000-02-08,48.0,48.0,48.6137,47.7875,48.5397,UP,1
