ticker,HCA US Equity,HCA US Equity,HCA US Equity,HCA US Equity,HCA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-03-09,30.0,30.0,,,,UP,1
2011-03-10,31.02,31.2,,,,UP,1
2011-03-11,31.12,30.5,,,,DOWN,0
2011-03-14,30.91,30.96,,,,UP,1
2011-03-15,31.34,30.39,30.878,,,DOWN,0
2011-03-16,31.25,31.25,31.128,,,UP,1
2011-03-17,31.91,31.54,31.306,,,UP,1
2011-03-18,33.06,32.11,31.694,,,DOWN,0
2011-03-21,32.25,33.39,31.962,,,DOWN,0
2011-03-22,31.87,32.37,32.068,,,UP,1
2011-03-23,32.68,31.7,32.354,,,UP,1
2011-03-24,32.69,32.53,32.51,,,UP,1
2011-03-25,32.95,32.71,32.488,,,UP,1
2011-03-28,33.04,32.87,32.646,,,UP,1
2011-03-29,33.89,33.44,33.05,,,UP,1
2011-03-30,34.24,34.57,33.362,,,DOWN,0
2011-03-31,33.87,34.0,33.598,,,DOWN,0
2011-04-01,33.74,33.89,33.756,,,DOWN,0
2011-04-04,33.67,33.87,33.882,,,UP,1
2011-04-05,34.02,33.7,33.908,,,DOWN,0
2011-04-06,33.3,33.75,33.72,,,UP,1
2011-04-07,33.66,33.28,33.678,,,DOWN,0
2011-04-08,33.17,33.52,33.564,,,DOWN,0
2011-04-11,32.12,33.34,33.254,,,DOWN,0
2011-04-12,31.53,32.11,32.756,,,UP,1
2011-04-13,32.06,32.0,32.508,,,UP,1
2011-04-14,32.14,31.89,32.204,,,DOWN,0
2011-04-15,31.98,32.3,31.966,,,UP,1
2011-04-18,32.08,31.82,31.958,,,DOWN,0
2011-04-19,31.74,33.08,32.0,,,DOWN,0
2011-04-20,31.65,32.0,31.918,,,DOWN,0
2011-04-21,31.4,31.81,31.77,,,DOWN,0
2011-04-25,31.4,31.56,31.654,,,UP,1
2011-04-26,32.0,31.35,31.638,,,UP,1
2011-04-27,32.65,32.26,31.82,,,DOWN,0
2011-04-28,32.57,32.51,32.004,,,UP,1
2011-04-29,32.8,32.5,32.284,,,UP,1
2011-05-02,33.44,32.8,32.692,,,DOWN,0
2011-05-03,32.61,33.59,32.814,,,UP,1
2011-05-04,33.55,33.1,32.994,,,UP,1
2011-05-05,34.34,33.45,33.348,,,DOWN,0
2011-05-06,34.25,34.06,33.638,,,UP,1
2011-05-09,34.49,34.35,33.848,,,UP,1
2011-05-10,34.59,34.03,34.244,,,DOWN,0
2011-05-11,34.54,34.2,34.442,,,DOWN,0
2011-05-12,34.51,34.3,34.476,,,UP,1
2011-05-13,34.6,34.43,34.546,,,DOWN,0
2011-05-16,34.25,34.3,34.498,,,UP,1
2011-05-17,34.54,34.21,34.488,,,UP,1
2011-05-18,35.07,34.4,34.594,32.851,,DOWN,0
2011-05-19,35.05,35.02,34.702,32.952,,DOWN,0
2011-05-20,34.63,34.9,34.708,33.0242,,DOWN,0
2011-05-23,34.41,34.4,34.74,33.09,,UP,1
2011-05-24,34.49,34.53,34.73,33.1616,,UP,1
2011-05-25,34.68,34.57,34.652,33.2284,,UP,1
2011-05-26,34.83,34.9,34.608,33.3,,DOWN,0
2011-05-27,34.74,34.92,34.63,33.3566,,UP,1
2011-05-31,34.89,34.99,34.726,33.3932,,DOWN,0
2011-06-01,34.77,35.0,34.782,33.4436,,DOWN,0
2011-06-02,34.36,34.84,34.718,33.4934,,DOWN,0
2011-06-03,34.14,34.0,34.58,33.5226,,DOWN,0
2011-06-06,33.74,33.98,34.38,33.5436,,UP,1
2011-06-07,34.52,33.79,34.306,33.575,,UP,1
2011-06-08,34.76,34.57,34.304,33.6094,,UP,1
2011-06-09,35.24,35.03,34.48,33.6364,,DOWN,0
2011-06-10,33.9,35.0,34.432,33.6296,,DOWN,0
2011-06-13,33.65,34.15,34.414,33.6252,,DOWN,0
2011-06-14,33.54,33.8,34.218,33.6212,,DOWN,0
2011-06-15,33.15,33.25,33.896,33.6108,,UP,1
2011-06-16,33.87,34.05,33.622,33.6078,,UP,1
2011-06-17,34.59,34.0,33.76,33.6336,,DOWN,0
2011-06-20,34.23,34.72,33.876,33.645,,DOWN,0
2011-06-21,33.9,34.2,33.948,33.6596,,DOWN,0
2011-06-22,33.42,33.9,34.002,33.6856,,DOWN,0
2011-06-23,33.21,33.3,33.87,33.7192,,DOWN,0
2011-06-24,32.25,33.31,33.402,33.723,,UP,1
2011-06-27,32.48,32.4,33.052,33.7298,,UP,1
2011-06-28,32.75,32.59,32.822,33.7452,,UP,1
2011-06-29,32.76,32.98,32.69,33.7588,,UP,1
2011-06-30,33.0,32.78,32.648,33.784,,UP,1
2011-07-01,33.06,33.14,32.81,33.8122,,UP,1
2011-07-05,33.17,33.07,32.948,33.8476,,UP,1
2011-07-06,33.99,33.26,33.196,33.8994,,UP,1
2011-07-07,34.29,34.25,33.502,33.9452,,DOWN,0
2011-07-08,33.83,33.96,33.668,33.9688,,DOWN,0
2011-07-11,33.06,33.54,33.668,33.9786,,DOWN,0
