ticker,HD US Equity,HD US Equity,HD US Equity,HD US Equity,HD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,65.188,68.625,45.6855,66.8792,56.4303,DOWN,0
2000-01-04,61.75,64.0,45.7863,65.9458,56.7011,UP,1
2000-01-05,63.0,61.75,45.8999,65.0958,57.0019,DOWN,0
2000-01-06,60.0,61.625,45.9994,63.7375,57.2594,UP,1
2000-01-07,63.5,61.75,46.1049,62.6875,57.6003,DOWN,0
2000-01-10,63.188,62.0,46.2083,62.2875,57.8698,DOWN,0
2000-01-11,61.563,63.438,46.3024,62.25,58.0911,DOWN,0
2000-01-12,61.063,61.563,46.396,61.8625,58.2957,UP,1
2000-01-13,62.125,62.125,46.4991,62.2875,58.5115,DOWN,0
2000-01-14,61.938,62.375,46.6036,61.975,58.7469,DOWN,0
2000-01-18,60.5,61.25,46.6959,61.4375,58.9436,UP,1
2000-01-19,61.875,60.125,46.7978,61.5,59.1411,DOWN,0
2000-01-20,60.668,61.563,46.8892,61.4211,59.2995,DOWN,0
2000-01-21,60.0,61.5,46.9669,60.9961,59.4328,DOWN,0
2000-01-24,58.0,60.938,47.0326,60.2086,59.5636,DOWN,0
2000-01-25,56.125,57.0,47.0903,59.3336,59.6353,UP,1
2000-01-26,57.375,55.938,47.1615,58.4336,59.7103,UP,1
2000-01-27,58.25,57.875,47.2411,57.95,59.8253,DOWN,0
2000-01-28,55.625,57.0,47.3092,57.075,59.8661,UP,1
2000-01-31,56.625,56.5,47.3813,56.8,59.9328,UP,1
2000-02-01,62.0,56.938,47.4959,57.975,60.0661,DOWN,0
2000-02-02,60.75,61.0,47.598,58.65,60.1845,DOWN,0
2000-02-03,60.5,60.5,47.6926,59.1,60.3078,UP,1
2000-02-04,61.125,61.0,47.7909,60.2,60.4553,DOWN,0
2000-02-07,59.0,61.0,47.8778,60.675,60.5753,UP,1
2000-02-08,61.0,59.75,47.9801,60.475,60.722,DOWN,0
