ticker,HII US Equity,HII US Equity,HII US Equity,HII US Equity,HII US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-03-22,37.49,35.72,,,,DOWN,0
2011-03-23,37.25,37.07,,,,DOWN,0
2011-03-24,37.25,37.5,,,,UP,1
2011-03-25,39.25,37.5,,,,DOWN,0
2011-03-28,37.75,39.0,37.798,,,DOWN,0
2011-03-29,37.5,37.76,37.8,,,UP,1
2011-03-30,38.2,37.95,37.99,,,UP,1
2011-03-31,41.5,38.45,38.84,,,DOWN,0
2011-04-01,40.04,40.99,38.998,,,UP,1
2011-04-04,40.15,39.86,39.478,,,UP,1
2011-04-05,40.25,39.53,40.028,,,DOWN,0
2011-04-06,39.68,39.86,40.324,,,DOWN,0
2011-04-07,38.8,38.25,39.784,,,DOWN,0
2011-04-08,38.5,38.33,39.476,,,DOWN,0
2011-04-11,38.32,38.5,39.11,,,DOWN,0
2011-04-12,38.05,37.91,38.67,,,DOWN,0
2011-04-13,38.0,37.71,38.334,,,UP,1
2011-04-14,38.77,37.9,38.328,,,UP,1
2011-04-15,40.14,38.89,38.656,,,DOWN,0
2011-04-18,40.05,39.45,39.002,,,DOWN,0
2011-04-19,39.78,40.08,39.348,,,UP,1
2011-04-20,40.06,40.14,39.76,,,DOWN,0
2011-04-21,39.31,40.03,39.868,,,DOWN,0
2011-04-25,39.07,39.13,39.654,,,UP,1
2011-04-26,39.34,38.97,39.512,,,UP,1
2011-04-27,40.01,38.97,39.558,,,DOWN,0
2011-04-28,39.99,40.0,39.544,,,UP,1
2011-04-29,40.0,40.0,39.682,,,UP,1
2011-05-02,40.98,39.41,40.064,,,DOWN,0
2011-05-03,40.5,40.89,40.296,,,DOWN,0
2011-05-04,39.95,40.4,40.284,,,DOWN,0
2011-05-05,39.84,39.81,40.254,,,DOWN,0
2011-05-06,39.5,40.01,40.154,,,UP,1
2011-05-09,39.6,39.33,39.878,,,UP,1
2011-05-10,40.17,39.79,39.812,,,DOWN,0
2011-05-11,38.78,39.48,39.578,,,DOWN,0
2011-05-12,38.39,38.8,39.288,,,UP,1
2011-05-13,38.46,38.31,39.08,,,UP,1
2011-05-16,38.69,38.2,38.898,,,UP,1
2011-05-17,38.78,38.41,38.62,,,DOWN,0
2011-05-18,38.5,38.64,38.564,,,DOWN,0
2011-05-19,38.38,38.45,38.562,,,DOWN,0
2011-05-20,38.06,38.33,38.482,,,DOWN,0
2011-05-23,37.8,37.73,38.304,,,DOWN,0
2011-05-24,37.17,37.71,37.982,,,DOWN,0
2011-05-25,36.67,37.02,37.616,,,DOWN,0
2011-05-26,36.42,36.43,37.224,,,UP,1
2011-05-27,36.58,36.68,36.928,,,DOWN,0
2011-05-31,36.57,36.76,36.682,,,DOWN,0
2011-06-01,36.1,36.57,36.468,38.8078,,DOWN,0
2011-06-02,36.05,36.02,36.344,38.779,,DOWN,0
2011-06-03,35.8,35.67,36.22,38.75,,UP,1
2011-06-06,35.98,35.69,36.1,38.7246,,UP,1
2011-06-07,36.44,36.0,36.074,38.6684,,UP,1
2011-06-08,36.97,36.28,36.248,38.6528,,UP,1
2011-06-09,36.99,36.94,36.436,38.6426,,DOWN,0
2011-06-10,36.33,36.86,36.542,38.6052,,UP,1
2011-06-13,36.51,36.33,36.648,38.5054,,UP,1
2011-06-14,36.58,36.7,36.676,38.4362,,DOWN,0
2011-06-15,36.16,36.25,36.514,38.3564,,DOWN,0
2011-06-16,36.0,36.11,36.316,38.2714,,DOWN,0
2011-06-17,35.95,36.18,36.24,38.1968,,UP,1
2011-06-20,35.99,35.83,36.136,38.1406,,UP,1
2011-06-21,36.35,36.07,36.09,38.0976,,DOWN,0
2011-06-22,36.15,36.18,36.088,38.0542,,DOWN,0
2011-06-23,35.9,36.0,36.068,38.0112,,DOWN,0
2011-06-24,35.59,35.98,35.996,37.963,,DOWN,0
2011-06-27,35.2,35.5,35.838,37.8916,,UP,1
2011-06-28,35.26,35.3,35.62,37.794,,DOWN,0
2011-06-29,34.82,35.26,35.354,37.6894,,DOWN,0
2011-06-30,34.5,34.86,35.074,37.5838,,UP,1
2011-07-01,34.61,34.51,34.878,37.4748,,UP,1
2011-07-05,34.64,34.56,34.766,37.3814,,UP,1
2011-07-06,35.25,34.55,34.764,37.305,,DOWN,0
2011-07-07,34.49,35.4,34.698,37.208,,UP,1
2011-07-08,35.0,34.19,34.798,37.1078,,DOWN,0
2011-07-11,34.84,34.81,34.844,37.0048,,DOWN,0
2011-07-12,34.4,34.66,34.796,36.8928,,DOWN,0
2011-07-13,34.04,34.39,34.554,36.754,,DOWN,0
2011-07-14,33.55,34.09,34.366,36.615,,DOWN,0
2011-07-15,33.52,33.48,34.07,36.4864,,DOWN,0
2011-07-18,33.2,33.4,33.742,36.3536,,UP,1
2011-07-19,33.31,33.31,33.524,36.2298,,DOWN,0
2011-07-20,33.23,33.24,33.362,36.1024,,UP,1
2011-07-21,33.42,33.32,33.336,35.9674,,UP,1
2011-07-22,33.91,33.35,33.414,35.87,,UP,1
