ticker,ICE US Equity,ICE US Equity,ICE US Equity,ICE US Equity,ICE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-11-15,5.2,5.2,,,,UP,1
2005-11-16,7.85,7.8,,,,DOWN,0
2005-11-17,7.05,8.06,,,,DOWN,0
2005-11-18,7.0,7.188,,,,UP,1
2005-11-21,7.18,7.05,6.856,,,DOWN,0
2005-11-22,6.99,7.09,7.214,,,DOWN,0
2005-11-23,6.79,6.94,7.002,,,UP,1
2005-11-25,6.83,6.75,6.958,,,DOWN,0
2005-11-28,6.66,6.78,6.89,,,DOWN,0
2005-11-29,6.394,6.66,6.7328,,,UP,1
2005-11-30,6.46,6.42,6.6268,,,UP,1
2005-12-01,7.0,6.46,6.6688,,,UP,1
2005-12-02,7.22,7.0,6.7468,,,UP,1
2005-12-05,7.362,7.236,6.8872,,,DOWN,0
2005-12-06,7.316,7.362,7.0716,,,DOWN,0
2005-12-07,7.09,7.33,7.1976,,,UP,1
2005-12-08,7.2,7.14,7.2376,,,UP,1
2005-12-09,7.24,7.2,7.2416,,,UP,1
2005-12-12,7.29,7.29,7.2272,,,DOWN,0
2005-12-13,7.118,7.288,7.1876,,,DOWN,0
2005-12-14,7.0,7.1,7.1696,,,DOWN,0
2005-12-15,6.8,6.99,7.0896,,,UP,1
2005-12-16,6.838,6.77,7.0092,,,UP,1
2005-12-19,6.874,6.8,6.926,,,UP,1
2005-12-20,6.988,6.924,6.9,,,DOWN,0
2005-12-21,6.958,6.98,6.8916,,,DOWN,0
2005-12-22,6.94,6.958,6.9196,,,DOWN,0
2005-12-23,6.85,6.89,6.922,,,UP,1
2005-12-27,7.05,6.9,6.9572,,,DOWN,0
2005-12-28,7.016,7.05,6.9628,,,UP,1
2005-12-29,7.228,6.98,7.0168,,,UP,1
2005-12-30,7.27,7.25,7.0828,,,UP,1
2006-01-03,7.572,7.3,7.2272,,,DOWN,0
2006-01-04,7.38,7.58,7.2932,,,UP,1
2006-01-05,7.862,7.64,7.4624,,,UP,1
2006-01-06,8.064,7.85,7.6296,,,UP,1
2006-01-09,8.722,8.2,7.92,,,UP,1
2006-01-10,9.202,8.672,8.246,,,UP,1
2006-01-11,9.384,9.298,8.6468,,,DOWN,0
2006-01-12,8.792,9.468,8.8328,,,UP,1
2006-01-13,8.91,8.742,9.002,,,UP,1
2006-01-17,9.276,9.1,9.1128,,,DOWN,0
2006-01-18,9.156,9.27,9.1036,,,UP,1
2006-01-19,9.49,9.14,9.1248,,,DOWN,0
2006-01-20,9.26,9.6,9.2184,,,UP,1
2006-01-23,9.554,9.26,9.3472,,,UP,1
2006-01-24,10.556,9.548,9.6032,,,UP,1
2006-01-25,10.6,10.7,9.892,,,DOWN,0
2006-01-26,10.49,10.65,10.092,,,DOWN,0
2006-01-27,10.202,10.01,10.2804,7.7505,,DOWN,0
2006-01-30,9.824,10.05,10.3344,7.843,,UP,1
2006-01-31,10.164,9.824,10.256,7.8892,,UP,1
2006-02-01,11.126,10.5,10.3612,7.9708,,DOWN,0
2006-02-02,11.04,11.08,10.4712,8.0516,,UP,1
2006-02-03,11.102,11.24,10.6512,8.13,,UP,1
2006-02-06,11.142,11.46,10.9148,8.213,,DOWN,0
2006-02-07,10.69,11.11,11.02,8.291,,UP,1
2006-02-08,10.696,10.9,10.934,8.3684,,DOWN,0
2006-02-09,10.598,10.746,10.8456,8.4471,,DOWN,0
2006-02-10,10.346,10.648,10.6944,8.5262,,UP,1
2006-02-13,10.548,10.2,10.5756,8.6079,,DOWN,0
2006-02-14,10.396,10.548,10.5168,8.6758,,DOWN,0
2006-02-15,10.396,10.4,10.4568,8.7394,,DOWN,0
2006-02-16,10.314,10.446,10.4,8.7984,,DOWN,0
2006-02-17,10.272,10.35,10.3852,8.8575,,DOWN,0
2006-02-21,9.928,10.274,10.2612,8.9143,,DOWN,0
2006-02-22,9.846,9.828,10.1512,8.9672,,UP,1
2006-02-23,9.98,10.04,10.068,9.022,,UP,1
2006-02-24,10.9,10.36,10.1852,9.0942,,UP,1
2006-02-27,11.37,11.0,10.4048,9.1792,,DOWN,0
2006-02-28,10.95,11.32,10.6092,9.2582,,UP,1
2006-03-01,11.352,11.0,10.9104,9.3493,,UP,1
2006-03-02,11.872,11.32,11.2888,9.45,,UP,1
2006-03-03,12.12,12.1,11.5328,9.5549,,UP,1
2006-03-06,12.262,12.3,11.7112,9.6604,,DOWN,0
2006-03-07,12.0,12.262,11.9212,9.7612,,DOWN,0
2006-03-08,11.838,12.2,12.0184,9.8592,,UP,1
2006-03-09,12.798,11.888,12.2036,9.9781,,UP,1
2006-03-10,13.428,12.798,12.4652,10.1057,,UP,1
2006-03-13,14.256,13.65,12.864,10.2505,,DOWN,0
2006-03-14,13.724,14.3,13.2088,10.3804,,UP,1
2006-03-15,13.858,13.75,13.6128,10.5122,,DOWN,0
2006-03-16,13.358,13.86,13.7248,10.6279,,UP,1
2006-03-17,13.62,13.358,13.7632,10.7527,,UP,1
