ticker,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,4.0156,4.0078,4.9411,4.0375,4.2669,DOWN,0
2000-01-04,3.6563,3.9531,4.9343,3.95,4.2647,UP,1
2000-01-05,3.7656,3.75,4.9285,3.8906,4.2663,DOWN,0
2000-01-06,3.75,3.7656,4.9197,3.8438,4.2678,UP,1
2000-01-07,3.9531,3.7578,4.9107,3.8281,4.2728,UP,1
2000-01-10,4.0938,3.9531,4.9023,3.8438,4.2797,UP,1
2000-01-11,4.4375,4.1094,4.8951,4.0,4.2928,DOWN,0
2000-01-12,4.375,4.3438,4.8871,4.1219,4.3047,UP,1
2000-01-13,4.4375,4.4219,4.8793,4.2594,4.315,DOWN,0
2000-01-14,4.4219,4.3906,4.8716,4.3531,4.3188,DOWN,0
2000-01-18,4.2813,4.3906,4.8628,4.3906,4.3244,DOWN,0
2000-01-19,4.2188,4.2891,4.8559,4.3469,4.3256,DOWN,0
2000-01-20,4.125,4.1875,4.8486,4.2969,4.3269,DOWN,0
2000-01-21,4.0938,4.125,4.8427,4.2281,4.3281,DOWN,0
2000-01-24,4.0156,4.0938,4.8354,4.1469,4.3272,DOWN,0
2000-01-25,3.7813,4.0078,4.8286,4.0469,4.3134,UP,1
2000-01-26,3.9844,3.8438,4.8218,4.0,4.3041,DOWN,0
2000-01-27,3.9063,3.9688,4.8136,3.9563,4.295,UP,1
2000-01-28,4.0,4.0156,4.8054,3.9375,4.2813,DOWN,0
2000-01-31,3.7656,3.9141,4.7943,3.8875,4.26,UP,1
2000-02-01,4.0625,3.8438,4.7846,3.9438,4.2431,UP,1
2000-02-02,4.1094,3.9922,4.775,3.9688,4.2297,UP,1
2000-02-03,4.375,4.1719,4.7672,4.0625,4.2291,UP,1
2000-02-04,4.4219,4.3203,4.7596,4.1469,4.2303,UP,1
2000-02-07,4.4844,4.4688,4.7518,4.2906,4.2297,UP,1
