ticker,ILMN US Equity,ILMN US Equity,ILMN US Equity,ILMN US Equity,ILMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-07-27,8.0,8.0,,,,UP,1
2000-07-28,19.586,14.938,,,,DOWN,0
2000-07-31,17.5,19.125,,,,UP,1
2000-08-01,17.75,17.406,,,,UP,1
2000-08-02,19.063,16.813,16.3797,,,UP,1
2000-08-03,22.125,19.063,19.2047,,,DOWN,0
2000-08-04,20.469,22.742,19.3813,,,UP,1
2000-08-07,21.125,21.469,20.1063,,,DOWN,0
2000-08-08,20.492,21.094,20.6547,,,UP,1
2000-08-09,21.406,20.844,21.1234,,,UP,1
2000-08-10,22.5,21.313,21.1984,,,DOWN,0
2000-08-11,20.938,22.469,21.2922,,,DOWN,0
2000-08-14,20.0,21.313,21.0672,,,DOWN,0
2000-08-15,20.0,20.219,20.9688,,,UP,1
2000-08-16,21.313,21.031,20.95,,,DOWN,0
2000-08-17,20.938,21.188,20.6375,,,UP,1
2000-08-18,22.0,20.938,20.85,,,UP,1
2000-08-21,22.594,22.0,21.3688,,,DOWN,0
2000-08-22,21.063,22.625,21.5813,,,DOWN,0
2000-08-23,20.563,21.25,21.4313,,,DOWN,0
2000-08-24,20.008,20.625,21.2453,,,UP,1
2000-08-25,20.875,20.031,21.0203,,,DOWN,0
2000-08-28,20.813,21.813,20.6641,,,UP,1
2000-08-29,21.25,20.813,20.7016,,,DOWN,0
2000-08-30,20.0,20.875,20.5891,,,UP,1
2000-08-31,22.375,19.938,21.0625,,,UP,1
2000-09-01,23.313,23.0,21.55,,,DOWN,0
2000-09-05,22.875,23.563,21.9625,,,DOWN,0
2000-09-06,21.0,23.406,21.9125,,,UP,1
2000-09-07,22.5,21.875,22.4125,,,DOWN,0
2000-09-08,21.469,22.5,22.2313,,,DOWN,0
2000-09-11,20.563,21.5,21.6813,,,DOWN,0
2000-09-12,20.375,20.625,21.1813,,,DOWN,0
2000-09-13,18.25,19.953,20.6313,,,UP,1
2000-09-14,18.5,18.453,19.8313,,,UP,1
2000-09-15,18.875,18.5,19.3125,,,DOWN,0
2000-09-18,17.0,17.75,18.6,,,DOWN,0
2000-09-19,16.656,17.0,17.8563,,,UP,1
2000-09-20,17.0,16.938,17.6063,,,UP,1
2000-09-21,17.688,17.719,17.4438,,,UP,1
2000-09-22,19.625,17.031,17.5938,,,UP,1
2000-09-25,19.938,20.266,18.1813,,,DOWN,0
2000-09-26,19.906,20.0,18.8313,,,UP,1
2000-09-27,20.813,19.688,19.5938,,,UP,1
2000-09-28,21.875,20.375,20.4313,,,UP,1
2000-09-29,22.688,21.875,21.0438,,,UP,1
2000-10-02,22.875,23.625,21.6313,,,DOWN,0
2000-10-03,20.0,22.781,21.65,,,DOWN,0
2000-10-04,18.063,19.813,21.1,,,DOWN,0
2000-10-05,17.813,18.25,20.2875,20.088,,DOWN,0
2000-10-06,15.031,18.0,18.7563,20.2286,,UP,1
2000-10-09,15.375,16.0,17.2563,20.1444,,UP,1
2000-10-10,16.25,15.445,16.5063,20.1194,,DOWN,0
2000-10-11,16.0,16.039,16.0938,20.0844,,UP,1
2000-10-12,16.125,16.25,15.7563,20.0256,,UP,1
2000-10-13,17.563,16.0,16.2625,19.9344,,UP,1
2000-10-16,17.75,18.0,16.7375,19.88,,UP,1
2000-10-17,18.094,17.625,17.1063,19.8194,,DOWN,0
2000-10-18,17.375,17.25,17.3813,19.757,,DOWN,0
2000-10-19,17.313,17.844,17.6188,19.6752,,DOWN,0
2000-10-20,16.5,16.75,17.4063,19.5552,,UP,1
2000-10-23,17.0,17.125,17.2563,19.4764,,UP,1
2000-10-24,17.063,17.25,17.05,19.4177,,UP,1
2000-10-25,18.0,17.063,17.175,19.3777,,UP,1
2000-10-26,19.375,17.563,17.5875,19.3389,,DOWN,0
2000-10-27,18.25,20.0,17.9375,19.2852,,DOWN,0
2000-10-30,16.25,18.25,17.7875,19.1702,,DOWN,0
2000-10-31,16.25,16.25,17.625,19.0433,,UP,1
2000-11-01,16.781,16.375,17.3813,18.9577,,UP,1
2000-11-02,17.813,17.0,17.0688,18.9027,,UP,1
2000-11-03,18.25,17.125,17.0688,18.8675,,UP,1
2000-11-06,20.313,19.063,17.8813,18.8563,,UP,1
2000-11-07,20.5,20.367,18.7313,18.85,,DOWN,0
2000-11-08,20.313,20.563,19.4375,18.8313,,DOWN,0
2000-11-09,19.438,20.313,19.7625,18.82,,DOWN,0
2000-11-10,19.0,19.125,19.9125,18.7525,,DOWN,0
2000-11-13,18.5,19.008,19.55,18.6563,,DOWN,0
2000-11-14,16.969,18.633,18.8438,18.5381,,DOWN,0
2000-11-15,15.875,16.75,17.9563,18.4356,,DOWN,0
2000-11-16,12.688,16.25,16.6063,18.2394,,DOWN,0
2000-11-17,11.438,12.758,15.0938,18.0388,,DOWN,0
2000-11-20,10.688,11.5,13.5313,17.8413,,DOWN,0
2000-11-21,10.656,10.688,12.2688,17.6469,,DOWN,0
