ticker,INCY US Equity,INCY US Equity,INCY US Equity,INCY US Equity,INCY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,44.8281,32.6563,12.7525,33.2656,15.8422,UP,1
2000-01-04,46.625,42.5,12.9291,36.6063,16.58,DOWN,0
2000-01-05,42.9844,46.5625,13.0881,39.0406,17.2497,DOWN,0
2000-01-06,41.6563,45.3125,13.2421,41.2188,17.9053,UP,1
2000-01-07,52.1875,41.875,13.4486,45.6563,18.7597,UP,1
2000-01-10,55.125,54.0,13.6696,47.7156,19.6784,DOWN,0
2000-01-11,54.3125,59.25,13.8886,49.2531,20.5722,DOWN,0
2000-01-12,51.5,58.5313,14.0951,50.9563,21.3878,UP,1
2000-01-13,68.625,52.25,14.3881,56.35,22.5572,DOWN,0
2000-01-14,65.9063,65.5,14.6675,59.0938,23.6659,DOWN,0
2000-01-18,65.0313,66.0625,14.9448,61.075,24.7572,UP,1
2000-01-19,69.9375,64.75,15.2468,64.2,25.9559,UP,1
2000-01-20,72.8594,70.0,15.5634,68.4719,27.2131,UP,1
2000-01-21,78.5625,72.25,15.9034,70.4594,28.5869,DOWN,0
2000-01-24,69.0313,80.0,16.1979,71.0844,29.7669,DOWN,0
2000-01-25,64.6875,68.75,16.4607,71.0156,30.8356,UP,1
2000-01-26,67.9375,67.25,16.7357,70.6156,31.9719,UP,1
2000-01-27,69.4688,67.75,17.025,69.9375,33.1278,DOWN,0
2000-01-28,64.25,70.4688,17.2924,67.075,34.1903,DOWN,0
2000-01-31,54.875,62.375,17.5121,64.2438,35.0541,UP,1
2000-02-01,55.9375,54.5625,17.7404,62.4938,35.9328,UP,1
2000-02-02,61.9375,56.75,17.9986,61.2938,36.9416,UP,1
2000-02-03,72.5,65.375,18.3079,61.9,38.1466,DOWN,0
2000-02-04,67.5,70.875,18.6012,62.55,39.2191,UP,1
2000-02-07,70.0,68.1875,18.9071,65.575,40.3203,DOWN,0
2000-02-08,68.5,70.9375,19.2042,68.0875,41.3828,UP,1
