ticker,INTC US Equity,INTC US Equity,INTC US Equity,INTC US Equity,INTC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,43.5,41.6328,34.9846,41.9875,39.2038,DOWN,0
2000-01-04,41.4688,42.7188,35.048,41.9813,39.2988,UP,1
2000-01-05,41.8125,41.5,35.1139,41.9563,39.4225,DOWN,0
2000-01-06,39.375,40.875,35.1617,41.4625,39.4956,UP,1
2000-01-07,41.0,38.75,35.2193,41.4313,39.6213,UP,1
2000-01-10,42.875,42.875,35.2878,41.3063,39.7569,UP,1
2000-01-11,44.8438,44.2813,35.36,41.9813,39.8794,UP,1
2000-01-12,45.625,45.4375,35.4362,42.7438,40.0319,DOWN,0
2000-01-13,45.5313,46.3438,35.5153,43.975,40.1675,UP,1
2000-01-14,51.5313,49.25,35.6218,46.0813,40.4006,DOWN,0
2000-01-18,51.0625,50.1484,35.7178,47.7188,40.6063,DOWN,0
2000-01-19,50.0313,50.5,35.8049,48.7563,40.7831,DOWN,0
2000-01-20,47.8125,49.875,35.8788,49.1938,40.9181,UP,1
2000-01-21,48.9688,48.0,35.9598,49.8813,41.0969,UP,1
2000-01-24,49.4063,51.1172,36.0433,49.4563,41.295,UP,1
2000-01-25,50.7813,49.6875,36.1441,49.4,41.5163,DOWN,0
2000-01-26,48.25,50.375,36.2341,49.0438,41.7194,UP,1
2000-01-27,49.0625,49.6875,36.3369,49.2938,41.96,DOWN,0
2000-01-28,47.0,48.625,36.4258,48.9,42.1344,UP,1
2000-01-31,49.4688,46.8125,36.53,48.9125,42.3763,UP,1
2000-02-01,50.7188,49.1875,36.6449,48.9,42.6056,DOWN,0
2000-02-02,50.0313,50.5,36.7536,49.2563,42.8075,UP,1
2000-02-03,52.0938,50.8438,36.868,49.8625,43.0444,UP,1
2000-02-04,52.375,52.1875,36.9761,50.9375,43.3019,UP,1
2000-02-07,53.9688,52.4688,37.0916,51.8375,43.5594,UP,1
2000-02-08,54.4063,54.4063,37.2025,52.575,43.845,DOWN,0
