ticker,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,IRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,9.0562,9.9761,7.8882,9.7129,8.2816,DOWN,0
2000-01-04,8.7708,9.0562,7.8953,9.4876,8.3197,DOWN,0
2000-01-05,8.4853,8.7232,7.9012,9.2212,8.3558,DOWN,0
2000-01-06,8.406,8.5487,7.9083,8.9389,8.3949,DOWN,0
2000-01-07,8.3742,8.4377,7.9131,8.6185,8.4329,UP,1
2000-01-10,8.8025,8.3901,7.9178,8.5677,8.471,UP,1
2000-01-11,8.8976,8.8025,7.9242,8.5931,8.4967,DOWN,0
2000-01-12,8.5487,8.8818,7.9279,8.6058,8.5186,UP,1
2000-01-13,8.628,8.6121,7.9314,8.6502,8.5332,DOWN,0
2000-01-14,8.6121,8.628,7.9352,8.6978,8.5563,DOWN,0
2000-01-18,8.2949,8.5487,7.9365,8.5963,8.5725,DOWN,0
2000-01-19,8.2949,8.3425,7.938,8.4757,8.5868,UP,1
2000-01-20,8.5011,8.2791,7.9399,8.4662,8.601,UP,1
2000-01-21,8.7549,8.5011,7.9452,8.4916,8.6236,UP,1
2000-01-24,8.8501,8.7708,7.9509,8.5392,8.648,DOWN,0
2000-01-25,8.5328,8.8501,7.9555,8.5868,8.6686,DOWN,0
2000-01-26,8.5011,8.5328,7.9593,8.628,8.6861,DOWN,0
2000-01-27,8.5011,8.5328,7.9631,8.628,8.7006,UP,1
2000-01-28,8.628,8.5328,7.9702,8.6026,8.72,DOWN,0
2000-01-31,8.3742,8.6914,7.9765,8.5075,8.7333,DOWN,0
2000-02-01,8.2791,8.3425,7.9841,8.4567,8.7428,UP,1
2000-02-02,8.4694,8.2156,7.9912,8.4504,8.7539,UP,1
2000-02-03,8.5328,8.406,7.9992,8.4567,8.7663,UP,1
2000-02-04,8.8342,8.4377,8.008,8.498,8.7819,DOWN,0
2000-02-07,8.3742,8.7866,8.0125,8.498,8.7923,UP,1
