ticker,ISRG US Equity,ISRG US Equity,ISRG US Equity,ISRG US Equity,ISRG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-06-12,2.0,2.0,,,,UP,1
2000-06-13,2.007,2.0,,,,DOWN,0
2000-06-14,2.0,2.0,,,,UP,1
2000-06-15,2.028,2.056,,,,DOWN,0
2000-06-16,2.028,2.014,2.0125,,,DOWN,0
2000-06-19,2.0,2.028,2.0125,,,UP,1
2000-06-20,2.083,2.007,2.0278,,,UP,1
2000-06-21,2.444,2.222,2.1167,,,DOWN,0
2000-06-22,2.194,2.458,2.15,,,UP,1
2000-06-23,2.306,2.264,2.2056,,,DOWN,0
2000-06-26,2.222,2.333,2.25,,,DOWN,0
2000-06-27,2.111,2.222,2.2556,,,UP,1
2000-06-28,2.139,2.139,2.1944,,,DOWN,0
2000-06-29,2.0,2.194,2.1556,,,UP,1
2000-06-30,2.097,2.069,2.1139,,,UP,1
2000-07-03,2.139,2.167,2.0972,,,UP,1
2000-07-05,2.222,2.167,2.1194,,,DOWN,0
2000-07-06,2.167,2.222,2.125,,,UP,1
2000-07-07,2.278,2.229,2.1806,,,UP,1
2000-07-10,2.792,2.458,2.3194,,,UP,1
2000-07-11,2.833,3.014,2.4583,,,UP,1
2000-07-12,3.333,3.104,2.6806,,,UP,1
2000-07-13,3.722,4.0,2.9917,,,DOWN,0
2000-07-14,3.444,3.917,3.225,,,UP,1
2000-07-17,3.472,3.556,3.3611,,,DOWN,0
2000-07-18,3.222,3.486,3.4389,,,DOWN,0
2000-07-19,3.111,3.194,3.3944,,,UP,1
2000-07-20,3.528,3.069,3.3556,,,UP,1
2000-07-21,3.806,3.528,3.4278,,,DOWN,0
2000-07-24,3.722,3.778,3.4778,,,DOWN,0
2000-07-25,3.583,3.75,3.55,,,UP,1
2000-07-26,3.861,3.583,3.7,,,DOWN,0
2000-07-27,3.806,3.722,3.7556,,,DOWN,0
2000-07-28,3.611,3.806,3.7167,,,UP,1
2000-07-31,4.194,3.556,3.8111,,,DOWN,0
2000-08-01,3.875,3.986,3.8694,,,DOWN,0
2000-08-02,3.792,3.889,3.8556,,,UP,1
2000-08-03,3.903,3.778,3.875,,,DOWN,0
2000-08-04,3.792,4.0,3.9111,,,DOWN,0
2000-08-07,3.556,3.778,3.7833,,,DOWN,0
2000-08-08,3.5,3.722,3.7083,,,DOWN,0
2000-08-09,3.264,3.493,3.6028,,,UP,1
2000-08-10,3.278,3.278,3.4778,,,DOWN,0
2000-08-11,3.111,3.181,3.3417,,,DOWN,0
2000-08-14,3.111,3.257,3.2528,,,DOWN,0
2000-08-15,2.806,3.097,3.1139,,,UP,1
2000-08-16,3.042,2.833,3.0694,,,UP,1
2000-08-17,3.222,3.111,3.0583,,,DOWN,0
2000-08-18,3.111,3.229,3.0583,,,DOWN,0
2000-08-21,3.014,3.09,3.0389,2.9376,,DOWN,0
2000-08-22,2.944,2.944,3.0667,2.9565,,DOWN,0
2000-08-23,2.903,2.889,3.0389,2.9744,,DOWN,0
2000-08-24,2.861,2.861,2.9667,2.9917,,UP,1
2000-08-25,3.361,2.84,3.0167,3.0183,,DOWN,0
2000-08-28,3.194,3.354,3.0528,3.0417,,DOWN,0
2000-08-29,3.194,3.403,3.1028,3.0656,,UP,1
2000-08-30,3.333,3.229,3.1889,3.0906,,DOWN,0
2000-08-31,3.222,3.389,3.2611,3.1061,,DOWN,0
2000-09-01,3.083,3.229,3.2056,3.1239,,UP,1
2000-09-05,3.097,3.111,3.1861,3.1397,,DOWN,0
2000-09-06,3.056,3.083,3.1583,3.1564,,UP,1
2000-09-07,3.083,3.056,3.1083,3.1758,,UP,1
2000-09-08,3.111,3.097,3.0861,3.1953,,UP,1
2000-09-11,3.153,3.125,3.1,3.2183,,UP,1
2000-09-12,3.319,3.181,3.1444,3.2428,,DOWN,0
2000-09-13,3.125,3.306,3.1583,3.2625,,UP,1
2000-09-14,3.236,3.222,3.1889,3.2828,,DOWN,0
2000-09-15,3.0,3.16,3.1667,3.2994,,DOWN,0
2000-09-18,2.889,3.056,3.1139,3.3117,,DOWN,0
2000-09-19,2.833,2.833,3.0167,3.3125,,DOWN,0
2000-09-20,2.583,2.861,2.9083,3.3075,,DOWN,0
2000-09-21,2.444,2.583,2.75,3.2897,,UP,1
2000-09-22,2.653,2.396,2.6806,3.2683,,DOWN,0
2000-09-25,2.639,2.667,2.6306,3.2522,,DOWN,0
2000-09-26,2.639,2.653,2.5917,3.2356,,DOWN,0
2000-09-27,2.583,2.639,2.5917,3.2228,,UP,1
2000-09-28,2.611,2.722,2.625,3.2128,,DOWN,0
2000-09-29,2.611,2.556,2.6167,3.1944,,UP,1
2000-10-02,2.625,2.611,2.6139,3.1708,,DOWN,0
2000-10-03,2.583,2.778,2.6028,3.1481,,DOWN,0
2000-10-04,2.556,2.569,2.5972,3.1275,,DOWN,0
2000-10-05,2.458,2.556,2.5667,3.0994,,DOWN,0
2000-10-06,2.306,2.514,2.5056,3.0694,,DOWN,0
