ticker,ITW US Equity,ITW US Equity,ITW US Equity,ITW US Equity,ITW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,31.9375,30.25,36.4012,32.9188,33.4384,DOWN,0
2000-01-04,30.5,31.8125,36.3876,32.3938,33.3384,UP,1
2000-01-05,30.875,30.5,36.3788,31.975,33.2522,DOWN,0
2000-01-06,30.6563,30.4375,36.3738,31.55,33.1691,UP,1
2000-01-07,32.625,31.1875,36.3771,31.3188,33.1166,UP,1
2000-01-10,33.25,32.6875,36.386,31.5813,33.0647,DOWN,0
2000-01-11,32.9063,33.2188,36.3932,32.0625,32.9884,DOWN,0
2000-01-12,32.5,32.9063,36.402,32.3875,32.9009,UP,1
2000-01-13,34.1563,32.5,36.418,33.0875,32.8716,DOWN,0
2000-01-14,33.75,34.2813,36.4326,33.3125,32.8403,DOWN,0
2000-01-18,32.2813,33.125,36.4432,33.1188,32.7984,DOWN,0
2000-01-19,32.1875,32.0625,36.4518,32.975,32.7791,DOWN,0
2000-01-20,31.4688,32.5,36.4566,32.7688,32.7416,DOWN,0
2000-01-21,31.2188,32.125,36.4593,32.1813,32.7103,DOWN,0
2000-01-24,30.6563,31.375,36.4598,31.5625,32.6659,DOWN,0
2000-01-25,29.8125,30.6563,36.4532,31.0688,32.6028,UP,1
2000-01-26,30.1563,29.9375,36.4443,30.6625,32.5797,DOWN,0
2000-01-27,29.875,30.1875,36.4255,30.3438,32.5447,DOWN,0
2000-01-28,28.75,29.75,36.3876,29.85,32.4697,UP,1
2000-01-31,29.25,29.0,36.3518,29.5688,32.3834,UP,1
2000-02-01,29.6563,29.375,36.302,29.5375,32.3134,DOWN,0
2000-02-02,29.6563,29.6563,36.2651,29.4375,32.2341,UP,1
2000-02-03,30.1875,30.0,36.2354,29.5,32.1641,DOWN,0
2000-02-04,30.1563,30.3125,36.2088,29.7813,32.0984,UP,1
2000-02-07,30.2813,30.0938,36.1802,29.9875,32.0172,DOWN,0
