ticker,IVZ US Equity,IVZ US Equity,IVZ US Equity,IVZ US Equity,IVZ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,22.3,22.5,18.7241,22.655,19.725,DOWN,0
2000-01-04,21.925,22.4,18.7353,22.525,19.8715,DOWN,0
2000-01-05,21.0,20.9,18.7413,22.105,19.9995,DOWN,0
2000-01-06,20.75,21.05,18.743,21.715,20.1225,UP,1
2000-01-07,21.525,21.05,18.7506,21.5,20.262,DOWN,0
2000-01-10,21.4,21.525,18.7588,21.32,20.363,UP,1
2000-01-11,21.95,22.4,18.7718,21.325,20.443,UP,1
2000-01-12,22.2,22.0,18.7833,21.565,20.5205,UP,1
2000-01-13,23.2,22.9,18.7992,22.055,20.6265,UP,1
2000-01-14,23.375,23.35,18.8139,22.425,20.736,UP,1
2000-01-18,24.2,24.7,18.8325,22.985,20.8635,DOWN,0
2000-01-19,23.6,23.9,18.8495,23.315,20.9795,DOWN,0
2000-01-20,22.7,23.1,18.8624,23.415,21.0775,DOWN,0
2000-01-21,22.625,22.6,18.8766,23.3,21.174,UP,1
2000-01-24,23.175,22.9,18.896,23.26,21.2835,DOWN,0
2000-01-25,22.775,22.85,18.9137,22.975,21.385,DOWN,0
2000-01-26,21.775,22.2,18.9249,22.61,21.4745,DOWN,0
2000-01-27,21.6,21.75,18.9317,22.39,21.5485,DOWN,0
2000-01-28,21.4,21.5,18.931,22.145,21.604,UP,1
2000-01-31,21.675,21.3,18.9289,21.845,21.6465,UP,1
2000-02-01,22.0,21.6,18.9347,21.69,21.6895,UP,1
2000-02-02,22.55,21.75,18.9453,21.845,21.7625,DOWN,0
2000-02-03,22.2,22.15,18.9505,21.965,21.8165,UP,1
2000-02-04,22.65,22.3,18.9622,22.215,21.8895,UP,1
2000-02-07,23.15,22.7,18.9775,22.51,21.963,UP,1
2000-02-08,23.9,23.25,18.9963,22.89,22.031,UP,1
2000-02-09,24.1,24.3,19.012,23.2,22.1135,DOWN,0
