ticker,JD US Equity,JD US Equity,JD US Equity,JD US Equity,JD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-05-21,19.0,19.0,,,,UP,1
2014-05-22,20.9,21.75,,,,DOWN,0
2014-05-23,20.1,21.25,,,,UP,1
2014-05-27,22.97,20.28,,,,UP,1
2014-05-28,24.78,22.98,21.55,,,UP,1
2014-05-29,25.4,25.04,22.83,,,DOWN,0
2014-05-30,25.0,25.27,23.65,,,DOWN,0
2014-06-02,24.6,25.4,24.55,,,UP,1
2014-06-03,25.1,24.17,24.976,,,DOWN,0
2014-06-04,24.54,24.99,24.928,,,UP,1
2014-06-05,25.78,24.8,25.004,,,UP,1
2014-06-06,26.58,26.5,25.32,,,UP,1
2014-06-09,28.43,27.0,26.086,,,DOWN,0
2014-06-10,28.35,28.82,26.736,,,UP,1
2014-06-11,29.0,28.1,27.628,,,DOWN,0
2014-06-12,27.17,29.59,27.906,,,UP,1
2014-06-13,27.79,27.68,28.148,,,DOWN,0
2014-06-16,26.89,27.22,27.84,,,UP,1
2014-06-17,27.019,27.22,27.5738,,,DOWN,0
2014-06-18,26.52,27.44,27.0778,,,DOWN,0
2014-06-19,25.83,27.0,26.8098,,,DOWN,0
2014-06-20,25.45,25.75,26.3418,,,UP,1
2014-06-23,26.37,25.11,26.2378,,,UP,1
2014-06-24,27.04,26.51,26.242,,,UP,1
2014-06-25,27.07,27.25,26.352,,,UP,1
2014-06-26,28.3,27.14,26.846,,,DOWN,0
2014-06-27,28.01,28.36,27.358,,,UP,1
2014-06-30,28.51,28.17,27.786,,,UP,1
2014-07-01,29.69,29.0,28.316,,,DOWN,0
2014-07-02,28.96,30.4,28.694,,,DOWN,0
2014-07-03,27.79,29.28,28.592,,,DOWN,0
2014-07-07,27.63,28.01,28.516,,,DOWN,0
2014-07-08,26.47,28.08,28.108,,,DOWN,0
2014-07-09,26.36,27.09,27.442,,,UP,1
2014-07-10,27.7,25.83,27.19,,,DOWN,0
2014-07-11,27.04,27.51,27.04,,,UP,1
2014-07-14,28.04,27.63,27.122,,,UP,1
2014-07-15,28.21,28.2,27.47,,,UP,1
2014-07-16,29.11,28.5,28.02,,,DOWN,0
2014-07-17,27.5599,28.82,27.992,,,UP,1
2014-07-18,27.82,27.74,28.148,,,UP,1
2014-07-21,28.54,27.67,28.248,,,UP,1
2014-07-22,28.73,28.84,28.352,,,DOWN,0
2014-07-23,27.88,28.89,28.106,,,UP,1
2014-07-24,29.05,28.0,28.404,,,DOWN,0
2014-07-25,29.03,29.1,28.646,,,UP,1
2014-07-28,29.49,29.26,28.836,,,UP,1
2014-07-29,29.62,29.83,29.014,,,DOWN,0
2014-07-30,29.07,30.06,29.252,,,DOWN,0
2014-07-31,28.58,28.5,29.158,26.8974,,DOWN,0
2014-08-01,27.94,28.55,28.94,27.0762,,DOWN,0
2014-08-04,27.79,28.2,28.6,27.214,,DOWN,0
2014-08-05,27.73,27.7,28.222,27.3666,,DOWN,0
2014-08-06,27.51,27.56,27.91,27.4574,,DOWN,0
2014-08-07,27.48,27.75,27.69,27.5114,,UP,1
2014-08-08,28.36,27.84,27.774,27.5706,,DOWN,0
2014-08-11,28.21,28.8,27.858,27.6348,,UP,1
2014-08-12,28.77,28.3,28.066,27.7182,,UP,1
2014-08-13,30.47,28.95,28.658,27.8256,,DOWN,0
2014-08-14,30.01,30.4,29.164,27.935,,DOWN,0
2014-08-15,29.58,28.69,29.408,28.011,,UP,1
2014-08-18,30.04,30.075,29.774,28.0802,,UP,1
2014-08-19,30.21,30.42,30.062,28.1158,,UP,1
2014-08-20,30.93,30.08,30.154,28.1674,,DOWN,0
2014-08-21,30.82,31.02,30.316,28.2038,,UP,1
2014-08-22,30.96,30.81,30.592,28.2796,,UP,1
2014-08-25,31.34,31.31,30.852,28.3506,,UP,1
2014-08-26,32.01,31.19,31.212,28.453,,UP,1
2014-08-27,32.64,31.85,31.554,28.5654,,DOWN,0
2014-08-28,31.44,32.3,31.678,28.6638,,UP,1
2014-08-29,31.92,31.54,31.87,28.7856,,DOWN,0
2014-09-02,31.07,32.0,31.816,28.898,,DOWN,0
2014-09-03,30.81,31.5,31.576,28.9868,,DOWN,0
2014-09-04,30.26,30.81,31.1,29.0512,,DOWN,0
2014-09-05,29.03,30.34,30.618,29.0904,,UP,1
2014-09-08,29.13,29.0,30.06,29.107,,DOWN,0
2014-09-09,29.06,29.22,29.658,29.128,,DOWN,0
2014-09-10,28.35,29.04,29.166,29.1248,,UP,1
2014-09-11,29.12,28.67,28.938,29.1134,,UP,1
2014-09-12,29.25,29.32,28.982,29.1192,,DOWN,0
2014-09-15,28.87,29.59,28.93,29.1408,,DOWN,0
2014-09-16,27.8,28.55,28.678,29.1442,,UP,1
2014-09-17,28.1,27.98,28.628,29.1768,,UP,1
2014-09-18,29.55,27.87,28.714,29.2406,,DOWN,0
2014-09-19,28.35,30.0,28.534,29.2536,,DOWN,0
2014-09-22,26.97,27.68,28.154,29.2522,,DOWN,0
