ticker,JKHY US Equity,JKHY US Equity,JKHY US Equity,JKHY US Equity,JKHY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,13.4375,13.25,9.5883,13.2625,10.7648,DOWN,0
2000-01-04,12.3438,13.0625,9.6062,13.0547,10.8358,UP,1
2000-01-05,12.5938,12.375,9.6274,12.9484,10.917,DOWN,0
2000-01-06,12.4688,12.7969,9.6473,12.8531,10.9961,DOWN,0
2000-01-07,12.4688,12.4219,9.6655,12.6625,11.0755,UP,1
2000-01-10,12.9297,12.4063,9.6861,12.5609,11.1559,UP,1
2000-01-11,12.9844,12.5313,9.7066,12.6891,11.2338,DOWN,0
2000-01-12,12.9219,12.9688,9.7264,12.7547,11.3197,UP,1
2000-01-13,13.0,12.8906,9.7454,12.8609,11.4,UP,1
2000-01-14,13.1875,12.5781,9.7673,13.0047,11.4806,UP,1
2000-01-18,13.8125,13.1172,9.7939,13.1813,11.5756,UP,1
2000-01-19,14.0781,13.75,9.824,13.4,11.6716,UP,1
2000-01-20,14.2188,13.9375,9.858,13.6594,11.7772,UP,1
2000-01-21,14.5313,14.2813,9.8975,13.9656,11.8856,UP,1
2000-01-24,14.5625,14.5,9.9366,14.2406,12.0,DOWN,0
2000-01-25,14.5156,14.5,9.9729,14.3813,12.1109,DOWN,0
2000-01-26,14.5,14.4688,10.0087,14.4656,12.2222,UP,1
2000-01-27,14.5313,14.7188,10.0377,14.5281,12.3341,UP,1
2000-01-28,14.5938,14.5,10.069,14.5406,12.4397,DOWN,0
2000-01-31,14.3125,14.5,10.0976,14.4906,12.5334,DOWN,0
2000-02-01,13.75,14.3125,10.1268,14.3375,12.6141,DOWN,0
2000-02-02,13.75,13.5938,10.1581,14.1875,12.7003,UP,1
2000-02-03,13.8125,13.6953,10.1909,14.0438,12.7841,UP,1
2000-02-04,14.6875,13.8594,10.2255,14.0625,12.8822,UP,1
2000-02-07,14.8125,14.25,10.2611,14.1625,12.9866,UP,1
