ticker,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,46.0938,46.5625,48.2566,46.6813,49.9563,DOWN,0
2000-01-04,44.4063,45.5625,48.2495,46.0188,49.7969,UP,1
2000-01-05,44.875,44.4063,48.2483,45.75,49.6419,UP,1
2000-01-06,46.2813,45.1563,48.253,45.6563,49.5144,UP,1
2000-01-07,48.25,47.0625,48.2642,45.9813,49.4363,DOWN,0
2000-01-10,47.0313,48.3438,48.2711,46.1688,49.3369,UP,1
2000-01-11,47.1875,46.5,48.2722,46.725,49.2331,DOWN,0
2000-01-12,46.75,46.9375,48.2733,47.1,49.1175,DOWN,0
2000-01-13,46.6875,46.9688,48.273,47.1813,49.0263,UP,1
2000-01-14,46.8438,46.9688,48.2719,46.9,48.9206,DOWN,0
2000-01-18,45.6563,46.0,48.263,46.625,48.7806,UP,1
2000-01-19,45.8125,45.5,48.2564,46.35,48.6419,DOWN,0
2000-01-20,45.3125,46.125,48.2458,46.0625,48.5038,DOWN,0
2000-01-21,44.9375,45.875,48.2273,45.7125,48.3663,DOWN,0
2000-01-24,41.8438,45.0625,48.1916,44.7125,48.1731,UP,1
2000-01-25,42.625,41.9375,48.1556,44.1063,47.9875,DOWN,0
2000-01-26,41.75,43.125,48.1178,43.2938,47.785,DOWN,0
2000-01-27,40.25,41.875,48.0823,42.2813,47.555,UP,1
2000-01-28,42.25,40.4375,48.0631,41.7438,47.3388,UP,1
2000-01-31,43.0313,42.5938,48.0455,41.9813,47.1431,DOWN,0
2000-02-01,42.4063,42.7188,48.0319,41.9375,46.9475,UP,1
2000-02-02,42.6875,42.75,48.0047,42.125,46.7494,DOWN,0
2000-02-03,41.6563,42.5,47.9611,42.4063,46.5294,DOWN,0
2000-02-04,41.0625,41.5625,47.9102,42.1688,46.31,DOWN,0
2000-02-07,40.7188,40.7813,47.8594,41.7063,46.0769,UP,1
