ticker,KEY US Equity,KEY US Equity,KEY US Equity,KEY US Equity,KEY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,20.75,21.5,29.3498,21.825,25.2155,DOWN,0
2000-01-04,20.5,20.5,29.2929,21.5625,25.108,DOWN,0
2000-01-05,20.125,20.8125,29.2386,21.1625,25.0068,UP,1
2000-01-06,20.875,20.125,29.1876,20.875,24.918,UP,1
2000-01-07,21.4375,21.25,29.1398,20.7375,24.8193,DOWN,0
2000-01-10,20.75,21.6875,29.0908,20.7375,24.6618,DOWN,0
2000-01-11,20.75,20.25,29.0408,20.7875,24.518,UP,1
2000-01-12,21.0,20.6875,28.9951,20.9625,24.3668,UP,1
2000-01-13,21.5625,21.25,28.9514,21.1,24.2318,UP,1
2000-01-14,22.0,21.9375,28.9129,21.2125,24.1043,DOWN,0
2000-01-18,21.125,21.4375,28.8698,21.2875,23.948,DOWN,0
2000-01-19,20.625,21.25,28.8254,21.2625,23.7793,DOWN,0
2000-01-20,20.5,20.875,28.7745,21.1625,23.6118,UP,1
2000-01-21,21.375,20.5625,28.7258,21.125,23.4768,DOWN,0
2000-01-24,20.4375,21.5,28.6748,20.8125,23.3318,DOWN,0
2000-01-25,20.125,20.5,28.6183,20.6125,23.1843,UP,1
2000-01-26,21.5625,20.375,28.5673,20.8,23.0418,DOWN,0
2000-01-27,21.0625,21.5,28.5139,20.9125,22.888,DOWN,0
2000-01-28,20.5,21.0,28.4645,20.7375,22.713,UP,1
2000-01-31,21.0,20.625,28.4208,20.85,22.5768,DOWN,0
2000-02-01,20.75,20.9375,28.3736,20.975,22.453,DOWN,0
2000-02-02,20.5,20.75,28.3233,20.7625,22.3255,DOWN,0
2000-02-03,20.4375,20.5625,28.2711,20.6375,22.2108,DOWN,0
2000-02-04,20.125,20.5,28.2198,20.5625,22.0995,DOWN,0
2000-02-07,20.0,20.125,28.1676,20.3625,21.987,UP,1
2000-02-08,20.375,20.0,28.1208,20.2875,21.8758,DOWN,0
