ticker,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,KLAC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,54.25,56.125,34.2716,54.8375,45.9144,DOWN,0
2000-01-04,51.9375,53.2813,34.4012,54.375,46.2331,DOWN,0
2000-01-05,49.3438,50.9375,34.5251,53.1125,46.5094,UP,1
2000-01-06,49.7188,48.5938,34.6552,52.1875,46.8056,UP,1
2000-01-07,52.6563,49.9063,34.7895,51.5813,47.1838,UP,1
2000-01-10,58.2813,54.0625,34.9571,52.3875,47.6194,DOWN,0
2000-01-11,57.7813,56.75,35.1182,53.5563,47.9831,UP,1
2000-01-12,59.5938,57.9375,35.2913,55.6063,48.3856,UP,1
2000-01-13,59.875,58.75,35.4693,57.6375,48.7519,UP,1
2000-01-14,69.0,62.5313,35.6868,60.9063,49.275,DOWN,0
2000-01-18,65.3125,68.125,35.8815,62.3125,49.7456,DOWN,0
2000-01-19,64.3125,64.5625,36.0674,63.6188,50.1544,DOWN,0
2000-01-20,63.25,65.0625,36.2505,64.35,50.5494,UP,1
2000-01-21,64.25,63.625,36.433,65.225,50.96,DOWN,0
2000-01-24,59.8125,65.0,36.5988,63.3875,51.2713,UP,1
2000-01-25,61.9375,60.6875,36.7838,62.7125,51.5788,DOWN,0
2000-01-26,58.375,62.25,36.9615,61.525,51.7788,DOWN,0
2000-01-27,56.9375,59.3125,37.1237,60.2625,51.9881,DOWN,0
2000-01-28,56.3125,55.0,37.2674,58.675,52.1888,UP,1
2000-01-31,58.625,55.375,37.4274,58.4375,52.4494,UP,1
2000-02-01,60.625,58.4375,37.6084,58.175,52.7531,UP,1
2000-02-02,64.5625,59.25,37.8062,59.4125,53.1219,UP,1
2000-02-03,66.1875,64.9375,38.0002,61.2625,53.5413,DOWN,0
2000-02-04,65.9375,67.25,38.1918,63.1875,53.97,UP,1
2000-02-07,68.1875,65.625,38.3915,65.1,54.4119,UP,1
