ticker,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,LCID US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-09-18,9.89,10.25,,,,DOWN,0
2020-09-21,9.86,9.9,,,,UP,1
2020-09-22,9.88,9.96,,,,DOWN,0
2020-09-23,9.85,9.9,,,,DOWN,0
2020-09-24,9.77,9.85,9.85,,,UP,1
2020-09-25,9.81,9.77,9.834,,,UP,1
2020-09-28,9.83,9.9,9.828,,,DOWN,0
2020-09-29,9.78,9.88,9.808,,,DOWN,0
2020-09-30,9.78,9.85,9.794,,,DOWN,0
2020-10-01,9.7599,9.85,9.792,,,DOWN,0
2020-10-02,9.74,9.73,9.778,,,DOWN,0
2020-10-05,9.71,9.8,9.754,,,DOWN,0
2020-10-06,9.68,9.74,9.734,,,UP,1
2020-10-07,9.71,9.72,9.72,,,UP,1
2020-10-08,9.7166,9.7,9.7113,,,UP,1
2020-10-09,9.75,9.76,9.7133,,,DOWN,0
2020-10-12,9.73,9.82,9.7173,,,DOWN,0
2020-10-13,9.7,9.85,9.7213,,,DOWN,0
2020-10-14,9.68,9.75,9.7153,,,DOWN,0
2020-10-15,9.68,9.67,9.708,,,DOWN,0
2020-10-16,9.68,9.69,9.694,,,DOWN,0
2020-10-19,9.68,9.71,9.684,,,DOWN,0
2020-10-20,9.67,9.71,9.678,,,DOWN,0
2020-10-21,9.66,9.73,9.674,,,DOWN,0
2020-10-22,9.65,9.66,9.668,,,DOWN,0
2020-10-23,9.63,9.65,9.658,,,UP,1
2020-10-26,9.65,9.65,9.652,,,DOWN,0
2020-10-27,9.65,9.65,9.648,,,DOWN,0
2020-10-28,9.65,9.74,9.646,,,DOWN,0
2020-10-29,9.65,9.66,9.646,,,DOWN,0
2020-10-30,9.63,9.65,9.646,,,DOWN,0
2020-11-02,9.63,9.63,9.642,,,UP,1
2020-11-03,9.69,9.63,9.65,,,DOWN,0
2020-11-04,9.69,9.7,9.658,,,UP,1
2020-11-05,9.77,9.76,9.682,,,DOWN,0
2020-11-06,9.72,9.79,9.7,,,DOWN,0
2020-11-09,9.67,9.7,9.708,,,UP,1
2020-11-10,9.7,9.66,9.71,,,DOWN,0
2020-11-11,9.68,9.69,9.708,,,UP,1
2020-11-12,9.7,9.67,9.694,,,DOWN,0
2020-11-13,9.69,9.74,9.688,,,UP,1
2020-11-16,9.7,9.7,9.694,,,UP,1
2020-11-17,9.71,9.72,9.696,,,UP,1
2020-11-18,9.74,9.74,9.708,,,DOWN,0
2020-11-19,9.72,9.75,9.712,,,DOWN,0
2020-11-20,9.71,9.71,9.716,,,UP,1
2020-11-23,9.75,9.79,9.726,,,UP,1
2020-11-24,9.76,9.78,9.736,,,DOWN,0
2020-11-25,9.76,9.76,9.74,,,UP,1
2020-11-27,9.83,9.8,9.762,9.7225,,UP,1
2020-11-30,9.88,9.88,9.796,9.7223,,DOWN,0
2020-12-01,9.88,9.87,9.822,9.7227,,DOWN,0
2020-12-02,9.87,9.88,9.844,9.7225,,DOWN,0
2020-12-03,9.87,9.88,9.866,9.7229,,UP,1
2020-12-04,9.88,9.88,9.876,9.7251,,UP,1
2020-12-07,9.94,9.88,9.888,9.7277,,DOWN,0
2020-12-08,9.86,9.94,9.884,9.7283,,UP,1
2020-12-09,9.92,9.89,9.894,9.7311,,DOWN,0
2020-12-10,9.91,9.93,9.902,9.7337,,UP,1
2020-12-11,9.94,9.96,9.914,9.7373,,UP,1
2020-12-14,9.98,9.96,9.922,9.7421,,DOWN,0
2020-12-15,9.97,9.97,9.944,9.7473,,DOWN,0
2020-12-16,9.945,9.95,9.949,9.7526,,UP,1
2020-12-17,9.97,9.98,9.961,9.7578,,DOWN,0
2020-12-18,9.96,9.98,9.965,9.7627,,UP,1
2020-12-21,9.97,9.98,9.963,9.7671,,UP,1
2020-12-22,10.0,10.03,9.969,9.7725,,UP,1
2020-12-23,10.03,10.03,9.986,9.7791,,UP,1
2020-12-24,10.04,10.08,10.0,9.7863,,UP,1
2020-12-28,10.08,10.11,10.024,9.7943,,DOWN,0
2020-12-29,10.06,10.1,10.042,9.8019,,UP,1
2020-12-30,10.07,10.04,10.056,9.8097,,DOWN,0
2020-12-31,10.01,10.07,10.052,9.8165,,UP,1
2021-01-04,10.04,10.03,10.052,9.8241,,DOWN,0
2021-01-05,10.02,10.04,10.04,9.8315,,DOWN,0
2021-01-06,10.01,10.0,10.03,9.8391,,UP,1
2021-01-07,10.03,10.0,10.022,9.8467,,DOWN,0
2021-01-08,10.03,10.05,10.026,9.8543,,UP,1
2021-01-11,13.2,10.05,10.658,9.9253,,UP,1
2021-01-12,14.15,14.99,11.484,10.0153,,UP,1
2021-01-13,16.72,15.1,12.826,10.1571,,UP,1
2021-01-14,17.36,18.71,14.292,10.3117,,UP,1
2021-01-15,18.36,17.81,15.958,10.4851,,DOWN,0
2021-01-19,17.9,18.05,16.898,10.6493,,UP,1
2021-01-20,18.06,18.35,17.68,10.8151,,DOWN,0
