ticker,LDOS US Equity,LDOS US Equity,LDOS US Equity,LDOS US Equity,LDOS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-10-12,41.3132,41.3132,,,,UP,1
2006-10-13,50.0716,46.8216,,,,DOWN,0
2006-10-16,49.8788,51.7792,,,,DOWN,0
2006-10-17,49.4932,49.7686,,,,DOWN,0
2006-10-18,48.6669,50.2368,47.8847,,,DOWN,0
2006-10-19,47.5652,48.6669,49.1351,,,UP,1
2006-10-20,49.1627,47.9233,48.9534,,,DOWN,0
2006-10-23,48.9974,49.8512,48.7771,,,UP,1
2006-10-24,49.3004,49.025,48.7385,,,UP,1
2006-10-25,49.7686,49.5207,48.9589,,,UP,1
2006-10-26,53.1838,50.2093,50.0826,,,UP,1
2006-10-27,55.277,53.9826,51.3055,,,UP,1
2006-10-30,55.9931,55.8279,52.7046,,,DOWN,0
2006-10-31,55.0842,57.3978,53.8614,,,DOWN,0
2006-11-01,54.3957,55.6351,54.7868,,,DOWN,0
2006-11-02,53.7347,54.3957,54.897,,,UP,1
2006-11-03,54.6711,54.0927,54.7758,,,UP,1
2006-11-06,55.0567,54.8088,54.5885,,,DOWN,0
2006-11-07,54.9741,55.0842,54.5664,,,DOWN,0
2006-11-08,52.8258,53.7347,54.2525,,,UP,1
2006-11-09,55.6351,53.1012,54.6325,,,DOWN,0
2006-11-10,55.0567,55.0842,54.7097,,,DOWN,0
2006-11-13,54.7537,54.9741,54.6491,,,UP,1
2006-11-14,54.919,54.8639,54.6381,,,UP,1
2006-11-15,55.1393,54.919,55.1008,,,UP,1
2006-11-16,55.3046,54.9741,55.0347,,,DOWN,0
2006-11-17,54.4508,55.0842,54.9135,,,DOWN,0
2006-11-20,53.7071,54.6711,54.7042,,,DOWN,0
2006-11-21,53.0461,53.4317,54.3296,,,UP,1
2006-11-22,53.2389,52.1648,53.9495,,,DOWN,0
2006-11-24,52.7982,52.3851,53.4482,,,DOWN,0
2006-11-27,52.0546,52.33,52.969,,,DOWN,0
2006-11-28,52.0546,51.2283,52.6385,,,UP,1
2006-11-29,52.4402,52.7432,52.5173,,,DOWN,0
2006-11-30,52.2474,52.33,52.319,,,DOWN,0
2006-12-01,51.8343,52.1372,52.1262,,,DOWN,0
2006-12-04,51.669,51.2834,52.0491,,,UP,1
2006-12-05,52.2749,51.7516,52.0932,,,UP,1
2006-12-06,52.6054,52.2749,52.1262,,,UP,1
2006-12-07,52.9084,52.8809,52.2584,,,UP,1
2006-12-08,53.294,52.4953,52.5504,,,DOWN,0
2006-12-11,52.2199,53.294,52.6605,,,UP,1
2006-12-12,54.3131,52.33,53.0682,,,DOWN,0
2006-12-13,50.2368,52.6054,52.5944,,,DOWN,0
2006-12-14,49.4656,49.6309,51.9059,,,UP,1
2006-12-15,51.5038,50.2093,51.5478,,,DOWN,0
2006-12-18,50.0716,51.2283,51.1182,,,DOWN,0
2006-12-19,49.3004,49.6584,50.1156,,,UP,1
2006-12-20,49.4381,49.3004,49.9559,,,DOWN,0
2006-12-21,49.1627,49.3004,49.8953,52.1312,,DOWN,0
2006-12-22,49.1627,49.3004,49.4271,52.2882,,DOWN,0
2006-12-26,48.6669,49.1627,49.1462,52.2601,,DOWN,0
2006-12-27,48.2263,48.6669,48.9313,52.227,,UP,1
2006-12-28,48.8873,49.3004,48.8212,52.2149,,UP,1
2006-12-29,48.9974,48.9699,48.7881,52.2215,,UP,1
2007-01-03,50.0716,49.2178,48.9699,52.2716,,DOWN,0
2007-01-04,49.8237,50.2644,49.2012,52.2849,,DOWN,0
2007-01-05,48.3364,48.7496,49.2233,52.2716,,UP,1
2007-01-08,48.6394,48.3364,49.1737,52.2584,,UP,1
2007-01-09,48.6945,48.3364,49.1131,52.2369,,UP,1
2007-01-10,48.9699,48.9423,48.8928,52.1527,,UP,1
2007-01-11,49.4106,48.9699,48.8101,52.0353,,DOWN,0
2007-01-12,48.8873,49.3555,48.9203,51.8932,,DOWN,0
2007-01-16,48.6669,48.8873,48.9258,51.7649,,UP,1
2007-01-17,49.5483,48.5017,49.0966,51.6679,,DOWN,0
2007-01-18,47.9508,49.025,48.8928,51.5522,,UP,1
2007-01-19,48.6945,47.8682,48.7496,51.4327,,UP,1
2007-01-22,49.7686,48.9148,48.9258,51.3269,,UP,1
2007-01-23,50.2644,49.6309,49.2453,51.2327,,UP,1
2007-01-24,50.347,49.7135,49.4051,51.1832,,UP,1
2007-01-25,50.5122,50.4572,49.9173,51.0807,,UP,1
2007-01-26,50.7877,50.2644,50.336,50.9953,,UP,1
2007-01-29,50.9805,50.7601,50.5783,50.9199,,UP,1
2007-01-30,51.4211,51.1457,50.8097,50.8499,,DOWN,0
2007-01-31,51.0906,51.9169,50.9584,50.7689,,DOWN,0
2007-02-01,49.9889,50.9529,50.8538,50.6626,,UP,1
2007-02-02,50.7877,50.0165,50.8538,50.5894,,UP,1
2007-02-05,51.1182,50.6775,50.8813,50.5376,,DOWN,0
2007-02-06,50.9529,51.2008,50.7877,50.4957,,DOWN,0
