ticker,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,7.2371,7.3223,8.912,7.345,7.4307,DOWN,0
2000-01-04,7.1804,7.1236,8.8995,7.3393,7.4505,UP,1
2000-01-05,7.2087,7.1804,8.8879,7.2939,7.4704,DOWN,0
2000-01-06,7.2087,7.1804,8.8726,7.2428,7.4863,UP,1
2000-01-07,7.3506,7.2087,8.8582,7.2371,7.4994,UP,1
2000-01-10,7.4074,7.3506,8.8447,7.2712,7.5079,DOWN,0
2000-01-11,7.2655,7.4358,8.8311,7.2882,7.5039,UP,1
2000-01-12,7.3223,7.379,8.8171,7.3109,7.4988,UP,1
2000-01-13,7.4925,7.4358,8.8037,7.3677,7.4937,UP,1
2000-01-14,7.5209,7.5493,8.7911,7.4017,7.4914,DOWN,0
2000-01-18,7.4642,7.5493,8.7773,7.4131,7.4846,DOWN,0
2000-01-19,7.4074,7.2939,8.7636,7.4415,7.4727,UP,1
2000-01-20,7.4642,7.4074,8.7509,7.4698,7.4619,DOWN,0
2000-01-21,7.4074,7.4358,8.737,7.4528,7.4517,DOWN,0
2000-01-24,7.4074,7.4074,8.7231,7.4301,7.4398,DOWN,0
2000-01-25,7.3506,7.4358,8.7091,7.4074,7.4301,DOWN,0
2000-01-26,7.3223,7.4074,8.696,7.3904,7.4222,UP,1
2000-01-27,7.3506,7.3223,8.677,7.3677,7.4085,DOWN,0
2000-01-28,7.152,7.4074,8.6508,7.3166,7.3836,UP,1
2000-01-31,7.2371,7.2655,8.6279,7.2825,7.3682,UP,1
2000-02-01,7.2655,7.2655,8.6063,7.2655,7.3546,DOWN,0
2000-02-02,7.2655,7.2655,8.5859,7.2541,7.3433,UP,1
2000-02-03,7.4358,7.2939,8.5659,7.2712,7.337,UP,1
2000-02-04,7.5493,7.4642,8.5477,7.3506,7.3325,DOWN,0
2000-02-07,7.4074,7.4925,8.526,7.3847,7.3313,DOWN,0
