ticker,LH US Equity,LH US Equity,LH US Equity,LH US Equity,LH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,9.063,9.219,6.9126,9.1563,8.425,DOWN,0
2000-01-04,8.75,8.906,6.9345,9.1563,8.4625,DOWN,0
2000-01-05,8.75,8.594,6.958,9.0313,8.4969,DOWN,0
2000-01-06,8.594,8.594,6.9806,8.875,8.5313,UP,1
2000-01-07,8.906,8.594,7.0033,8.8125,8.5688,DOWN,0
2000-01-10,8.75,9.063,7.0251,8.75,8.6,DOWN,0
2000-01-11,8.438,8.594,7.0462,8.6875,8.6188,DOWN,0
2000-01-12,8.438,8.438,7.0673,8.625,8.6375,UP,1
2000-01-13,8.906,8.438,7.09,8.6875,8.6688,DOWN,0
2000-01-14,8.906,8.75,7.1126,8.6875,8.7,DOWN,0
2000-01-18,8.75,8.75,7.1345,8.6875,8.7281,DOWN,0
2000-01-19,8.75,8.75,7.1564,8.75,8.7531,DOWN,0
2000-01-20,8.594,8.594,7.1783,8.7813,8.7719,DOWN,0
2000-01-21,8.594,8.594,7.1994,8.7188,8.7844,DOWN,0
2000-01-24,8.438,8.438,7.2197,8.625,8.7969,DOWN,0
2000-01-25,8.281,8.281,7.2384,8.5313,8.8063,DOWN,0
2000-01-26,8.281,8.281,7.2556,8.4375,8.8219,DOWN,0
2000-01-27,8.125,8.438,7.272,8.3438,8.825,UP,1
2000-01-28,8.438,8.281,7.2876,8.3125,8.825,DOWN,0
2000-01-31,8.281,8.125,7.3041,8.2813,8.8188,DOWN,0
2000-02-01,8.281,8.281,7.3205,8.2813,8.8125,UP,1
2000-02-02,8.438,8.281,7.3376,8.3125,8.8063,UP,1
2000-02-03,8.594,8.594,7.3548,8.4063,8.8,DOWN,0
2000-02-04,8.438,8.438,7.3705,8.4063,8.7844,UP,1
2000-02-07,9.531,8.438,7.3916,8.6563,8.7906,UP,1
2000-02-08,10.313,9.688,7.4173,9.0625,8.8125,DOWN,0
