ticker,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,LHX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,12.2526,12.6364,12.4502,12.2644,10.3735,DOWN,0
2000-01-04,11.7802,12.1345,12.4447,12.2762,10.4105,DOWN,0
2000-01-05,11.6621,11.8097,12.44,12.1522,10.4543,DOWN,0
2000-01-06,11.5735,11.7211,12.4358,11.975,10.4953,UP,1
2000-01-07,11.8097,11.6916,12.4326,11.8156,10.5501,DOWN,0
2000-01-10,11.8097,11.8688,12.4288,11.727,10.5978,DOWN,0
2000-01-11,11.5145,11.6326,12.4222,11.6739,10.6463,UP,1
2000-01-12,11.8392,11.8097,12.4215,11.7093,10.7133,UP,1
2000-01-13,12.9907,11.8392,12.4284,11.9928,10.7811,UP,1
2000-01-14,13.8174,12.9316,12.4407,12.3943,10.8741,DOWN,0
2000-01-18,13.3155,13.5812,12.4496,12.6954,10.96,DOWN,0
2000-01-19,13.1088,12.9612,12.4586,13.0143,11.0439,UP,1
2000-01-20,13.6993,13.0497,12.4715,13.3863,11.1254,DOWN,0
2000-01-21,13.6107,13.9355,12.482,13.5103,11.1992,DOWN,0
2000-01-24,13.4335,13.6402,12.4924,13.4335,11.273,UP,1
2000-01-25,13.7583,13.5516,12.5038,13.5221,11.3504,UP,1
2000-01-26,15.1164,13.404,12.5226,13.9237,11.4596,UP,1
2000-01-27,15.4412,15.1164,12.5317,14.272,11.5747,DOWN,0
2000-01-28,14.6145,15.4117,12.5349,14.4728,11.6763,DOWN,0
2000-01-31,13.6993,14.3783,12.5305,14.5259,11.7607,UP,1
2000-02-01,14.8507,13.9945,12.5335,14.7444,11.867,DOWN,0
2000-02-02,14.5555,14.8507,12.5374,14.6322,11.9645,UP,1
2000-02-03,15.0279,14.9393,12.5431,14.5496,12.0702,UP,1
2000-02-04,15.1164,14.9098,12.55,14.6499,12.1735,DOWN,0
2000-02-07,14.9393,14.8212,12.5562,14.898,12.2738,UP,1
