ticker,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,20.25,22.0,32.6608,20.375,20.0713,UP,1
2000-01-04,20.938,20.0,32.5661,20.65,20.015,UP,1
2000-01-05,21.063,21.25,32.4777,20.8875,19.9763,UP,1
2000-01-06,21.375,21.0,32.3889,21.1,19.9475,UP,1
2000-01-07,21.438,21.75,32.3021,21.0125,19.9275,DOWN,0
2000-01-10,20.625,21.375,32.2108,21.0875,19.8813,DOWN,0
2000-01-11,19.938,20.5,32.1177,20.8875,19.88,UP,1
2000-01-12,21.188,20.0,32.0358,20.9125,19.9013,DOWN,0
2000-01-13,20.75,21.438,31.9508,20.7875,19.9113,DOWN,0
2000-01-14,20.5,20.75,31.8677,20.6,19.95,DOWN,0
2000-01-18,20.0,21.0,31.7827,20.475,19.99,UP,1
2000-01-19,20.688,20.063,31.7039,20.625,20.0563,DOWN,0
2000-01-20,20.563,20.5,31.6252,20.5,20.1138,UP,1
2000-01-21,21.0,20.75,31.5452,20.55,20.1675,DOWN,0
2000-01-24,19.563,20.938,31.4599,20.3625,20.175,DOWN,0
2000-01-25,19.25,19.563,31.3652,20.2125,20.1638,UP,1
2000-01-26,20.063,19.438,31.2742,20.0875,20.185,DOWN,0
2000-01-27,19.438,19.938,31.168,19.8625,20.1963,DOWN,0
2000-01-28,18.875,19.0,31.0527,19.4375,20.1938,DOWN,0
2000-01-31,18.5,18.313,30.9286,19.225,20.1788,UP,1
2000-02-01,18.688,18.75,30.8233,19.1125,20.14,DOWN,0
2000-02-02,18.688,18.438,30.7217,18.8375,20.0888,DOWN,0
2000-02-03,18.625,18.625,30.6099,18.675,20.0613,UP,1
2000-02-04,19.125,18.75,30.5014,18.725,20.0388,DOWN,0
2000-02-07,18.75,19.25,30.3877,18.775,20.01,DOWN,0
2000-02-08,18.375,18.313,30.2727,18.7125,19.9763,DOWN,0
