ticker,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,39.0625,38.875,46.8999,39.425,42.5832,DOWN,0
2000-01-04,37.9375,38.875,46.8405,39.1875,42.3982,DOWN,0
2000-01-05,36.625,37.9375,46.7781,38.65,42.2357,UP,1
2000-01-06,37.0,37.0,46.7158,38.125,42.0845,UP,1
2000-01-07,37.9375,37.75,46.6569,37.7125,41.9382,UP,1
2000-01-10,38.0,38.5,46.6005,37.5,41.752,DOWN,0
2000-01-11,37.4375,37.125,46.5388,37.4,41.5782,DOWN,0
2000-01-12,37.25,37.5,46.4775,37.525,41.4045,UP,1
2000-01-13,39.5,38.0,46.4278,38.025,41.2757,DOWN,0
2000-01-14,38.875,41.375,46.3752,38.2125,41.1707,DOWN,0
2000-01-18,37.9375,38.0,46.3139,38.2,41.017,DOWN,0
2000-01-19,36.625,37.0,46.2524,38.0375,40.802,DOWN,0
2000-01-20,34.75,36.625,46.183,37.5375,40.567,UP,1
2000-01-21,35.8125,35.0,46.1202,36.8,40.3595,DOWN,0
2000-01-24,34.9375,36.5,46.0521,36.0125,40.1457,UP,1
2000-01-25,35.875,34.625,45.9856,35.6,39.9595,UP,1
2000-01-26,36.25,35.625,45.9194,35.525,39.757,DOWN,0
2000-01-27,36.0625,35.75,45.8561,35.7875,39.557,DOWN,0
2000-01-28,35.8125,34.875,45.7971,35.7875,39.3182,UP,1
2000-01-31,36.9375,35.9375,45.7477,36.1875,39.1207,UP,1
2000-02-01,37.6875,38.0,45.7036,36.55,38.9357,UP,1
2000-02-02,38.4375,37.25,45.6652,36.9875,38.787,DOWN,0
2000-02-03,37.5,37.375,45.6164,37.275,38.6307,DOWN,0
2000-02-04,36.1875,36.75,45.5589,37.35,38.462,DOWN,0
2000-02-07,34.25,36.75,45.4852,36.8125,38.2795,UP,1
2000-02-08,35.25,34.6875,45.4222,36.325,38.1307,DOWN,0
