ticker,LNT US Equity,LNT US Equity,LNT US Equity,LNT US Equity,LNT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,13.4063,13.75,14.1769,13.7688,13.6744,DOWN,0
2000-01-04,13.4063,13.2813,14.1741,13.6438,13.6763,UP,1
2000-01-05,14.0625,13.375,14.1748,13.6813,13.6913,DOWN,0
2000-01-06,14.0625,14.0,14.1741,13.7375,13.7044,UP,1
2000-01-07,14.25,14.0625,14.1741,13.8375,13.7175,UP,1
2000-01-10,14.2813,14.2188,14.175,14.0125,13.7281,DOWN,0
2000-01-11,14.25,14.2188,14.1756,14.1813,13.7413,UP,1
2000-01-12,14.4063,14.125,14.1791,14.25,13.7513,UP,1
2000-01-13,14.5313,14.4063,14.1852,14.3438,13.7613,DOWN,0
2000-01-14,14.3438,14.625,14.1888,14.3625,13.7681,DOWN,0
2000-01-18,14.25,14.25,14.192,14.3563,13.7731,UP,1
2000-01-19,14.375,14.2188,14.1963,14.3813,13.7763,UP,1
2000-01-20,14.9375,14.3125,14.2034,14.4875,13.795,UP,1
2000-01-21,16.7188,15.0313,14.2189,14.925,13.8513,UP,1
2000-01-24,17.3125,16.7188,14.2373,15.5188,13.9194,DOWN,0
2000-01-25,15.625,17.3125,14.2466,15.7938,13.9544,DOWN,0
2000-01-26,15.3125,15.625,14.2539,15.9813,13.9813,DOWN,0
2000-01-27,14.9375,15.0938,14.2594,15.9813,13.995,DOWN,0
2000-01-28,14.8438,14.9375,14.2642,15.6063,14.0069,UP,1
2000-01-31,14.9063,14.75,14.2686,15.125,14.0244,DOWN,0
2000-02-01,14.9063,14.9063,14.2717,14.9813,14.0463,DOWN,0
2000-02-02,14.4375,14.9063,14.2716,14.8063,14.0606,UP,1
2000-02-03,14.75,14.5625,14.2725,14.7688,14.0869,DOWN,0
2000-02-04,14.5313,14.75,14.2733,14.7063,14.1125,DOWN,0
2000-02-07,14.5313,14.5,14.2736,14.6313,14.1375,UP,1
