ticker,LOW US Equity,LOW US Equity,LOW US Equity,LOW US Equity,LOW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,13.9375,14.7031,13.4133,14.7031,13.6734,DOWN,0
2000-01-04,13.1875,13.75,13.4025,14.35,13.6716,DOWN,0
2000-01-05,13.1719,13.1563,13.3941,14.0031,13.6666,DOWN,0
2000-01-06,13.1406,13.0,13.3848,13.675,13.6763,UP,1
2000-01-07,13.4375,13.2344,13.3728,13.375,13.6938,UP,1
2000-01-10,13.8438,13.5,13.3623,13.3563,13.7088,DOWN,0
2000-01-11,13.4063,13.6563,13.3484,13.4,13.7,DOWN,0
2000-01-12,13.2344,13.4531,13.3346,13.4125,13.6747,DOWN,0
2000-01-13,13.0938,13.25,13.3245,13.4031,13.6506,UP,1
2000-01-14,13.5313,13.25,13.3155,13.4219,13.6441,DOWN,0
2000-01-18,13.3125,13.6875,13.3026,13.3156,13.6341,DOWN,0
2000-01-19,13.2188,13.375,13.2913,13.2781,13.6147,DOWN,0
2000-01-20,12.6875,13.2188,13.2777,13.1688,13.5884,DOWN,0
2000-01-21,11.8438,12.6563,13.2567,12.9188,13.5544,DOWN,0
2000-01-24,11.6875,11.875,13.2348,12.55,13.5156,DOWN,0
2000-01-25,11.5,11.75,13.2119,12.1875,13.4684,UP,1
2000-01-26,11.6563,11.4375,13.1902,11.875,13.4122,DOWN,0
2000-01-27,11.4531,11.6875,13.1712,11.6281,13.3681,DOWN,0
2000-01-28,11.1406,11.4063,13.1537,11.4875,13.315,UP,1
2000-01-31,11.1563,11.1719,13.137,11.3813,13.2631,UP,1
2000-02-01,11.7656,11.2188,13.1265,11.4344,13.2194,UP,1
2000-02-02,11.8125,11.6563,13.1153,11.4656,13.1806,DOWN,0
2000-02-03,11.7813,11.875,13.1009,11.5313,13.1491,UP,1
2000-02-04,12.0938,11.7656,13.0873,11.7219,13.13,DOWN,0
2000-02-07,11.7344,11.9063,13.0715,11.8375,13.1059,UP,1
