ticker,LRCX US Equity,LRCX US Equity,LRCX US Equity,LRCX US Equity,LRCX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,37.4583,37.6667,18.885,35.6583,29.6796,DOWN,0
2000-01-04,35.8333,36.4063,19.0127,35.8125,29.8954,DOWN,0
2000-01-05,35.3125,35.6667,19.1406,36.0167,30.1063,DOWN,0
2000-01-06,35.0625,34.9375,19.2675,36.1708,30.2871,UP,1
2000-01-07,35.5833,35.1667,19.3944,35.85,30.4896,UP,1
2000-01-10,37.4167,35.7083,19.5331,35.8417,30.7029,DOWN,0
2000-01-11,36.9583,36.9167,19.6655,36.0667,30.8792,UP,1
2000-01-12,38.0,37.25,19.8036,36.6042,31.0908,DOWN,0
2000-01-13,37.9167,38.2292,19.9449,37.175,31.3046,UP,1
2000-01-14,43.25,38.6875,20.1048,38.7083,31.5938,DOWN,0
2000-01-18,43.2292,42.5833,20.2649,39.8708,31.8904,UP,1
2000-01-19,45.4583,43.4375,20.4389,41.5708,32.2075,UP,1
2000-01-20,47.6875,46.1042,20.6235,43.5083,32.5696,DOWN,0
2000-01-21,46.3125,49.8333,20.8009,45.1875,32.9142,DOWN,0
2000-01-24,44.8333,48.2917,20.9715,45.5042,33.2133,UP,1
2000-01-25,45.9583,45.2917,21.1492,46.05,33.5158,DOWN,0
2000-01-26,43.0,45.4167,21.3163,45.5583,33.7583,UP,1
2000-01-27,43.1667,43.8229,21.4829,44.6542,34.0475,DOWN,0
2000-01-28,41.2917,43.1458,21.6371,43.65,34.2888,UP,1
2000-01-31,41.625,40.8125,21.7946,43.0083,34.5546,UP,1
2000-02-01,43.7917,41.6458,21.965,42.575,34.8783,UP,1
2000-02-02,45.75,43.8125,22.147,43.125,35.2717,UP,1
2000-02-03,46.7292,45.8958,22.3278,43.8375,35.6696,DOWN,0
2000-02-04,45.6875,46.9167,22.4994,44.7167,36.0917,UP,1
2000-02-07,46.3333,46.0833,22.6703,45.6583,36.5142,DOWN,0
