ticker,LUV US Equity,LUV US Equity,LUV US Equity,LUV US Equity,LUV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,10.5833,10.7917,12.4839,10.8,10.9293,DOWN,0
2000-01-04,10.2917,10.5833,12.4658,10.7,10.9202,DOWN,0
2000-01-05,10.25,10.2917,12.4489,10.575,10.9118,DOWN,0
2000-01-06,10.2083,10.25,12.4278,10.4167,10.906,UP,1
2000-01-07,10.5833,10.25,12.4088,10.3833,10.906,UP,1
2000-01-10,10.7083,10.5833,12.3934,10.4083,10.8952,UP,1
2000-01-11,11.0417,11.0,12.382,10.5583,10.8918,UP,1
2000-01-12,11.0833,11.0417,12.3677,10.725,10.8952,DOWN,0
2000-01-13,10.7083,10.9167,12.354,10.825,10.8835,UP,1
2000-01-14,10.7917,10.8333,12.3406,10.8667,10.8743,DOWN,0
2000-01-18,10.5,10.625,12.3243,10.825,10.8593,DOWN,0
2000-01-19,10.3333,10.375,12.3085,10.6833,10.8335,DOWN,0
2000-01-20,10.0833,10.25,12.2892,10.4833,10.8027,UP,1
2000-01-21,10.2083,10.25,12.268,10.3833,10.7835,DOWN,0
2000-01-24,10.0833,10.0833,12.2443,10.2417,10.7568,UP,1
2000-01-25,10.25,10.25,12.2255,10.1917,10.7385,UP,1
2000-01-26,10.375,10.3333,12.2074,10.2,10.7185,UP,1
2000-01-27,10.6667,10.5417,12.188,10.3167,10.7118,DOWN,0
2000-01-28,10.4583,10.375,12.1712,10.3667,10.691,UP,1
2000-01-31,10.625,10.4583,12.1516,10.475,10.6768,DOWN,0
2000-02-01,10.4583,10.5833,12.1316,10.5167,10.6643,UP,1
2000-02-02,10.6667,10.4583,12.1137,10.575,10.6577,DOWN,0
2000-02-03,10.5833,10.7917,12.089,10.5583,10.6493,UP,1
2000-02-04,10.75,10.7917,12.069,10.6167,10.6427,UP,1
2000-02-07,10.7917,10.8333,12.0449,10.65,10.6418,DOWN,0
