ticker,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-12-14,29.0,29.0,,,,UP,1
2004-12-15,46.56,41.9,,,,UP,1
2004-12-16,49.11,48.1,,,,UP,1
2004-12-17,53.0,49.11,,,,DOWN,0
2004-12-20,48.6,52.7,45.254,,,DOWN,0
2004-12-21,47.38,48.6,48.93,,,UP,1
2004-12-22,48.51,47.2,49.32,,,DOWN,0
2004-12-23,48.5,48.61,49.198,,,DOWN,0
2004-12-27,47.65,48.51,48.128,,,UP,1
2004-12-28,48.1,47.45,48.028,,,DOWN,0
2004-12-29,47.89,48.1,48.13,,,DOWN,0
2004-12-30,47.85,48.05,47.998,,,UP,1
2004-12-31,48.0,47.9,47.898,,,UP,1
2005-01-03,48.51,49.35,48.07,,,UP,1
2005-01-04,49.46,48.51,48.342,,,DOWN,0
2005-01-05,48.85,49.71,48.534,,,DOWN,0
2005-01-06,47.99,48.75,48.562,,,DOWN,0
2005-01-07,45.55,47.85,48.072,,,DOWN,0
2005-01-10,45.13,45.05,47.396,,,DOWN,0
2005-01-11,44.72,44.5,46.448,,,DOWN,0
2005-01-12,43.1,44.91,45.298,,,DOWN,0
2005-01-13,42.5,42.65,44.2,,,UP,1
2005-01-14,43.4,42.79,43.77,,,UP,1
2005-01-18,45.21,43.35,43.786,,,DOWN,0
2005-01-19,44.35,45.29,43.712,,,DOWN,0
2005-01-20,43.76,44.35,43.844,,,DOWN,0
2005-01-21,43.05,43.3,43.954,,,DOWN,0
2005-01-24,42.05,44.63,43.684,,,UP,1
2005-01-25,42.1,42.3,43.062,,,DOWN,0
2005-01-26,42.06,42.25,42.604,,,DOWN,0
2005-01-27,42.05,42.18,42.262,,,UP,1
2005-01-28,42.2,42.1,42.092,,,UP,1
2005-01-31,43.4,42.8,42.362,,,DOWN,0
2005-02-01,43.24,44.0,42.59,,,UP,1
2005-02-02,45.15,43.75,43.208,,,UP,1
2005-02-03,45.75,45.4,43.948,,,UP,1
2005-02-04,47.62,46.15,45.032,,,UP,1
2005-02-07,48.95,48.05,46.142,,,DOWN,0
2005-02-08,47.01,48.96,46.896,,,UP,1
2005-02-09,47.31,47.51,47.328,,,UP,1
2005-02-10,47.55,48.25,47.688,,,DOWN,0
2005-02-11,47.05,47.8,47.574,,,UP,1
2005-02-14,48.01,47.35,47.386,,,UP,1
2005-02-15,50.79,48.5,48.142,,,DOWN,0
2005-02-16,49.72,50.9,48.624,,,UP,1
2005-02-17,50.15,50.5,49.144,,,DOWN,0
2005-02-18,49.05,50.5,49.544,,,DOWN,0
2005-02-22,47.62,49.0,49.466,,,DOWN,0
2005-02-23,47.4,47.87,48.788,,,DOWN,0
2005-02-24,47.31,47.9,48.306,46.1854,,UP,1
2005-02-25,48.5,47.65,47.976,46.5754,,DOWN,0
2005-02-28,47.9,49.2,47.746,46.6022,,UP,1
2005-03-01,50.02,47.98,48.226,46.6204,,DOWN,0
2005-03-02,49.98,49.99,48.742,46.56,,DOWN,0
2005-03-03,49.7,49.98,49.22,46.582,,DOWN,0
2005-03-04,48.33,49.55,49.186,46.601,,UP,1
2005-03-07,49.8,48.65,49.566,46.6268,,DOWN,0
2005-03-08,47.35,49.25,49.032,46.6038,,DOWN,0
2005-03-09,45.1,47.1,48.056,46.5528,,UP,1
2005-03-10,45.73,45.1,47.262,46.5054,,UP,1
2005-03-11,45.99,45.73,46.794,46.4674,,UP,1
2005-03-14,47.47,46.65,46.328,46.4598,,UP,1
2005-03-15,49.4,47.75,46.738,46.4878,,DOWN,0
2005-03-16,48.31,49.3,47.38,46.4838,,UP,1
2005-03-17,48.51,48.06,47.936,46.4648,,UP,1
2005-03-18,48.74,48.51,48.486,46.4626,,DOWN,0
2005-03-21,48.31,48.74,48.654,46.469,,DOWN,0
2005-03-22,46.49,48.31,48.072,46.4878,,DOWN,0
2005-03-23,45.76,46.15,47.562,46.5004,,UP,1
2005-03-24,46.0,45.85,47.06,46.526,,DOWN,0
2005-03-28,45.98,45.8,46.508,46.5836,,DOWN,0
2005-03-29,44.0,45.5,45.646,46.6136,,UP,1
2005-03-30,45.61,44.0,45.47,46.6578,,DOWN,0
2005-03-31,45.0,45.2,45.318,46.6536,,DOWN,0
2005-04-01,44.26,45.01,44.97,46.6518,,DOWN,0
2005-04-04,42.86,43.9,44.346,46.6338,,DOWN,0
2005-04-05,42.11,42.88,43.968,46.615,,UP,1
2005-04-06,43.8,42.15,43.606,46.65,,UP,1
2005-04-07,44.15,44.45,43.436,46.691,,DOWN,0
2005-04-08,43.43,44.3,43.27,46.7184,,UP,1
2005-04-11,43.51,43.6,43.4,46.7476,,UP,1
2005-04-12,43.95,43.51,43.768,46.7826,,UP,1
2005-04-13,44.0,43.95,43.808,46.7946,,DOWN,0
2005-04-14,43.3,44.01,43.638,46.7958,,DOWN,0
2005-04-15,40.85,43.05,43.122,46.7098,,DOWN,0
2005-04-18,39.85,40.85,42.39,46.5918,,DOWN,0
