ticker,LW US Equity,LW US Equity,LW US Equity,LW US Equity,LW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-11-01,34.0,32.0,,,,DOWN,0
2016-11-03,34.0,34.0,,,,DOWN,0
2016-11-04,33.5,33.0,,,,DOWN,0
2016-11-07,33.02,33.5,,,,UP,1
2016-11-08,34.0,33.25,33.704,,,DOWN,0
2016-11-09,31.84,35.0,33.272,,,DOWN,0
2016-11-10,30.33,32.04,32.538,,,DOWN,0
2016-11-11,29.89,29.8,31.816,,,UP,1
2016-11-14,30.19,29.34,31.25,,,UP,1
2016-11-15,30.43,29.64,30.536,,,UP,1
2016-11-16,31.7,30.77,30.508,,,UP,1
2016-11-17,32.51,31.4,30.944,,,UP,1
2016-11-18,32.68,32.14,31.502,,,DOWN,0
2016-11-21,31.74,32.26,31.812,,,UP,1
2016-11-22,32.7,31.52,32.266,,,UP,1
2016-11-23,33.02,32.7,32.53,,,DOWN,0
2016-11-25,32.59,32.76,32.546,,,UP,1
2016-11-28,32.74,32.27,32.558,,,UP,1
2016-11-29,33.19,33.05,32.848,,,UP,1
2016-11-30,33.48,33.26,33.004,,,DOWN,0
2016-12-01,32.51,33.04,32.902,,,UP,1
2016-12-02,32.99,32.16,32.982,,,UP,1
2016-12-05,33.65,32.87,33.164,,,UP,1
2016-12-06,33.82,33.45,33.29,,,UP,1
2016-12-07,34.75,34.07,33.544,,,UP,1
2016-12-08,35.93,34.91,34.228,,,UP,1
2016-12-09,36.38,35.82,34.906,,,UP,1
2016-12-12,36.73,36.38,35.522,,,DOWN,0
2016-12-13,36.58,36.97,36.074,,,DOWN,0
2016-12-14,35.15,36.62,36.154,,,DOWN,0
2016-12-15,34.38,35.06,35.844,,,UP,1
2016-12-16,35.26,34.34,35.62,,,DOWN,0
2016-12-19,34.48,35.31,35.17,,,UP,1
2016-12-20,34.95,34.22,34.844,,,UP,1
2016-12-21,35.02,34.64,34.818,,,UP,1
2016-12-22,36.33,35.0,35.208,,,UP,1
2016-12-23,36.85,36.41,35.526,,,UP,1
2016-12-27,37.34,36.65,36.098,,,DOWN,0
2016-12-28,37.23,37.25,36.554,,,UP,1
2016-12-29,37.77,37.37,37.104,,,UP,1
2016-12-30,37.85,37.74,37.408,,,DOWN,0
2017-01-03,37.49,37.71,37.536,,,DOWN,0
2017-01-04,36.98,37.67,37.464,,,DOWN,0
2017-01-05,36.62,36.98,37.342,,,UP,1
2017-01-06,36.83,36.42,37.154,,,UP,1
2017-01-09,36.89,36.81,36.962,,,DOWN,0
2017-01-10,36.84,38.79,36.832,,,UP,1
2017-01-11,36.89,36.7,36.814,,,UP,1
2017-01-12,36.96,36.69,36.882,,,UP,1
2017-01-13,37.22,36.89,36.96,34.5244,,DOWN,0
2017-01-17,36.89,37.14,36.96,34.5822,,DOWN,0
2017-01-18,36.64,36.75,36.92,34.635,,UP,1
2017-01-19,36.96,36.79,36.934,34.7042,,UP,1
2017-01-20,37.11,36.95,36.964,34.786,,DOWN,0
2017-01-23,36.77,36.98,36.874,34.8414,,UP,1
2017-01-24,37.49,36.66,36.994,34.9544,,DOWN,0
2017-01-25,36.67,37.45,37.0,35.0812,,DOWN,0
2017-01-26,36.33,36.39,36.874,35.21,,UP,1
2017-01-27,36.44,36.4,36.74,35.335,,UP,1
2017-01-30,36.78,36.2,36.742,35.462,,UP,1
2017-01-31,37.36,36.68,36.716,35.5752,,UP,1
2017-02-01,37.77,37.58,36.936,35.6804,,UP,1
2017-02-02,38.42,37.7,37.354,35.7952,,UP,1
2017-02-03,38.9,38.49,37.846,35.9384,,UP,1
2017-02-06,39.24,39.13,38.338,36.0692,,UP,1
2017-02-07,39.41,39.25,38.748,36.197,,DOWN,0
2017-02-08,39.16,39.28,39.026,36.3284,,DOWN,0
2017-02-09,39.08,39.06,39.158,36.4552,,UP,1
2017-02-10,39.27,39.0,39.232,36.5768,,UP,1
2017-02-13,39.43,39.24,39.27,36.6958,,UP,1
2017-02-14,39.65,39.33,39.318,36.8386,,DOWN,0
2017-02-15,39.63,39.5,39.412,36.9714,,UP,1
2017-02-16,39.9,39.57,39.576,37.0964,,DOWN,0
2017-02-17,39.62,39.77,39.646,37.2124,,DOWN,0
2017-02-21,39.62,39.56,39.684,37.3098,,UP,1
2017-02-22,39.85,39.41,39.724,37.3882,,DOWN,0
2017-02-23,39.5,39.95,39.698,37.4506,,UP,1
2017-02-24,39.58,39.5,39.634,37.5076,,DOWN,0
2017-02-27,39.48,39.7,39.606,37.5656,,DOWN,0
2017-02-28,39.19,39.44,39.52,37.6464,,UP,1
2017-03-01,39.95,39.1,39.54,37.7578,,UP,1
2017-03-02,40.22,39.7,39.684,37.857,,UP,1
2017-03-03,40.4,40.08,39.848,37.9754,,UP,1
2017-03-06,40.42,40.37,40.036,38.0848,,UP,1
2017-03-07,40.74,40.26,40.346,38.1992,,DOWN,0
2017-03-08,40.72,40.65,40.5,38.287,,UP,1
2017-03-09,40.98,40.79,40.652,38.3696,,UP,1
