ticker,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,LYB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2010-04-28,22.0,22.25,,,,UP,1
2010-04-29,23.0,22.0,,,,DOWN,0
2010-04-30,22.3,22.95,,,,UP,1
2010-05-03,22.8,22.75,,,,DOWN,0
2010-05-04,21.5,22.8,22.32,,,DOWN,0
2010-05-05,20.59,22.0,22.038,,,DOWN,0
2010-05-06,19.45,20.5,21.328,,,DOWN,0
2010-05-07,18.6,19.5,20.588,,,UP,1
2010-05-10,19.01,19.75,19.83,,,DOWN,0
2010-05-11,18.9,18.75,19.31,,,UP,1
2010-05-12,19.8,19.2,19.152,,,DOWN,0
2010-05-13,19.65,19.85,19.192,,,DOWN,0
2010-05-14,18.75,19.3,19.222,,,UP,1
2010-05-17,18.85,19.0,19.19,,,DOWN,0
2010-05-18,18.79,19.05,19.168,,,DOWN,0
2010-05-19,17.7,18.9,18.748,,,DOWN,0
2010-05-20,16.9,17.14,18.198,,,DOWN,0
2010-05-21,16.55,16.35,17.758,,,UP,1
2010-05-24,16.9,16.7,17.368,,,DOWN,0
2010-05-25,16.57,16.79,16.924,,,UP,1
2010-05-26,17.15,16.99,16.814,,,UP,1
2010-05-27,17.9,17.65,17.014,,,DOWN,0
2010-05-28,17.77,17.9,17.258,,,DOWN,0
2010-06-01,17.5,17.65,17.378,,,DOWN,0
2010-06-02,17.33,17.61,17.53,,,DOWN,0
2010-06-03,17.33,17.45,17.566,,,DOWN,0
2010-06-04,17.05,17.05,17.396,,,DOWN,0
2010-06-07,16.89,17.15,17.22,,,DOWN,0
2010-06-08,16.75,17.03,17.07,,,UP,1
2010-06-09,16.79,16.79,16.962,,,UP,1
2010-06-10,16.97,16.97,16.89,,,UP,1
2010-06-11,17.14,16.94,16.908,,,UP,1
2010-06-14,17.49,17.19,17.028,,,UP,1
2010-06-15,17.97,17.48,17.272,,,DOWN,0
2010-06-16,17.64,17.93,17.442,,,DOWN,0
2010-06-17,17.3,17.68,17.508,,,DOWN,0
2010-06-18,17.21,17.3299,17.522,,,DOWN,0
2010-06-21,17.1,17.45,17.444,,,DOWN,0
2010-06-22,16.84,17.09,17.218,,,DOWN,0
2010-06-23,16.65,16.9,17.02,,,UP,1
2010-06-24,16.8,16.69,16.92,,,UP,1
2010-06-25,16.82,16.9,16.842,,,UP,1
2010-06-28,16.87,16.87,16.796,,,DOWN,0
2010-06-29,16.25,16.74,16.678,,,DOWN,0
2010-06-30,16.15,16.27,16.578,,,DOWN,0
2010-07-01,15.55,16.2399,16.328,,,DOWN,0
2010-07-02,15.48,15.58,16.06,,,DOWN,0
2010-07-06,15.06,15.5,15.698,,,DOWN,0
2010-07-07,15.0,15.05,15.448,,,UP,1
2010-07-08,15.05,14.95,15.228,17.8482,,UP,1
2010-07-09,15.8,15.1,15.278,17.7242,,UP,1
2010-07-12,15.82,15.82,15.346,17.5806,,UP,1
2010-07-13,16.4,15.83,15.614,17.4626,,DOWN,0
2010-07-14,16.4,16.4,15.894,17.3346,,DOWN,0
2010-07-15,16.37,16.43,16.158,17.232,,DOWN,0
2010-07-16,16.2,16.3,16.238,17.1442,,UP,1
2010-07-19,16.45,16.175,16.364,17.0842,,DOWN,0
2010-07-20,16.19,16.44,16.322,17.036,,UP,1
2010-07-21,16.24,16.19,16.29,16.9806,,UP,1
2010-07-22,16.55,16.26,16.326,16.9336,,UP,1
2010-07-23,16.78,16.55,16.442,16.8732,,UP,1
2010-07-26,17.65,17.0,16.682,16.8332,,UP,1
2010-07-27,18.23,17.92,17.09,16.8228,,DOWN,0
2010-07-28,17.93,18.22,17.428,16.8044,,UP,1
2010-07-29,17.94,18.1,17.706,16.7874,,UP,1
2010-07-30,18.0,17.92,17.95,16.7934,,UP,1
2010-08-02,18.06,18.15,18.032,16.8166,,DOWN,0
2010-08-03,17.9,18.09,17.966,16.8436,,UP,1
2010-08-04,18.3,17.9,18.04,16.8716,,DOWN,0
2010-08-05,18.24,18.3,18.1,16.905,,DOWN,0
2010-08-06,18.0,18.22,18.1,16.922,,UP,1
2010-08-09,18.05,18.0,18.098,16.925,,DOWN,0
2010-08-10,17.99,18.05,18.116,16.9294,,DOWN,0
2010-08-11,17.61,17.8,17.978,16.9316,,DOWN,0
2010-08-12,17.5,17.63,17.83,16.935,,UP,1
2010-08-13,18.02,17.51,17.834,16.9488,,UP,1
2010-08-16,18.7,18.85,17.964,16.9818,,UP,1
2010-08-17,19.07,18.95,18.18,17.0254,,UP,1
2010-08-18,19.8,19.1,18.618,17.0864,,DOWN,0
2010-08-19,19.8,19.89,19.078,17.1466,,UP,1
2010-08-20,19.89,19.8,19.452,17.205,,UP,1
2010-08-23,20.06,19.9,19.724,17.2634,,DOWN,0
2010-08-24,19.99,19.8,19.908,17.3134,,DOWN,0
2010-08-25,19.93,19.94,19.934,17.3526,,UP,1
2010-08-26,20.0,19.95,19.974,17.3998,,UP,1
2010-08-27,20.44,20.14,20.084,17.4626,,DOWN,0
