ticker,MA US Equity,MA US Equity,MA US Equity,MA US Equity,MA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-05-24,3.9,3.9,,,,UP,1
2006-05-25,4.6,4.03,,,,DOWN,0
2006-05-26,4.493,4.63,,,,DOWN,0
2006-05-30,4.4,4.497,,,,UP,1
2006-05-31,4.494,4.435,4.3774,,,UP,1
2006-06-01,4.751,4.493,4.5476,,,DOWN,0
2006-06-02,4.699,4.85,4.5674,,,UP,1
2006-06-05,4.915,4.705,4.6518,,,DOWN,0
2006-06-06,4.83,4.998,4.7378,,,DOWN,0
2006-06-07,4.76,4.833,4.791,,,UP,1
2006-06-08,4.772,4.76,4.7952,,,UP,1
2006-06-09,4.778,4.88,4.811,,,DOWN,0
2006-06-12,4.695,4.8,4.767,,,DOWN,0
2006-06-13,4.55,4.62,4.711,,,DOWN,0
2006-06-14,4.512,4.49,4.6614,,,UP,1
2006-06-15,4.595,4.54,4.626,,,DOWN,0
2006-06-16,4.502,4.55,4.5708,,,DOWN,0
2006-06-19,4.434,4.545,4.5186,,,DOWN,0
2006-06-20,4.402,4.474,4.489,,,UP,1
2006-06-21,4.53,4.402,4.4926,,,UP,1
2006-06-22,4.66,4.64,4.5056,,,UP,1
2006-06-23,4.695,4.699,4.5442,,,UP,1
2006-06-26,4.75,4.695,4.6074,,,DOWN,0
2006-06-27,4.731,4.75,4.6732,,,DOWN,0
2006-06-28,4.696,4.685,4.7064,,,UP,1
2006-06-29,4.8,4.695,4.7344,,,DOWN,0
2006-06-30,4.8,4.765,4.7554,,,DOWN,0
2006-07-03,4.73,4.79,4.7514,,,UP,1
2006-07-05,4.76,4.74,4.7572,,,DOWN,0
2006-07-06,4.68,4.725,4.754,,,DOWN,0
2006-07-07,4.612,4.675,4.7164,,,UP,1
2006-07-10,4.649,4.62,4.6862,,,DOWN,0
2006-07-11,4.635,4.649,4.6672,,,DOWN,0
2006-07-12,4.555,4.64,4.6262,,,DOWN,0
2006-07-13,4.472,4.518,4.5846,,,DOWN,0
2006-07-14,4.395,4.462,4.5412,,,UP,1
2006-07-17,4.399,4.391,4.4912,,,DOWN,0
2006-07-18,4.39,4.399,4.4422,,,UP,1
2006-07-19,4.528,4.391,4.4368,,,UP,1
2006-07-20,4.555,4.54,4.4534,,,DOWN,0
2006-07-21,4.528,4.555,4.48,,,DOWN,0
2006-07-24,4.5,4.545,4.5002,,,UP,1
2006-07-25,4.608,4.52,4.5438,,,UP,1
2006-07-26,4.668,4.614,4.5718,,,DOWN,0
2006-07-27,4.652,4.69,4.5912,,,DOWN,0
2006-07-28,4.63,4.651,4.6116,,,DOWN,0
2006-07-31,4.587,4.63,4.629,,,DOWN,0
2006-08-01,4.5,4.592,4.6074,,,UP,1
2006-08-02,5.002,4.799,4.6742,,,DOWN,0
2006-08-03,4.999,4.913,4.7436,4.6156,,UP,1
2006-08-04,5.005,5.03,4.8186,4.6377,,UP,1
2006-08-07,5.11,5.05,4.9232,4.6479,,UP,1
2006-08-08,5.257,5.11,5.0746,4.6631,,UP,1
2006-08-09,5.285,5.3,5.1312,4.6808,,UP,1
2006-08-10,5.356,5.22,5.2026,4.6981,,UP,1
2006-08-11,5.368,5.35,5.2752,4.7104,,UP,1
2006-08-14,5.423,5.375,5.3378,4.7249,,UP,1
2006-08-15,5.449,5.47,5.3762,4.7356,,DOWN,0
2006-08-16,5.427,5.465,5.4046,4.7475,,DOWN,0
2006-08-17,5.346,5.42,5.4026,4.7592,,DOWN,0
2006-08-18,5.345,5.31,5.398,4.7707,,UP,1
2006-08-21,5.426,5.33,5.3986,4.7837,,UP,1
2006-08-22,5.523,5.42,5.4134,4.8002,,DOWN,0
2006-08-23,5.46,5.548,5.42,4.8184,,UP,1
2006-08-24,5.565,5.49,5.4638,4.8395,,DOWN,0
2006-08-25,5.5,5.575,5.4948,4.8576,,UP,1
2006-08-28,5.502,5.485,5.51,4.8776,,UP,1
2006-08-29,5.535,5.525,5.5124,4.8996,,DOWN,0
2006-08-30,5.525,5.548,5.5254,4.9221,,UP,1
2006-08-31,5.59,5.525,5.5304,4.9433,,UP,1
2006-09-01,5.655,5.597,5.5614,4.9632,,UP,1
2006-09-05,5.685,5.69,5.598,4.983,,UP,1
2006-09-06,5.888,5.69,5.6686,5.0057,,UP,1
2006-09-07,6.012,5.851,5.766,5.0313,,DOWN,0
2006-09-08,5.975,6.1,5.843,5.0569,,UP,1
2006-09-11,6.187,5.975,5.9494,5.0847,,UP,1
2006-09-12,6.21,6.099,6.0544,5.1129,,DOWN,0
2006-09-13,6.135,6.2,6.1038,5.141,,UP,1
2006-09-14,6.279,6.085,6.1572,5.1713,,UP,1
2006-09-15,6.497,6.279,6.2616,5.2077,,UP,1
2006-09-18,6.512,6.574,6.3266,5.2457,,DOWN,0
2006-09-19,6.484,6.5,6.3814,5.2824,,UP,1
2006-09-20,6.655,6.51,6.4854,5.3228,,UP,1
2006-09-21,6.905,6.753,6.6106,5.3698,,DOWN,0
