ticker,MAR US Equity,MAR US Equity,MAR US Equity,MAR US Equity,MAR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,14.2191,14.7144,16.4823,14.4405,15.1047,DOWN,0
2000-01-04,14.1316,14.1316,16.4658,14.324,15.0779,UP,1
2000-01-05,14.3647,14.1316,16.4553,14.3647,15.0552,UP,1
2000-01-06,14.5687,14.3939,16.4451,14.3997,15.0377,UP,1
2000-01-07,14.9766,14.5687,16.438,14.4522,15.0301,UP,1
2000-01-10,15.7633,15.3846,16.4352,14.761,15.0336,DOWN,0
2000-01-11,15.2097,15.6468,16.43,14.9766,15.0237,UP,1
2000-01-12,15.3554,15.2097,16.4266,15.1748,15.0185,UP,1
2000-01-13,15.3846,15.3554,16.4252,15.3379,15.0185,DOWN,0
2000-01-14,15.268,15.3846,16.4211,15.3962,15.0138,DOWN,0
2000-01-18,15.064,15.1515,16.4166,15.2564,15.0062,UP,1
2000-01-19,15.1515,14.9475,16.4137,15.2447,15.0004,DOWN,0
2000-01-20,15.0058,14.9766,16.4083,15.1748,14.9981,DOWN,0
2000-01-21,14.9475,15.0058,16.401,15.0874,14.9958,DOWN,0
2000-01-24,14.0734,14.9475,16.3871,14.8484,14.9812,UP,1
2000-01-25,14.423,14.0442,16.3765,14.7202,14.9602,UP,1
2000-01-26,14.5104,14.4522,16.3679,14.592,14.9282,UP,1
2000-01-27,14.5687,14.4522,16.3592,14.5046,14.8862,DOWN,0
2000-01-28,14.3647,14.4813,16.3445,14.3881,14.8419,UP,1
2000-01-31,14.4813,14.4522,16.3248,14.4696,14.8192,UP,1
2000-02-01,14.8892,14.4522,16.3035,14.5629,14.8116,DOWN,0
2000-02-02,14.6561,14.7727,16.2859,14.592,14.804,UP,1
2000-02-03,15.0349,14.6561,16.2725,14.6853,14.8116,UP,1
2000-02-04,15.7925,14.9766,16.2603,14.9708,14.8314,DOWN,0
2000-02-07,15.5011,15.5885,16.2423,15.1748,14.8413,UP,1
