ticker,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,MCHP US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,10.0648,10.1528,7.6726,10.0889,9.8049,DOWN,0
2000-01-04,9.3426,10.25,7.6951,9.9648,9.8197,UP,1
2000-01-05,9.4167,9.4444,7.7184,9.8037,9.8312,DOWN,0
2000-01-06,9.1667,9.2685,7.7396,9.6259,9.8338,DOWN,0
2000-01-07,8.9259,9.2315,7.7583,9.3833,9.8382,UP,1
2000-01-10,9.5741,9.1667,7.78,9.2852,9.8481,DOWN,0
2000-01-11,9.2315,9.5,7.7996,9.263,9.8353,UP,1
2000-01-12,9.9722,9.3519,7.8236,9.3741,9.8425,UP,1
2000-01-13,10.5556,10.2778,7.8507,9.6519,9.8647,DOWN,0
2000-01-14,9.8796,10.7037,7.8734,9.8426,9.8608,DOWN,0
2000-01-18,9.7685,10.0,7.8955,9.8815,9.8523,UP,1
2000-01-19,9.9907,9.9074,7.9186,10.0333,9.8477,UP,1
2000-01-20,10.3981,10.1852,7.9437,10.1185,9.8527,DOWN,0
2000-01-21,9.8148,10.4167,7.9664,9.9704,9.8527,DOWN,0
2000-01-24,9.5926,9.8056,7.9876,9.913,9.8516,UP,1
2000-01-25,10.0,9.6389,8.0118,9.9593,9.8586,DOWN,0
2000-01-26,9.537,10.0093,8.0338,9.8685,9.8556,DOWN,0
2000-01-27,9.2037,9.6019,8.0548,9.6296,9.8497,DOWN,0
2000-01-28,8.6204,9.1852,8.0721,9.3907,9.8266,UP,1
2000-01-31,9.3148,8.6111,8.093,9.3352,9.824,UP,1
2000-02-01,9.3241,9.213,8.1139,9.2,9.8106,UP,1
2000-02-02,9.5185,9.3704,8.1363,9.1963,9.8025,UP,1
2000-02-03,10.2963,9.6667,8.1612,9.4148,9.8127,DOWN,0
2000-02-04,10.0509,10.1481,8.1836,9.7009,9.8263,UP,1
2000-02-07,10.2963,9.963,8.207,9.8972,9.8396,UP,1
