ticker,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,MCK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,23.438,23.0,33.7331,22.6875,21.4312,DOWN,0
2000-01-04,21.938,23.125,33.5172,22.675,21.4799,UP,1
2000-01-05,22.188,22.063,33.305,22.6375,21.5012,UP,1
2000-01-06,23.75,22.125,33.0937,22.7625,21.5674,DOWN,0
2000-01-07,23.5,23.938,32.874,22.9625,21.6274,UP,1
2000-01-10,24.0,25.5,32.6572,23.075,21.7024,UP,1
2000-01-11,27.0,25.25,32.4528,24.0875,21.8412,DOWN,0
2000-01-12,25.938,27.438,32.2425,24.8375,21.9637,UP,1
2000-01-13,26.375,26.0,32.0444,25.3625,22.0912,DOWN,0
2000-01-14,26.375,27.0,31.8353,25.9375,22.2049,UP,1
2000-01-18,26.813,26.313,31.6287,26.5,22.3312,DOWN,0
2000-01-19,26.188,26.625,31.4262,26.3375,22.4524,DOWN,0
2000-01-20,25.25,26.063,31.2203,26.2,22.5512,DOWN,0
2000-01-21,25.125,25.938,31.0262,25.95,22.6512,DOWN,0
2000-01-24,24.875,25.125,30.8387,25.65,22.7499,DOWN,0
2000-01-25,22.0,22.0,30.6328,24.6875,22.7874,DOWN,0
2000-01-26,21.688,21.938,30.4187,23.7875,22.7949,DOWN,0
2000-01-27,20.875,21.875,30.1994,22.9125,22.7799,DOWN,0
2000-01-28,20.125,20.938,29.9781,21.9125,22.7212,UP,1
2000-01-31,20.563,20.063,29.7694,21.05,22.6624,UP,1
2000-02-01,20.875,20.875,29.5787,20.825,22.6237,DOWN,0
2000-02-02,20.375,20.875,29.3669,20.5625,22.5687,UP,1
2000-02-03,20.563,20.75,29.1437,20.5,22.5174,DOWN,0
2000-02-04,20.5,20.5,28.9287,20.575,22.4888,DOWN,0
2000-02-07,20.313,20.5,28.719,20.525,22.4475,UP,1
2000-02-08,20.375,20.688,28.5022,20.425,22.4075,DOWN,0
