ticker,MELI US Equity,MELI US Equity,MELI US Equity,MELI US Equity,MELI US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-08-09,18.0,18.0,,,,UP,1
2007-08-10,28.5,22.0,,,,UP,1
2007-08-13,31.65,31.2,,,,DOWN,0
2007-08-14,30.03,32.45,,,,DOWN,0
2007-08-15,28.56,30.21,27.348,,,DOWN,0
2007-08-16,28.1,28.25,29.368,,,UP,1
2007-08-17,32.85,30.32,30.238,,,DOWN,0
2007-08-20,30.47,32.9,30.002,,,DOWN,0
2007-08-21,29.02,29.71,29.8,,,UP,1
2007-08-22,29.57,29.15,30.002,,,UP,1
2007-08-23,30.0,30.89,30.382,,,DOWN,0
2007-08-24,30.0,29.16,29.812,,,DOWN,0
2007-08-27,29.4,29.37,29.598,,,DOWN,0
2007-08-28,28.9,29.3,29.574,,,UP,1
2007-08-29,29.33,29.52,29.526,,,DOWN,0
2007-08-30,28.75,29.75,29.276,,,DOWN,0
2007-08-31,28.12,29.15,28.9,,,DOWN,0
2007-09-04,28.0,28.01,28.62,,,UP,1
2007-09-05,28.51,27.38,28.542,,,UP,1
2007-09-06,29.93,28.86,28.662,,,DOWN,0
2007-09-07,29.5,30.68,28.812,,,DOWN,0
2007-09-10,29.3,29.75,29.048,,,DOWN,0
2007-09-11,29.08,29.67,29.264,,,UP,1
2007-09-12,29.17,28.87,29.396,,,DOWN,0
2007-09-13,29.0,29.2,29.21,,,DOWN,0
2007-09-14,28.5,28.61,29.01,,,DOWN,0
2007-09-17,27.75,28.25,28.7,,,UP,1
2007-09-18,28.0,27.75,28.484,,,UP,1
2007-09-19,33.28,30.1,29.306,,,UP,1
2007-09-20,37.06,33.49,30.918,,,UP,1
2007-09-21,40.52,36.52,33.322,,,UP,1
2007-09-24,41.06,38.27,35.984,,,DOWN,0
2007-09-25,38.2,38.72,38.024,,,DOWN,0
2007-09-26,38.08,38.0,38.984,,,DOWN,0
2007-09-27,36.92,38.5,38.956,,,DOWN,0
2007-09-28,36.26,36.23,38.104,,,UP,1
2007-10-01,36.71,36.63,37.2341,,,UP,1
2007-10-02,39.4,37.63,37.4741,,,UP,1
2007-10-03,42.12,39.16,38.2821,,,DOWN,0
2007-10-04,41.27,42.71,39.1521,,,DOWN,0
2007-10-05,41.11,42.25,40.122,,,DOWN,0
2007-10-08,41.02,40.86,40.984,,,UP,1
2007-10-09,45.38,40.97,42.18,,,DOWN,0
2007-10-10,44.94,45.57,42.744,,,DOWN,0
2007-10-11,41.21,45.12,42.732,,,DOWN,0
2007-10-12,40.46,41.0,42.602,,,DOWN,0
2007-10-15,38.44,41.35,42.086,,,DOWN,0
2007-10-16,36.93,38.05,40.396,,,UP,1
2007-10-17,38.58,37.82,39.124,,,UP,1
2007-10-18,39.84,38.21,38.85,33.5356,,DOWN,0
2007-10-19,37.3,39.8,38.218,33.9216,,UP,1
2007-10-22,38.64,37.25,38.258,34.1244,,UP,1
2007-10-23,42.83,39.57,39.438,34.348,,DOWN,0
2007-10-24,39.38,42.23,39.598,34.535,,UP,1
2007-10-25,40.03,39.35,39.636,34.7644,,UP,1
2007-10-26,43.07,40.11,40.79,35.0638,,UP,1
2007-10-29,44.59,43.16,41.98,35.2986,,UP,1
2007-10-30,45.86,44.6,42.586,35.6064,,DOWN,0
2007-10-31,44.68,46.18,43.646,35.9196,,DOWN,0
2007-11-01,41.36,44.21,43.912,36.1554,,UP,1
2007-11-02,44.34,42.03,44.166,36.4422,,DOWN,0
2007-11-05,43.53,43.2,43.954,36.7128,,UP,1
2007-11-06,45.48,43.5,43.878,37.0344,,DOWN,0
2007-11-07,39.4,44.34,42.822,37.2444,,DOWN,0
2007-11-08,37.52,40.0,42.054,37.4082,,DOWN,0
2007-11-09,36.76,37.77,40.538,37.5684,,DOWN,0
2007-11-12,35.18,36.65,38.868,37.7096,,UP,1
2007-11-13,41.06,36.02,37.984,37.9708,,UP,1
2007-11-14,43.19,45.0,38.742,38.2644,,UP,1
2007-11-15,46.44,43.33,40.526,38.5946,,UP,1
2007-11-16,46.51,46.54,42.476,38.9348,,DOWN,0
2007-11-19,44.69,46.03,44.378,39.2426,,DOWN,0
2007-11-20,43.62,45.15,44.89,39.5334,,DOWN,0
2007-11-21,41.2,42.6,44.492,39.774,,UP,1
2007-11-23,42.36,40.26,43.676,40.0412,,DOWN,0
2007-11-26,41.17,42.58,42.608,40.2946,,DOWN,0
2007-11-27,41.12,41.72,41.894,40.562,,UP,1
2007-11-28,43.61,41.25,41.892,40.8742,,DOWN,0
2007-11-29,43.0,43.5,42.252,41.0686,,DOWN,0
2007-11-30,42.41,43.5,42.262,41.1756,,UP,1
2007-12-03,44.71,44.11,42.97,41.2594,,DOWN,0
2007-12-04,43.36,45.62,43.418,41.3054,,UP,1
2007-12-05,44.24,44.85,43.544,41.4262,,DOWN,0
2007-12-06,44.03,44.24,43.75,41.5452,,DOWN,0
2007-12-07,43.77,44.3,44.022,41.6822,,UP,1
