ticker,MET US Equity,MET US Equity,MET US Equity,MET US Equity,MET US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-04-04,12.6987,12.6987,,,,UP,1
2000-04-05,13.8126,12.9215,,,,UP,1
2000-04-06,13.8683,13.7012,,,,DOWN,0
2000-04-07,13.6455,13.7012,,,,UP,1
2000-04-10,13.7569,13.7569,13.5564,,,DOWN,0
2000-04-11,13.4784,13.6455,13.7123,,,UP,1
2000-04-12,14.4252,13.5898,13.8349,,,UP,1
2000-04-13,15.1493,14.4809,14.0911,,,DOWN,0
2000-04-14,14.1468,15.0936,14.1913,,,UP,1
2000-04-17,14.3696,14.2582,14.3139,,,DOWN,0
2000-04-18,14.3696,14.4252,14.4921,,,DOWN,0
2000-04-19,14.2582,14.4252,14.4587,,,DOWN,0
2000-04-20,13.7569,14.0354,14.1802,,,UP,1
2000-04-24,14.2025,13.8126,14.1913,,,UP,1
2000-04-25,14.2582,14.2025,14.169,,,UP,1
2000-04-26,14.3139,14.2025,14.1579,,,DOWN,0
2000-04-27,14.2025,14.2025,14.1468,,,UP,1
2000-04-28,14.7594,14.2025,14.3473,,,UP,1
2000-05-01,16.0404,15.2607,14.7149,,,DOWN,0
2000-05-02,15.8733,15.7063,15.0379,,,DOWN,0
2000-05-03,15.5949,15.8176,15.2941,,,DOWN,0
2000-05-04,15.5949,15.4835,15.5726,,,UP,1
2000-05-05,15.6506,15.3721,15.7508,,,UP,1
2000-05-08,16.0404,15.929,15.7508,,,DOWN,0
2000-05-09,15.2607,16.2075,15.6283,,,UP,1
2000-05-10,15.6506,15.1493,15.6394,,,UP,1
2000-05-11,16.0404,15.7063,15.7285,,,UP,1
2000-05-12,16.4303,16.1518,15.8845,,,UP,1
2000-05-15,16.8759,16.9316,16.0516,,,UP,1
2000-05-16,16.9873,16.9316,16.3969,,,DOWN,0
2000-05-17,16.9873,16.9873,16.6642,,,DOWN,0
2000-05-18,16.855,16.9316,16.8271,,,DOWN,0
2000-05-19,16.2075,16.486,16.7826,,,UP,1
2000-05-22,16.2632,16.2632,16.66,,,UP,1
2000-05-23,16.8202,16.2632,16.6266,,,UP,1
2000-05-24,17.2657,16.8202,16.6823,,,DOWN,0
2000-05-25,17.0987,17.21,16.7311,,,UP,1
2000-05-26,17.5999,17.043,17.0095,,,UP,1
2000-05-30,17.7113,17.767,17.2992,,,UP,1
2000-05-31,18.2683,17.7113,17.5888,,,DOWN,0
2000-06-01,17.8227,18.2126,17.7002,,,UP,1
2000-06-02,18.7138,18.7138,18.0232,,,DOWN,0
2000-06-05,18.324,18.2683,18.168,,,DOWN,0
2000-06-06,18.2126,18.6024,18.2683,,,UP,1
2000-06-07,18.4354,18.2683,18.3017,,,DOWN,0
2000-06-08,18.2126,18.324,18.3797,,,UP,1
2000-06-09,18.7138,18.2683,18.3797,,,DOWN,0
2000-06-12,18.2126,18.4911,18.3574,,,UP,1
2000-06-13,18.5467,18.4354,18.4242,,,DOWN,0
2000-06-14,17.8227,18.324,18.3017,15.9921,,DOWN,0
2000-06-15,17.8227,17.8227,18.2237,16.0946,,UP,1
2000-06-16,17.8784,17.9898,18.0566,16.1759,,DOWN,0
2000-06-19,17.8227,17.8227,17.9786,16.255,,DOWN,0
2000-06-20,16.7645,17.7113,17.6222,16.3174,,DOWN,0
2000-06-21,16.486,16.7645,17.3549,16.372,,UP,1
2000-06-22,17.0987,16.6531,17.21,16.4444,,UP,1
2000-06-23,17.21,16.9316,17.0764,16.5001,,DOWN,0
2000-06-26,17.0987,17.8227,16.9316,16.539,,UP,1
2000-06-27,17.7113,17.3214,17.1209,16.6103,,DOWN,0
2000-06-28,17.4885,18.0455,17.3214,16.6727,,UP,1
2000-06-29,18.9923,17.7113,17.7002,16.7652,,DOWN,0
2000-06-30,18.679,19.3822,17.994,16.8536,,UP,1
2000-07-03,19.048,18.4911,18.3838,16.9594,,DOWN,0
2000-07-05,18.8252,18.9366,18.6066,17.0519,,UP,1
2000-07-06,19.4936,18.3797,19.0076,17.1566,,DOWN,0
2000-07-07,19.4936,19.3822,19.1079,17.2602,,DOWN,0
2000-07-10,19.1037,19.3822,19.1928,17.3582,,DOWN,0
2000-07-11,18.5467,18.9923,19.0926,17.4339,,DOWN,0
2000-07-12,18.2126,18.4911,18.97,17.4774,,DOWN,0
2000-07-13,17.6556,18.2126,18.6024,17.513,,UP,1
2000-07-14,18.6024,17.6556,18.4242,17.5732,,DOWN,0
2000-07-17,18.1012,18.4911,18.2237,17.6233,,UP,1
2000-07-18,18.1569,17.8784,18.1457,17.6734,,UP,1
2000-07-19,18.2126,18.2126,18.1457,17.7169,,UP,1
2000-07-20,18.324,18.324,18.2794,17.7781,,UP,1
2000-07-21,18.4911,18.4911,18.2571,17.835,,DOWN,0
2000-07-24,18.2683,18.1012,18.2905,17.8795,,UP,1
2000-07-25,18.7138,18.1569,18.4019,17.9252,,DOWN,0
2000-07-26,18.5467,18.7138,18.4688,17.9586,,DOWN,0
