ticker,MGM US Equity,MGM US Equity,MGM US Equity,MGM US Equity,MGM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,11.8125,12.5781,11.658,12.3625,12.4616,DOWN,0
2000-01-04,11.7031,11.8125,11.6691,12.2344,12.4569,DOWN,0
2000-01-05,11.5156,11.6875,11.6809,12.0969,12.4434,UP,1
2000-01-06,11.9375,11.3125,11.6956,11.9094,12.4403,DOWN,0
2000-01-07,11.8125,11.9375,11.7097,11.7563,12.4353,UP,1
2000-01-10,12.0781,11.8438,11.7252,11.8094,12.4356,DOWN,0
2000-01-11,11.4688,12.0938,11.738,11.7625,12.41,UP,1
2000-01-12,11.6875,11.4844,11.7521,11.7969,12.3837,DOWN,0
2000-01-13,11.4063,11.7188,11.7671,11.6906,12.3456,UP,1
2000-01-14,11.5313,11.4688,11.7831,11.6344,12.3072,DOWN,0
2000-01-18,11.5313,11.5938,11.798,11.525,12.2678,UP,1
2000-01-19,11.8906,11.4688,11.8154,11.6094,12.2366,DOWN,0
2000-01-20,11.8594,12.1875,11.8284,11.6438,12.2031,DOWN,0
2000-01-21,11.5156,11.625,11.8384,11.6656,12.1616,DOWN,0
2000-01-24,10.9531,11.5625,11.8457,11.55,12.1156,DOWN,0
2000-01-25,10.875,10.9531,11.8531,11.4188,12.065,DOWN,0
2000-01-26,10.7813,10.9844,11.8594,11.1969,12.0134,DOWN,0
2000-01-27,10.4844,10.7656,11.863,10.9219,11.9869,DOWN,0
2000-01-28,10.3906,10.4688,11.8675,10.6969,11.9413,DOWN,0
2000-01-31,10.3438,10.4219,11.8703,10.575,11.9088,UP,1
2000-02-01,10.7188,10.5625,11.8734,10.5438,11.8738,DOWN,0
2000-02-02,10.625,10.6563,11.8747,10.5125,11.8384,DOWN,0
2000-02-03,10.5313,10.6875,11.8742,10.5219,11.8016,UP,1
2000-02-04,11.0781,10.6406,11.877,10.6594,11.7744,DOWN,0
2000-02-07,10.6406,11.0313,11.8764,10.7188,11.7391,UP,1
