ticker,MO US Equity,MO US Equity,MO US Equity,MO US Equity,MO US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,5.4248,5.4538,7.9079,5.3496,5.7834,UP,1
2000-01-04,5.4682,5.3814,7.8868,5.419,5.7782,DOWN,0
2000-01-05,5.4393,5.5116,7.8672,5.4277,5.769,DOWN,0
2000-01-06,5.338,5.4393,7.8465,5.3988,5.7574,UP,1
2000-01-07,5.4827,5.3814,7.8271,5.4306,5.7478,UP,1
2000-01-10,5.555,5.4972,7.8085,5.4567,5.7377,UP,1
2000-01-11,5.584,5.584,7.7887,5.4798,5.7273,UP,1
2000-01-12,5.6129,5.6129,7.7731,5.5145,5.7299,UP,1
2000-01-13,5.6708,5.6708,7.7608,5.5811,5.7322,DOWN,0
2000-01-14,5.6129,5.6852,7.7488,5.6071,5.7195,DOWN,0
2000-01-18,5.3236,5.5695,7.7348,5.5608,5.7053,UP,1
2000-01-19,5.4104,5.3525,7.7216,5.5261,5.6958,DOWN,0
2000-01-20,5.15,5.4104,7.7085,5.4335,5.6799,DOWN,0
2000-01-21,5.0921,5.1355,7.6943,5.3178,5.6642,DOWN,0
2000-01-24,5.0921,5.2657,7.6793,5.2136,5.6521,DOWN,0
2000-01-25,5.0776,5.0921,7.663,5.1644,5.6367,DOWN,0
2000-01-26,4.8751,5.0342,7.6466,5.0574,5.6179,DOWN,0
2000-01-27,4.8606,4.9764,7.6308,4.9995,5.5977,DOWN,0
2000-01-28,4.8028,4.8896,7.6144,4.9417,5.5731,UP,1
2000-01-31,4.8317,4.8462,7.5984,4.8896,5.5499,UP,1
2000-02-01,4.8606,4.8896,7.5843,4.8462,5.5268,DOWN,0
2000-02-02,4.7738,4.8462,7.5686,4.8259,5.5037,UP,1
2000-02-03,4.8606,4.8462,7.5535,4.8259,5.4736,DOWN,0
2000-02-04,4.7738,4.8896,7.5375,4.8201,5.4495,DOWN,0
2000-02-07,4.7594,4.8317,7.5206,4.8057,5.4212,DOWN,0
