ticker,MOS US Equity,MOS US Equity,MOS US Equity,MOS US Equity,MOS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,16.75,17.0,17.9975,16.3125,15.1088,DOWN,0
2000-01-04,16.375,16.375,17.9747,16.475,15.1725,UP,1
2000-01-05,17.0,16.375,17.9566,16.6,15.2413,UP,1
2000-01-06,17.25,17.25,17.9384,16.75,15.3288,UP,1
2000-01-07,17.5,17.5,17.9228,16.975,15.4213,UP,1
2000-01-10,18.625,17.75,17.9141,17.35,15.5288,DOWN,0
2000-01-11,18.1875,18.5,17.9028,17.7125,15.6375,DOWN,0
2000-01-12,18.0,18.125,17.8934,17.9125,15.7338,UP,1
2000-01-13,18.75,19.375,17.885,18.2125,15.8238,DOWN,0
2000-01-14,18.125,18.6875,17.8753,18.3375,15.8963,UP,1
2000-01-18,18.375,18.125,17.8722,18.2875,15.98,DOWN,0
2000-01-19,17.8125,18.4375,17.8663,18.2125,16.0588,DOWN,0
2000-01-20,17.25,17.875,17.8616,18.0625,16.1313,DOWN,0
2000-01-21,17.1875,17.5,17.8525,17.75,16.2013,UP,1
2000-01-24,17.3125,17.5,17.8409,17.5875,16.2775,DOWN,0
2000-01-25,17.125,17.0625,17.8291,17.3375,16.33,DOWN,0
2000-01-26,16.9375,17.25,17.8175,17.1625,16.3775,DOWN,0
2000-01-27,16.3125,16.8125,17.7972,16.975,16.4125,UP,1
2000-01-28,16.875,16.5,17.7769,16.9125,16.4488,DOWN,0
2000-01-31,16.375,16.875,17.7484,16.725,16.4625,UP,1
2000-02-01,17.1875,17.25,17.7206,16.7375,16.485,DOWN,0
2000-02-02,17.1875,17.0625,17.6894,16.7875,16.515,DOWN,0
2000-02-03,16.6875,17.125,17.6572,16.8625,16.5275,DOWN,0
2000-02-04,16.375,16.6875,17.6188,16.7625,16.5375,UP,1
2000-02-07,16.5625,16.75,17.5834,16.8,16.5487,UP,1
2000-02-08,16.9375,16.5,17.5538,16.75,16.5675,DOWN,0
