ticker,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-11-18,8.5,8.5,,,,UP,1
2004-11-19,9.84,9.06,,,,DOWN,0
2004-11-22,9.62,9.9,,,,DOWN,0
2004-11-23,9.38,9.5,,,,UP,1
2004-11-24,9.779,9.5,9.4238,,,UP,1
2004-11-26,9.8,9.3,9.6838,,,DOWN,0
2004-11-29,9.799,10.0,9.6756,,,UP,1
2004-11-30,9.88,9.8,9.7276,,,UP,1
2004-12-01,9.99,9.5,9.8496,,,UP,1
2004-12-02,10.85,10.03,10.0638,,,UP,1
2004-12-03,11.14,10.99,10.3318,,,DOWN,0
2004-12-06,11.13,11.39,10.598,,,DOWN,0
2004-12-07,10.91,11.38,10.804,,,DOWN,0
2004-12-08,10.9,10.96,10.986,,,DOWN,0
2004-12-09,10.81,10.8,10.978,,,DOWN,0
2004-12-10,10.41,10.71,10.832,,,DOWN,0
2004-12-13,10.33,10.1,10.672,,,DOWN,0
2004-12-14,10.23,10.85,10.536,,,DOWN,0
2004-12-15,10.05,10.0,10.366,,,DOWN,0
2004-12-16,10.01,9.85,10.206,,,DOWN,0
2004-12-17,9.5,9.9,10.024,,,DOWN,0
2004-12-20,9.3,9.9,9.818,,,UP,1
2004-12-21,9.47,9.0,9.666,,,UP,1
2004-12-22,9.61,9.37,9.578,,,UP,1
2004-12-23,9.765,9.6,9.529,,,DOWN,0
2004-12-27,9.72,9.72,9.573,,,DOWN,0
2004-12-28,9.5,9.63,9.613,,,DOWN,0
2004-12-29,9.5,9.4,9.619,,,DOWN,0
2004-12-30,9.39,9.33,9.575,,,DOWN,0
2004-12-31,9.3,9.39,9.482,,,DOWN,0
2005-01-03,8.87,9.31,9.312,,,DOWN,0
2005-01-04,8.65,8.73,9.142,,,DOWN,0
2005-01-05,8.3,8.62,8.902,,,DOWN,0
2005-01-06,8.24,8.25,8.672,,,UP,1
2005-01-07,8.25,8.15,8.462,,,DOWN,0
2005-01-10,7.8,8.16,8.248,,,DOWN,0
2005-01-11,7.22,7.64,7.962,,,DOWN,0
2005-01-12,6.6,7.3,7.622,,,DOWN,0
2005-01-13,6.23,6.77,7.22,,,UP,1
2005-01-14,6.28,6.1,6.826,,,UP,1
2005-01-18,6.29,6.43,6.524,,,UP,1
2005-01-19,6.34,6.42,6.348,,,UP,1
2005-01-20,6.85,6.19,6.398,,,UP,1
2005-01-21,7.66,6.99,6.684,,,UP,1
2005-01-24,7.92,7.49,7.012,,,DOWN,0
2005-01-25,7.84,8.0,7.322,,,DOWN,0
2005-01-26,7.77,7.85,7.608,,,DOWN,0
2005-01-27,7.66,7.58,7.77,,,DOWN,0
2005-01-28,7.62,7.24,7.762,,,DOWN,0
2005-01-31,7.38,7.7,7.654,8.9637,,UP,1
2005-02-01,7.5,7.29,7.586,8.9437,,UP,1
2005-02-02,7.57,7.6,7.546,8.8983,,DOWN,0
2005-02-03,7.35,7.5,7.484,8.8529,,UP,1
2005-02-04,7.57,7.37,7.474,8.8167,,DOWN,0
2005-02-07,7.52,7.65,7.502,8.7715,,UP,1
2005-02-08,7.62,7.61,7.526,8.7279,,DOWN,0
2005-02-09,7.09,7.65,7.43,8.6737,,DOWN,0
2005-02-10,6.91,7.0,7.342,8.6143,,UP,1
2005-02-11,7.17,6.91,7.262,8.5579,,UP,1
2005-02-14,7.52,7.17,7.262,8.4913,,DOWN,0
2005-02-15,7.36,7.43,7.21,8.4157,,DOWN,0
2005-02-16,7.139,7.24,7.2198,8.3359,,DOWN,0
2005-02-17,6.96,6.89,7.2298,8.2569,,DOWN,0
2005-02-18,6.48,6.93,7.0918,8.1685,,DOWN,0
2005-02-22,6.45,6.35,6.8778,8.0813,,DOWN,0
2005-02-23,6.36,6.29,6.6778,8.0003,,UP,1
2005-02-24,6.37,6.25,6.524,7.9211,,UP,1
2005-02-25,6.53,6.25,6.438,7.8471,,DOWN,0
2005-02-28,6.39,6.96,6.42,7.7739,,UP,1
2005-03-01,6.44,6.28,6.418,7.7025,,DOWN,0
2005-03-02,6.34,6.28,6.414,7.6393,,UP,1
2005-03-03,6.38,6.67,6.416,7.5809,,UP,1
2005-03-04,6.62,6.52,6.434,7.5239,,UP,1
2005-03-07,6.8,6.78,6.516,7.4677,,UP,1
2005-03-08,7.44,7.05,6.716,7.4212,,UP,1
2005-03-09,8.0,7.57,7.048,7.3868,,DOWN,0
2005-03-10,7.92,8.2,7.356,7.3552,,UP,1
2005-03-11,8.28,7.5,7.688,7.3308,,UP,1
2005-03-14,8.4,8.34,8.008,7.311,,UP,1
2005-03-15,8.67,8.45,8.254,7.2984,,DOWN,0
2005-03-16,8.29,8.74,8.312,7.2868,,UP,1
2005-03-17,8.51,8.42,8.43,7.284,,UP,1
2005-03-18,8.68,8.64,8.51,7.2916,,DOWN,0
2005-03-21,8.57,8.7,8.544,7.2982,,UP,1
2005-03-22,8.64,8.5,8.538,7.306,,UP,1
