ticker,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,MRK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-01-03,61.0296,61.9321,65.0864,61.4809,67.4806,DOWN,0
2000-01-04,58.8863,60.4656,64.9911,60.6686,67.2189,UP,1
2000-01-05,61.1988,58.717,64.9225,60.5897,67.0249,UP,1
2000-01-06,61.7065,61.1988,64.8593,60.6912,66.8579,UP,1
2000-01-07,67.6289,63.0038,64.8249,62.09,66.806,DOWN,0
2000-01-10,65.6548,67.4597,64.7905,63.0151,66.6864,UP,1
2000-01-11,65.8804,65.0343,64.7511,64.4139,66.568,UP,1
2000-01-12,67.1777,66.4445,64.7158,65.6097,66.4755,UP,1
2000-01-13,67.4597,67.5161,64.6915,66.7603,66.4157,DOWN,0
2000-01-14,66.8957,67.911,64.6653,66.6137,66.3254,DOWN,0
2000-01-18,63.9063,65.9932,64.632,66.264,66.1653,UP,1
2000-01-19,64.5267,64.7523,64.6024,65.9932,66.0051,UP,1
2000-01-20,65.824,64.9215,64.5697,65.7225,65.8968,DOWN,0
2000-01-21,65.3728,67.2341,64.5283,65.3051,65.7964,DOWN,0
2000-01-24,63.3986,65.8804,64.4696,64.6057,65.6644,UP,1
2000-01-25,63.9627,64.1883,64.4059,64.6169,65.5583,UP,1
2000-01-26,65.7112,64.0755,64.3593,64.8538,65.5019,UP,1
2000-01-27,66.8957,65.9932,64.3396,65.0682,65.4828,UP,1
2000-01-28,68.9262,68.1366,64.3351,65.7789,65.4895,UP,1
2000-01-31,70.9568,68.3058,64.3396,67.2905,65.5143,DOWN,0
2000-02-01,69.3211,69.8287,64.3562,68.3622,65.4805,UP,1
2000-02-02,69.3775,69.7723,64.3636,69.0955,65.4354,DOWN,0
2000-02-03,68.8134,68.8698,64.3652,69.479,65.3905,DOWN,0
2000-02-04,67.7418,69.3775,64.3526,69.2421,65.3341,UP,1
2000-02-07,67.911,67.0085,64.3503,68.6329,65.254,UP,1
