ticker,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-07-01,105.67,106.0,,,,DOWN,0
2020-07-02,98.92,105.1,,,,DOWN,0
2020-07-06,94.78,100.0,,,,DOWN,0
2020-07-07,92.0,93.34,,,,UP,1
2020-07-08,94.2,92.0,97.114,,,UP,1
2020-07-09,96.32,95.0,95.244,,,UP,1
2020-07-10,100.39,96.87,95.538,,,DOWN,0
2020-07-13,96.92,100.72,95.966,,,UP,1
2020-07-14,97.93,95.38,97.152,,,DOWN,0
2020-07-15,96.43,98.35,97.598,,,DOWN,0
2020-07-16,94.46,95.54,97.226,,,DOWN,0
2020-07-17,91.75,95.1,95.498,,,UP,1
2020-07-20,97.17,91.71,95.548,,,DOWN,0
2020-07-21,93.93,98.41,94.748,,,DOWN,0
2020-07-22,93.37,94.0,94.136,,,DOWN,0
2020-07-23,91.15,93.01,93.474,,,DOWN,0
2020-07-24,90.36,89.99,93.196,,,UP,1
2020-07-27,91.77,91.69,92.116,,,UP,1
2020-07-28,98.44,91.51,93.018,,,UP,1
2020-07-29,102.79,100.0,94.902,,,DOWN,0
2020-07-30,102.35,101.99,97.142,,,UP,1
2020-07-31,102.7,103.63,99.61,,,UP,1
2020-08-03,110.405,103.78,103.337,,,DOWN,0
2020-08-04,107.57,110.2,105.163,,,UP,1
2020-08-05,120.71,119.0,108.747,,,DOWN,0
2020-08-06,113.97,117.73,111.071,,,UP,1
2020-08-07,115.88,114.44,113.707,,,DOWN,0
2020-08-10,115.65,117.01,114.756,,,DOWN,0
2020-08-11,115.5,115.38,116.342,,,UP,1
2020-08-12,115.92,115.85,115.384,,,UP,1
2020-08-13,117.44,118.25,116.078,,,UP,1
2020-08-14,118.8,118.0,116.662,,,DOWN,0
2020-08-17,114.105,118.8,116.353,,,UP,1
2020-08-18,115.21,114.54,116.295,,,DOWN,0
2020-08-19,114.15,114.82,115.941,,,DOWN,0
2020-08-20,113.08,113.99,115.069,,,DOWN,0
2020-08-21,112.55,113.54,113.819,,,DOWN,0
2020-08-24,111.9,113.64,113.378,,,UP,1
2020-08-25,112.28,110.78,112.792,,,UP,1
2020-08-26,112.53,113.2,112.468,,,DOWN,0
2020-08-27,111.53,112.45,112.158,,,DOWN,0
2020-08-28,111.5,112.18,111.948,,,UP,1
2020-08-31,111.68,111.49,111.904,,,UP,1
2020-09-01,113.41,110.87,112.13,,,UP,1
2020-09-02,117.49,114.7,113.122,,,DOWN,0
2020-09-03,110.54,114.23,112.924,,,DOWN,0
2020-09-04,105.94,108.51,111.812,,,DOWN,0
2020-09-08,102.06,102.005,109.888,,,UP,1
2020-09-09,105.56,104.49,108.318,,,DOWN,0
2020-09-10,105.46,106.29,105.912,105.5324,,DOWN,0
2020-09-11,103.65,106.86,104.534,105.492,,UP,1
2020-09-14,108.26,105.74,104.998,105.6788,,UP,1
2020-09-15,110.98,109.95,106.782,106.0028,,DOWN,0
2020-09-16,108.3,110.75,107.33,106.3288,,DOWN,0
2020-09-17,107.56,107.95,107.75,106.596,,UP,1
2020-09-18,108.41,107.74,108.702,106.8378,,DOWN,0
2020-09-21,106.85,106.08,108.42,106.967,,DOWN,0
2020-09-22,106.51,108.38,107.526,107.1588,,DOWN,0
2020-09-23,102.89,106.94,106.444,107.258,,UP,1
2020-09-24,103.43,101.02,105.618,107.398,,UP,1
2020-09-25,105.75,103.58,105.086,107.6238,,UP,1
2020-09-28,108.59,107.15,105.434,107.9606,,UP,1
2020-09-29,109.12,108.22,105.956,108.1996,,UP,1
2020-09-30,110.65,108.43,107.508,108.534,,UP,1
2020-10-01,116.21,112.23,110.064,108.9908,,DOWN,0
2020-10-02,111.94,113.13,111.302,109.4066,,UP,1
2020-10-05,114.05,112.99,112.394,109.8804,,UP,1
2020-10-06,114.21,113.94,113.412,110.3292,,UP,1
2020-10-07,114.5,114.59,114.182,110.6504,,DOWN,0
2020-10-08,113.45,115.95,113.63,110.8636,,DOWN,0
2020-10-09,112.38,113.64,113.718,111.0642,,DOWN,0
2020-10-12,110.3,112.5,112.968,111.2162,,UP,1
2020-10-13,111.16,112.0,112.358,111.2313,,DOWN,0
2020-10-14,109.77,111.87,111.412,111.2753,,UP,1
2020-10-15,111.17,108.2,110.956,111.0845,,UP,1
2020-10-16,112.21,112.56,110.922,111.0493,,UP,1
2020-10-19,113.0,112.29,111.462,110.9917,,UP,1
2020-10-20,114.86,113.67,112.202,110.9759,,UP,1
2020-10-21,118.06,116.25,113.86,111.0271,,DOWN,0
2020-10-22,116.72,117.67,114.97,111.0431,,UP,1
2020-10-23,120.3,118.07,116.588,111.1003,,DOWN,0
2020-10-26,119.26,118.69,117.84,111.1095,,UP,1
2020-10-27,125.78,119.41,120.024,111.343,,DOWN,0
2020-10-28,118.52,123.05,120.116,111.4092,,UP,1
2020-10-29,122.12,119.53,121.196,111.5686,,DOWN,0
2020-10-30,116.78,121.37,120.492,111.6426,,UP,1
